Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 12, None, 0, 0, 0, 0, 90.8626, 932.480837
A* search, 2, 12, None, 0, 0, 0, 0, 91.1156, 932.5099309999999
A* search, 3, 12, None, 0, 0, 0, 0, 91.3197, 932.536891
A* search, 4, 12, None, 0, 0, 0, 0, 90.0979, 932.563851
A* search, 5, 12, None, 0, 0, 0, 0, 90.6363, 932.5908109999999
A* search, 6, 12, None, 0, 0, 0, 0, 90.8652, 932.617803
A* search, 7, 12, None, 0, 0, 0, 0, 91.0272, 932.6448909999999
A* search, 8, 12, None, 0, 0, 0, 0, 91.2505, 932.671851
A* search, 9, 12, None, 0, 0, 0, 0, 91.1086, 932.698811
A* search, 10, 12, None, 0, 0, 0, 0, 91.4174, 932.725835
A* search, 11, 12, None, 0, 0, 0, 0, 90.4933, 932.752795
A* search, 12, 12, None, 0, 0, 0, 0, 90.9798, 932.780035
A* search, 13, 12, None, 0, 0, 0, 0, 91.2391, 932.8069949999999
A* search, 14, 12, None, 0, 0, 0, 0, 91.2737, 932.833955
A* search, 15, 12, None, 0, 0, 0, 0, 90.3964, 932.860915
A* search, 16, 12, None, 0, 0, 0, 0, 91.6291, 932.887875
A* search, 17, 12, None, 0, 0, 0, 0, 90.8764, 932.9148349999999
A* search, 18, 12, None, 0, 0, 0, 0, 90.8627, 932.9418589999999
A* search, 19, 12, None, 0, 0, 0, 0, 91.6524, 932.9688189999999
A* search, 20, 12, None, 0, 0, 0, 0, 90.4509, 932.995779
A* search, 21, 12, None, 0, 0, 0, 0, 90.9164, 933.022739
A* search, 22, 12, None, 0, 0, 0, 0, 91.0282, 933.0496989999999
A* search, 23, 12, None, 0, 0, 0, 0, 91.8232, 933.077195
A* search, 24, 12, None, 0, 0, 0, 0, 91.5743, 933.104155
A* search, 25, 12, None, 0, 0, 0, 0, 91.2037, 933.1311149999999
A* search, 26, 12, None, 0, 0, 0, 0, 90.9213, 933.158139
A* search, 27, 12, None, 0, 0, 0, 0, 91.1272, 933.1850989999999
A* search, 28, 12, None, 0, 0, 0, 0, 90.9838, 933.212059
A* search, 29, 12, None, 0, 0, 0, 0, 91.27, 933.239019
A* search, 30, 12, None, 0, 0, 0, 0, 91.9451, 933.2659789999999
