Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 15, None, 100, 0, 0, 0, 3.0962, 1.001738
Flat Monte Carlo, 2, 15, None, 100, 0, 0, 0, 3.4135, 0.347197
Flat Monte Carlo, 3, 14, None, 100, 0, 0, 0, 2.8706, 0.364253
Flat Monte Carlo, 4, 21, None, 100, 0, 0, 0, 5.2034, 0.427257
Flat Monte Carlo, 5, 19, None, 100, 0, 0, 0, 4.4009, 0.471541
Flat Monte Carlo, 6, 18, None, 100, 0, 0, 0, 3.9323, 0.5381929999999999
Flat Monte Carlo, 7, 17, None, 100, 0, 0, 0, 3.8598, 0.581973
Flat Monte Carlo, 8, 14, None, 100, 0, 0, 0, 2.755, 0.6184729999999999
Flat Monte Carlo, 9, 19, None, 100, 0, 0, 0, 4.3245, 0.666833
Flat Monte Carlo, 10, 14, None, 100, 0, 0, 0, 3.2347, 0.730507
Flat Monte Carlo, 11, 15, None, 100, 0, 0, 0, 2.9482, 0.7398509999999999
Flat Monte Carlo, 12, 20, None, 100, 0, 0, 0, 4.9678, 0.7902429999999999
Flat Monte Carlo, 13, 14, None, 100, 0, 0, 0, 2.6707, 0.8373069999999999
Flat Monte Carlo, 14, 16, None, 100, 0, 0, 0, 3.8303, 0.896195
Flat Monte Carlo, 15, 16, None, 100, 0, 0, 0, 3.7661, 0.9413389999999999
Flat Monte Carlo, 16, 14, None, 100, 0, 0, 0, 3.3122, 0.9870509999999999
Flat Monte Carlo, 17, 14, None, 100, 0, 0, 0, 2.6484, 1.000135
Flat Monte Carlo, 18, 13, None, 100, 0, 0, 0, 3.0181, 1.027266
Flat Monte Carlo, 19, 21, None, 100, 0, 0, 0, 5.4402, 1.077458
Flat Monte Carlo, 20, 18, None, 100, 0, 0, 0, 4.4396, 1.145498
Flat Monte Carlo, 21, 13, None, 100, 0, 0, 0, 3.1976, 1.1796419999999999
Flat Monte Carlo, 22, 13, None, 100, 0, 0, 0, 3.0395, 1.210558
Flat Monte Carlo, 23, 14, None, 100, 0, 0, 0, 2.7027, 1.245798
Flat Monte Carlo, 24, 13, None, 100, 0, 0, 0, 2.8603, 1.284914
Flat Monte Carlo, 25, 12, None, 100, 0, 0, 0, 2.8486, 1.3190499999999998
Flat Monte Carlo, 26, 17, None, 100, 0, 0, 0, 3.6646, 1.3619139999999998
Flat Monte Carlo, 27, 16, None, 100, 0, 0, 0, 3.3867, 1.39427
Flat Monte Carlo, 28, 14, None, 100, 0, 0, 0, 3.0472, 1.4332859999999998
Flat Monte Carlo, 29, 17, None, 100, 0, 0, 0, 3.8091, 1.495449
Flat Monte Carlo, 30, 16, None, 100, 0, 0, 0, 4.4262, 1.5476409999999998
