Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 14, None, 100, 0, 0, 449, 3.434, 14.263366
Greedy MCTS, 2, 18, None, 100, 0, 0, 430, 5.5683, 14.667026
Greedy MCTS, 3, 14, None, 100, 0, 0, 462, 3.6647, 14.696307
Greedy MCTS, 4, 16, None, 100, 0, 0, 224, 2.6777, 12.790678
Greedy MCTS, 5, 14, None, 100, 0, 0, 379, 3.5288, 14.291659
Greedy MCTS, 6, 17, None, 100, 0, 0, 714, 6.3516, 16.996918
Greedy MCTS, 7, 16, None, 100, 0, 0, 157, 2.1763, 12.54777
Greedy MCTS, 8, 14, None, 100, 0, 0, 265, 2.7245, 13.205938999999999
Greedy MCTS, 9, 15, None, 100, 0, 0, 193, 2.2859, 12.637189
Greedy MCTS, 10, 15, None, 100, 0, 0, 379, 3.8218, 15.032193999999999
Greedy MCTS, 11, 15, None, 100, 0, 0, 304, 3.0965, 13.798794
Greedy MCTS, 12, 15, None, 100, 0, 0, 177, 2.3537, 13.020918
Greedy MCTS, 13, 14, None, 100, 0, 0, 289, 3.0621, 13.849896999999999
Greedy MCTS, 14, 14, None, 100, 0, 0, 405, 3.569, 14.608346
Greedy MCTS, 15, 15, None, 100, 0, 0, 183, 2.3059, 12.878162999999999
Greedy MCTS, 16, 15, None, 100, 0, 0, 254, 2.7332, 13.505275
Greedy MCTS, 17, 18, None, 100, 0, 0, 536, 6.2417, 16.153793
Greedy MCTS, 18, 15, None, 100, 0, 0, 369, 3.2051, 14.168697
Greedy MCTS, 19, 15, None, 100, 0, 0, 422, 3.3716, 14.548902
Greedy MCTS, 20, 14, None, 100, 0, 0, 275, 2.8693, 13.812087
Greedy MCTS, 21, 14, None, 100, 0, 0, 382, 3.5032, 15.044697
Greedy MCTS, 22, 17, None, 100, 0, 0, 702, 6.5129, 18.033134
Greedy MCTS, 23, 15, None, 100, 0, 0, 348, 3.4667, 14.617037999999999
Greedy MCTS, 24, 15, None, 100, 0, 0, 889, 6.3479, 19.684389
Greedy MCTS, 25, 18, None, 100, 0, 0, 690, 5.8285, 17.449814
Greedy MCTS, 26, 15, None, 100, 0, 0, 188, 2.3789, 13.531649999999999
Greedy MCTS, 27, 19, None, 100, 0, 0, 587, 6.113, 16.808711
Greedy MCTS, 28, 20, None, 100, 0, 0, 322, 4.9488, 15.231466999999999
Greedy MCTS, 29, 19, None, 100, 0, 0, 726, 6.5456, 18.221527
Greedy MCTS, 30, 12, None, 100, 0, 0, 352, 3.1847, 15.008013
