Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 8, None, 0, 0, 0, 0, 0.0239, 0.552558
A* search, 2, 8, None, 0, 0, 0, 0, 0.0235, 0.512076
A* search, 3, 8, None, 0, 0, 0, 0, 0.0241, 0.524197
A* search, 4, 8, None, 0, 0, 0, 0, 0.0233, 0.536917
A* search, 5, 8, None, 0, 0, 0, 0, 0.0231, 0.549674
A* search, 6, 8, None, 0, 0, 0, 0, 0.0233, 0.562426
A* search, 7, 8, None, 0, 0, 0, 0, 0.0229, 0.5753579999999999
A* search, 8, 8, None, 0, 0, 0, 0, 0.023, 0.588078
A* search, 9, 8, None, 0, 0, 0, 0, 0.0226, 0.6007979999999999
A* search, 10, 8, None, 0, 0, 0, 0, 0.0226, 0.613582
A* search, 11, 8, None, 0, 0, 0, 0, 0.0233, 0.626302
A* search, 12, 8, None, 0, 0, 0, 0, 0.0228, 0.6393019999999999
A* search, 13, 8, None, 0, 0, 0, 0, 0.0229, 0.652022
A* search, 14, 8, None, 0, 0, 0, 0, 0.0225, 0.6647419999999999
A* search, 15, 8, None, 0, 0, 0, 0, 0.0229, 0.677462
A* search, 16, 8, None, 0, 0, 0, 0, 0.0231, 0.690182
A* search, 17, 8, None, 0, 0, 0, 0, 0.0227, 0.7029019999999999
A* search, 18, 8, None, 0, 0, 0, 0, 0.0229, 0.7156859999999999
A* search, 19, 8, None, 0, 0, 0, 0, 0.0236, 0.728406
A* search, 20, 8, None, 0, 0, 0, 0, 0.0228, 0.741126
A* search, 21, 8, None, 0, 0, 0, 0, 0.0234, 0.753846
A* search, 22, 8, None, 0, 0, 0, 0, 0.0231, 0.766566
A* search, 23, 8, None, 0, 0, 0, 0, 0.0229, 0.779822
A* search, 24, 8, None, 0, 0, 0, 0, 0.0236, 0.792542
A* search, 25, 8, None, 0, 0, 0, 0, 0.023, 0.8052619999999999
A* search, 26, 8, None, 0, 0, 0, 0, 0.0233, 0.8180459999999999
A* search, 27, 8, None, 0, 0, 0, 0, 0.0334, 0.816846
A* search, 28, 8, None, 0, 0, 0, 0, 0.0236, 0.8351259999999999
A* search, 29, 8, None, 0, 0, 0, 0, 0.0234, 0.84919
A* search, 30, 8, None, 0, 0, 0, 0, 0.0238, 0.863254
