Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 8, None, 100, 0, 0, 0, 0.2298, 0.551678
Flat Monte Carlo, 2, 8, None, 100, 0, 0, 0, 0.2303, 0.25196199999999996
Flat Monte Carlo, 3, 8, None, 100, 0, 0, 0, 0.2286, 0.268303
Flat Monte Carlo, 4, 8, None, 100, 0, 0, 0, 0.2263, 0.281671
Flat Monte Carlo, 5, 8, None, 100, 0, 0, 0, 0.2272, 0.29467899999999997
Flat Monte Carlo, 6, 8, None, 100, 0, 0, 0, 0.2253, 0.306951
Flat Monte Carlo, 7, 8, None, 100, 0, 0, 0, 0.2268, 0.317695
Flat Monte Carlo, 8, 8, None, 100, 0, 0, 0, 0.2263, 0.333995
Flat Monte Carlo, 9, 8, None, 100, 0, 0, 0, 0.2312, 0.347303
Flat Monte Carlo, 10, 8, None, 100, 0, 0, 0, 0.2283, 0.36094699999999996
Flat Monte Carlo, 11, 8, None, 100, 0, 0, 0, 0.2214, 0.37077499999999997
Flat Monte Carlo, 12, 8, None, 100, 0, 0, 0, 0.2212, 0.384175
Flat Monte Carlo, 13, 8, None, 100, 0, 0, 0, 0.226, 0.399655
Flat Monte Carlo, 14, 8, None, 100, 0, 0, 0, 0.2273, 0.41279499999999997
Flat Monte Carlo, 15, 8, None, 100, 0, 0, 0, 0.2293, 0.42965899999999996
Flat Monte Carlo, 16, 8, None, 100, 0, 0, 0, 0.2265, 0.443355
Flat Monte Carlo, 17, 8, None, 100, 0, 0, 0, 0.2218, 0.45696299999999995
Flat Monte Carlo, 18, 8, None, 100, 0, 0, 0, 0.2252, 0.470811
Flat Monte Carlo, 19, 8, None, 100, 0, 0, 0, 0.221, 0.480699
Flat Monte Carlo, 20, 8, None, 100, 0, 0, 0, 0.2235, 0.493755
Flat Monte Carlo, 21, 8, None, 100, 0, 0, 0, 0.2216, 0.506811
Flat Monte Carlo, 22, 8, None, 100, 0, 0, 0, 0.221, 0.519803
Flat Monte Carlo, 23, 8, None, 100, 0, 0, 0, 0.2216, 0.533459
Flat Monte Carlo, 24, 8, None, 100, 0, 0, 0, 0.2222, 0.550323
Flat Monte Carlo, 25, 8, None, 100, 0, 0, 0, 0.2296, 0.568635
Flat Monte Carlo, 26, 8, None, 100, 0, 0, 0, 0.2305, 0.582395
Flat Monte Carlo, 27, 8, None, 100, 0, 0, 0, 0.2257, 0.592283
Flat Monte Carlo, 28, 8, None, 100, 0, 0, 0, 0.2305, 0.609147
Flat Monte Carlo, 29, 8, None, 100, 0, 0, 0, 0.2262, 0.619035
Flat Monte Carlo, 30, 8, None, 100, 0, 0, 0, 0.2256, 0.635811
