Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Random strategy., 1, 11, None, 0, 0, 0, 0, 0.001, 0.028676
Random strategy., 2, 8, None, 0, 0, 0, 0, 0.0007, 0.045639
Random strategy., 3, 11, None, 0, 0, 0, 0, 0.0009, 0.061051999999999995
Random strategy., 4, 10, None, 0, 0, 0, 0, 0.0009, 0.07514
Random strategy., 5, 9, None, 0, 0, 0, 0, 0.0008, 0.08817599999999999
Random strategy., 6, 9, None, 0, 0, 0, 0, 0.0007, 0.100396
Random strategy., 7, 11, None, 0, 0, 0, 0, 0.001, 0.1168
Random strategy., 8, 10, None, 0, 0, 0, 0, 0.0011, 0.131492
Random strategy., 9, 11, None, 0, 0, 0, 0, 0.0012, 0.148616
Random strategy., 10, 11, None, 0, 0, 0, 0, 0.0009, 0.164484
Random strategy., 11, 11, None, 0, 0, 0, 0, 0.001, 0.180752
Random strategy., 12, 9, None, 0, 0, 0, 0, 0.0008, 0.19388
Random strategy., 13, 10, None, 0, 0, 0, 0, 0.0009, 0.20885599999999999
Random strategy., 14, 11, None, 0, 0, 0, 0, 0.001, 0.22561599999999998
Random strategy., 15, 9, None, 0, 0, 0, 0, 0.0008, 0.239116
Random strategy., 16, 11, None, 0, 0, 0, 0, 0.001, 0.255336
Random strategy., 17, 9, None, 0, 0, 0, 0, 0.0008, 0.26852
Random strategy., 18, 11, None, 0, 0, 0, 0, 0.001, 0.28388399999999997
Random strategy., 19, 9, None, 0, 0, 0, 0, 0.0008, 0.298344
Random strategy., 20, 10, None, 0, 0, 0, 0, 0.0009, 0.313544
Random strategy., 21, 9, None, 0, 0, 0, 0, 0.0009, 0.32617599999999997
Random strategy., 22, 8, None, 0, 0, 0, 0, 0.0006, 0.336712
Random strategy., 23, 9, None, 0, 0, 0, 0, 0.0013, 0.349337
Random strategy., 24, 11, None, 0, 0, 0, 0, 0.0009, 0.364461
Random strategy., 25, 11, None, 0, 0, 0, 0, 0.0009, 0.38145399999999996
Random strategy., 26, 11, None, 0, 0, 0, 0, 0.0009, 0.39716999999999997
Random strategy., 27, 11, None, 0, 0, 0, 0, 0.0011, 0.41455
Random strategy., 28, 11, None, 0, 0, 0, 0, 0.0011, 0.43206999999999995
Random strategy., 29, 11, None, 0, 0, 0, 0, 0.0009, 0.44769
Random strategy., 30, 11, None, 0, 0, 0, 0, 0.001, 0.46471399999999996
