Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 8, None, 100, 0, 0, 167, 0.5153, 1.036499
UCT MCTS, 2, 8, None, 100, 0, 0, 166, 0.5106, 1.042482
UCT MCTS, 3, 8, None, 100, 0, 0, 153, 0.4857, 1.0426279999999999
UCT MCTS, 4, 8, None, 100, 0, 0, 163, 0.5041, 1.0701859999999999
UCT MCTS, 5, 8, None, 100, 0, 0, 151, 0.4948, 1.0704259999999999
UCT MCTS, 6, 8, None, 100, 0, 0, 159, 0.5069, 1.084289
UCT MCTS, 7, 8, None, 100, 0, 0, 165, 0.4909, 1.140691
UCT MCTS, 8, 8, None, 100, 0, 0, 167, 0.5145, 1.142035
UCT MCTS, 9, 8, None, 100, 0, 0, 167, 0.5126, 1.160763
UCT MCTS, 10, 8, None, 100, 0, 0, 112, 0.41, 1.160909
UCT MCTS, 11, 8, None, 100, 0, 0, 142, 0.466, 1.051035
UCT MCTS, 12, 8, None, 100, 0, 0, 167, 0.5241, 1.176863
UCT MCTS, 13, 8, None, 100, 0, 0, 161, 0.5183, 1.17701
UCT MCTS, 14, 8, None, 100, 0, 0, 161, 0.5116, 1.1921469999999998
UCT MCTS, 15, 8, None, 100, 0, 0, 173, 0.5412, 1.277739
UCT MCTS, 16, 8, None, 100, 0, 0, 160, 0.4997, 1.2778859999999999
UCT MCTS, 17, 8, None, 100, 0, 0, 164, 0.5162, 1.245139
UCT MCTS, 18, 8, None, 100, 0, 0, 158, 0.5124, 1.245286
UCT MCTS, 19, 8, None, 100, 0, 0, 150, 0.4798, 1.2320069999999999
UCT MCTS, 20, 8, None, 100, 0, 0, 156, 0.5006, 1.255979
UCT MCTS, 21, 8, None, 100, 0, 0, 184, 0.5475, 1.423961
UCT MCTS, 22, 8, None, 100, 0, 0, 181, 0.545, 1.424108
UCT MCTS, 23, 8, None, 100, 0, 0, 176, 0.5314, 1.4213989999999999
UCT MCTS, 24, 8, None, 100, 0, 0, 182, 0.5316, 1.4490809999999998
UCT MCTS, 25, 8, None, 100, 0, 0, 177, 0.5328, 1.449238
UCT MCTS, 26, 8, None, 100, 0, 0, 177, 0.5282, 1.4452079999999998
UCT MCTS, 27, 8, None, 100, 0, 0, 165, 0.5276, 1.445365
UCT MCTS, 28, 8, None, 100, 0, 0, 161, 0.4986, 1.417676
UCT MCTS, 29, 8, None, 100, 0, 0, 188, 0.5108, 1.547628
UCT MCTS, 30, 8, None, 100, 0, 0, 165, 0.5085, 1.547903
Greedy MCTS, 31, 8, None, 100, 0, 0, 141, 0.4973, 1.748735
Greedy MCTS, 32, 8, None, 100, 0, 0, 144, 0.4856, 1.7695029999999998
Greedy MCTS, 33, 8, None, 100, 0, 0, 139, 0.4666, 1.77002
Greedy MCTS, 34, 8, None, 100, 0, 0, 117, 0.4521, 1.7668199999999998
Greedy MCTS, 35, 8, None, 100, 0, 0, 132, 0.4914, 1.774243
Greedy MCTS, 36, 8, None, 100, 0, 0, 132, 0.4755, 1.7900909999999999
Greedy MCTS, 37, 8, None, 100, 0, 0, 138, 0.4814, 1.810919
Greedy MCTS, 38, 9, None, 100, 0, 0, 135, 0.5508, 1.82419
Greedy MCTS, 39, 8, None, 100, 0, 0, 150, 0.5091, 1.933074
Greedy MCTS, 40, 8, None, 100, 0, 0, 130, 0.4719, 1.933601
Greedy MCTS, 41, 8, None, 100, 0, 0, 152, 0.5126, 1.978278
Greedy MCTS, 42, 8, None, 100, 0, 0, 132, 0.4723, 1.979086
Greedy MCTS, 43, 9, None, 100, 0, 0, 60, 0.3665, 1.900788
Greedy MCTS, 44, 8, None, 100, 0, 0, 138, 0.4939, 1.951234
Greedy MCTS, 45, 8, None, 100, 0, 0, 125, 0.4587, 1.9517609999999999
Greedy MCTS, 46, 8, None, 100, 0, 0, 112, 0.4314, 1.908928
Greedy MCTS, 47, 8, None, 100, 0, 0, 135, 0.4883, 1.9846659999999998
Greedy MCTS, 48, 8, None, 100, 0, 0, 46, 0.2877, 1.985183
Greedy MCTS, 49, 8, None, 100, 0, 0, 123, 0.4608, 1.9902339999999998
Greedy MCTS, 50, 8, None, 100, 0, 0, 114, 0.428, 1.9865629999999999
Greedy MCTS, 51, 8, None, 100, 0, 0, 141, 0.508, 2.125746
Greedy MCTS, 52, 8, None, 100, 0, 0, 133, 0.4692, 2.126264
Greedy MCTS, 53, 8, None, 100, 0, 0, 174, 0.538, 2.300166
Greedy MCTS, 54, 8, None, 100, 0, 0, 156, 0.5207, 2.300694
Greedy MCTS, 55, 8, None, 100, 0, 0, 123, 0.4476, 2.238528
Greedy MCTS, 56, 8, None, 100, 0, 0, 83, 0.3707, 2.08292
Greedy MCTS, 57, 8, None, 100, 0, 0, 134, 0.5217, 2.2028019999999997
Greedy MCTS, 58, 8, None, 100, 0, 0, 126, 0.4657, 2.2033199999999997
Greedy MCTS, 59, 8, None, 100, 0, 0, 125, 0.4657, 2.156028
Greedy MCTS, 60, 8, None, 100, 0, 0, 138, 0.4997, 2.255662
