Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Flat Monte Carlo, 1, 14, None, 100, 0, 0, 0, 4.7586, 1.1702059999999999
Flat Monte Carlo, 2, 13, None, 100, 0, 0, 0, 4.5624, 0.41572499999999996
Flat Monte Carlo, 3, 15, None, 100, 0, 0, 0, 4.9531, 0.45890899999999996
Flat Monte Carlo, 4, 16, None, 100, 0, 0, 0, 5.2287, 0.501177
Flat Monte Carlo, 5, 17, None, 100, 0, 0, 0, 5.7319, 0.578981
Flat Monte Carlo, 6, 16, None, 100, 0, 0, 0, 6.0132, 0.634821
Flat Monte Carlo, 7, 13, None, 100, 0, 0, 0, 4.5224, 0.655341
Flat Monte Carlo, 8, 13, None, 100, 0, 0, 0, 4.2723, 0.696875
Flat Monte Carlo, 9, 13, None, 100, 0, 0, 0, 4.2884, 0.724463
Flat Monte Carlo, 10, 16, None, 100, 0, 0, 0, 5.319, 0.7872629999999999
Flat Monte Carlo, 11, 14, None, 100, 0, 0, 0, 4.5572, 0.8143309999999999
Flat Monte Carlo, 12, 17, None, 100, 0, 0, 0, 5.617, 0.8692949999999999
Flat Monte Carlo, 13, 13, None, 100, 0, 0, 0, 4.2951, 0.906671
Flat Monte Carlo, 14, 15, None, 100, 0, 0, 0, 5.0332, 0.999351
Flat Monte Carlo, 15, 14, None, 100, 0, 0, 0, 4.7414, 0.9876109999999999
Flat Monte Carlo, 16, 17, None, 100, 0, 0, 0, 5.3542, 1.056251
Flat Monte Carlo, 17, 17, None, 100, 0, 0, 0, 5.5301, 1.109691
Flat Monte Carlo, 18, 14, None, 100, 0, 0, 0, 4.806, 1.1430989999999999
Flat Monte Carlo, 19, 14, None, 100, 0, 0, 0, 4.9096, 1.1908349999999999
Flat Monte Carlo, 20, 16, None, 100, 0, 0, 0, 5.101, 1.230586
Flat Monte Carlo, 21, 13, None, 100, 0, 0, 0, 4.4082, 1.270978
Flat Monte Carlo, 22, 16, None, 100, 0, 0, 0, 5.1042, 1.3137539999999999
Flat Monte Carlo, 23, 13, None, 100, 0, 0, 0, 4.3447, 1.3688099999999999
Flat Monte Carlo, 24, 14, None, 100, 0, 0, 0, 4.7201, 1.381162
Flat Monte Carlo, 25, 16, None, 100, 0, 0, 0, 5.2275, 1.4424219999999999
Flat Monte Carlo, 26, 16, None, 100, 0, 0, 0, 5.2421, 1.499198
Flat Monte Carlo, 27, 16, None, 100, 0, 0, 0, 5.1234, 1.541118
Flat Monte Carlo, 28, 17, None, 100, 0, 0, 0, 6.3745, 1.599526
Flat Monte Carlo, 29, 15, None, 100, 0, 0, 0, 4.9257, 1.633646
Flat Monte Carlo, 30, 13, None, 100, 0, 0, 0, 4.29, 1.67415
