Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
Flat Monte Carlo, 1, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 2, 9, 9, Language, 100, 0, 0, 0, 0.5812
Flat Monte Carlo, 3, 10, 10, EN, 100, 0, 0, 0, 0.5588
Flat Monte Carlo, 4, 8, 8, AI, 100, 0, 0, 0, 0.5164
Flat Monte Carlo, 5, 9, 9, Platform, 100, 0, 0, 0, 0.4828
Flat Monte Carlo, 6, 10, 10, Handy, 100, 0, 0, 0, 0.4452
Flat Monte Carlo, 7, 8, 8, Tanks, 100, 0, 0, 0, 0.421
Flat Monte Carlo, 8, 10, 10, Germany_Leopard, 100, 0, 0, 0, 0.3846
Flat Monte Carlo, 9, 9, 9, USA_M1Abrams, 100, 0, 0, 0, 0.379
Flat Monte Carlo, 10, 8, 8, Easy, 100, 0, 0, 0, 0.3195
Flat Monte Carlo, 11, 6, 6, GUI, 100, 0, 0, 0, 0.3039
Flat Monte Carlo, 12, 7, 7, Map, 100, 0, 0, 0, 0.2551
Flat Monte Carlo, 13, 9, 9, M_600, 100, 0, 0, 0, 0.1083
Flat Monte Carlo, 14, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 15, 9, 9, Platform, 100, 0, 0, 0, 0.5822
Flat Monte Carlo, 16, 10, 10, GUI, 100, 0, 0, 0, 0.5496
Flat Monte Carlo, 17, 11, 11, AI, 100, 0, 0, 0, 0.5671
Flat Monte Carlo, 18, 12, 12, Language, 100, 0, 0, 0, 0.5224
Flat Monte Carlo, 19, 13, 13, PC, 100, 0, 0, 0, 0.4549
Flat Monte Carlo, 20, 11, 11, Tanks, 100, 0, 0, 0, 0.429
Flat Monte Carlo, 21, 13, 13, Germany_Leopard, 100, 0, 0, 0, 0.4006
Flat Monte Carlo, 22, 12, 12, Map, 100, 0, 0, 0, 0.3679
Flat Monte Carlo, 23, 14, 14, Hard, 100, 0, 0, 0, 0.2864
Flat Monte Carlo, 24, 12, 12, DE, 100, 0, 0, 0, 0.252
Flat Monte Carlo, 25, 10, 10, M_600, 100, 0, 0, 0, 0.1477
Flat Monte Carlo, 26, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 27, 9, 9, Soundeffekt, 100, 0, 0, 0, 0.6005
Flat Monte Carlo, 28, 10, 10, Sound_fuer_Handy, 100, 0, 0, 0, 0.5715
Flat Monte Carlo, 29, 8, 8, AI, 100, 0, 0, 0, 0.5336
Flat Monte Carlo, 30, 9, 9, Platform, 100, 0, 0, 0, 0.5095
Flat Monte Carlo, 31, 10, 10, PC, 100, 0, 0, 0, 0.4876
Flat Monte Carlo, 32, 8, 8, Language, 100, 0, 0, 0, 0.4421
Flat Monte Carlo, 33, 9, 9, GUI, 100, 0, 0, 0, 0.3872
Flat Monte Carlo, 34, 10, 10, Hard, 100, 0, 0, 0, 0.3731
Flat Monte Carlo, 35, 8, 8, Tanks, 100, 0, 0, 0, 0.352
Flat Monte Carlo, 36, 10, 10, Map, 100, 0, 0, 0, 0.2936
Flat Monte Carlo, 37, 12, 12, DE, 100, 0, 0, 0, 0.1927
Flat Monte Carlo, 38, 10, 10, M_780, 100, 0, 0, 0, 0.1356
Flat Monte Carlo, 39, 7, 7, USA_M1Abrams, 100, 0, 0, 0, 0.0714
Flat Monte Carlo, 40, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 41, 9, 9, Soundeffekt, 100, 0, 0, 0, 0.5869
Flat Monte Carlo, 42, 10, 10, Platform, 100, 0, 0, 0, 0.5776
Flat Monte Carlo, 43, 11, 11, Handy, 100, 0, 0, 0, 0.5271
Flat Monte Carlo, 44, 9, 9, Sound_fuer_pc, 100, 0, 0, 0, 0.5099
Flat Monte Carlo, 45, 7, 7, GUI, 100, 0, 0, 0, 0.4673
Flat Monte Carlo, 46, 8, 8, AI, 100, 0, 0, 0, 0.4631
Flat Monte Carlo, 47, 9, 9, Hard, 100, 0, 0, 0, 0.4317
Flat Monte Carlo, 48, 7, 7, Map, 100, 0, 0, 0, 0.3933
Flat Monte Carlo, 49, 9, 9, Tanks, 100, 0, 0, 0, 0.3453
Flat Monte Carlo, 50, 11, 11, Language, 100, 0, 0, 0, 0.3076
Flat Monte Carlo, 51, 12, 12, explodieren, 100, 0, 0, 0, 0.2059
Flat Monte Carlo, 52, 11, 11, M_600, 100, 0, 0, 0, 0.1799
Flat Monte Carlo, 53, 8, 8, EN, 100, 0, 0, 0, 0.1641
Flat Monte Carlo, 54, 6, 6, China_Type99, 100, 0, 0, 0, 0.0661
Flat Monte Carlo, 55, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 56, 9, 9, Soundeffekt, 100, 0, 0, 0, 0.5863
Flat Monte Carlo, 57, 10, 10, Record, 100, 0, 0, 0, 0.5541
Flat Monte Carlo, 58, 11, 11, GUI, 100, 0, 0, 0, 0.5535
Flat Monte Carlo, 59, 12, 12, AI, 100, 0, 0, 0, 0.548
Flat Monte Carlo, 60, 13, 13, Map, 100, 0, 0, 0, 0.5074
Flat Monte Carlo, 61, 15, 15, Platform, 100, 0, 0, 0, 0.4945
Flat Monte Carlo, 62, 16, 16, Tanks, 100, 0, 0, 0, 0.4465
Flat Monte Carlo, 63, 17, 17, Handy, 100, 0, 0, 0, 0.4173
Flat Monte Carlo, 64, 16, 16, Language, 100, 0, 0, 0, 0.3767
Flat Monte Carlo, 65, 17, 17, M_600, 100, 0, 0, 0, 0.318
Flat Monte Carlo, 66, 14, 14, Re_fuer_Handy, 100, 0, 0, 0, 0.2701
Flat Monte Carlo, 67, 12, 12, USA_M1Abrams, 100, 0, 0, 0, 0.2095
Flat Monte Carlo, 68, 11, 11, Sound_fuer_Handy, 100, 0, 0, 0, 0.1987
Flat Monte Carlo, 69, 9, 9, Easy, 100, 0, 0, 0, 0.1531
Flat Monte Carlo, 70, 7, 7, EN, 100, 0, 0, 0, 0.0949
Flat Monte Carlo, 71, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 72, 9, 9, explodieren, 100, 0, 0, 0, 0.5752
Flat Monte Carlo, 73, 8, 8, GUI, 100, 0, 0, 0, 0.5682
Flat Monte Carlo, 74, 9, 9, AI, 100, 0, 0, 0, 0.5728
Flat Monte Carlo, 75, 10, 10, Tools, 100, 0, 0, 0, 0.5285
Flat Monte Carlo, 76, 15, 15, einfrieren, 100, 0, 0, 0, 0.552
Flat Monte Carlo, 77, 14, 14, Hard, 100, 0, 0, 0, 0.529
Flat Monte Carlo, 78, 12, 12, Language, 100, 0, 0, 0, 0.4983
Flat Monte Carlo, 79, 13, 13, Platform, 100, 0, 0, 0, 0.464
Flat Monte Carlo, 80, 14, 14, PC, 100, 0, 0, 0, 0.4186
Flat Monte Carlo, 81, 12, 12, Tanks, 100, 0, 0, 0, 0.3825
Flat Monte Carlo, 82, 14, 14, Map, 100, 0, 0, 0, 0.3417
Flat Monte Carlo, 83, 16, 16, DE, 100, 0, 0, 0, 0.2671
Flat Monte Carlo, 84, 14, 14, M_240, 100, 0, 0, 0, 0.1915
Flat Monte Carlo, 85, 11, 11, China_Type99, 100, 0, 0, 0, 0.1206
Flat Monte Carlo, 86, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 87, 9, 9, AI, 100, 0, 0, 0, 0.5608
Flat Monte Carlo, 88, 10, 10, Tanks, 100, 0, 0, 0, 0.564
Flat Monte Carlo, 89, 12, 12, Hard, 100, 0, 0, 0, 0.5398
Flat Monte Carlo, 90, 10, 10, GUI, 100, 0, 0, 0, 0.5162
Flat Monte Carlo, 91, 11, 11, Map, 100, 0, 0, 0, 0.5037
Flat Monte Carlo, 92, 13, 13, Platform, 100, 0, 0, 0, 0.4645
Flat Monte Carlo, 93, 14, 14, Language, 100, 0, 0, 0, 0.4352
Flat Monte Carlo, 94, 15, 15, Handy, 100, 0, 0, 0, 0.3317
Flat Monte Carlo, 95, 13, 13, China_Type99, 100, 0, 0, 0, 0.2337
Flat Monte Carlo, 96, 12, 12, EN, 100, 0, 0, 0, 0.2331
Flat Monte Carlo, 97, 10, 10, M_240, 100, 0, 0, 0, 0.1372
Flat Monte Carlo, 98, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 99, 9, 9, Language, 100, 0, 0, 0, 0.5924
Flat Monte Carlo, 100, 10, 10, Platform, 100, 0, 0, 0, 0.5451
Flat Monte Carlo, 101, 11, 11, GUI, 100, 0, 0, 0, 0.5128
Flat Monte Carlo, 102, 12, 12, AI, 100, 0, 0, 0, 0.4985
Flat Monte Carlo, 103, 13, 13, Map, 100, 0, 0, 0, 0.4647
Flat Monte Carlo, 104, 15, 15, Hard, 100, 0, 0, 0, 0.4131
Flat Monte Carlo, 105, 13, 13, Tanks, 100, 0, 0, 0, 0.3865
Flat Monte Carlo, 106, 15, 15, PC, 100, 0, 0, 0, 0.3149
Flat Monte Carlo, 107, 13, 13, M_600, 100, 0, 0, 0, 0.2311
Flat Monte Carlo, 108, 10, 10, EN, 100, 0, 0, 0, 0.1886
Flat Monte Carlo, 109, 8, 8, China_Type99, 100, 0, 0, 0, 0.1222
Flat Monte Carlo, 110, 0, 0, TankWar, 100, 0, 0, 0, 0.0001
Flat Monte Carlo, 111, 9, 9, AI, 100, 0, 0, 0, 0.5778
