Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
A* search, 1, 3, None, 0, 0, 0, 0, 0.0008, 0.749331
A* search, 2, 3, None, 0, 0, 0, 0, 0.0007, 0.215606
A* search, 3, 3, None, 0, 0, 0, 0, 0.0004, 0.22098199999999998
A* search, 4, 3, None, 0, 0, 0, 0, 0.0004, 0.22535
A* search, 5, 3, None, 0, 0, 0, 0, 0.0004, 0.22971799999999998
A* search, 6, 3, None, 0, 0, 0, 0, 0.0004, 0.234118
A* search, 7, 3, None, 0, 0, 0, 0, 0.0004, 0.238614
A* search, 8, 3, None, 0, 0, 0, 0, 0.0004, 0.24298199999999998
A* search, 9, 3, None, 0, 0, 0, 0, 0.0004, 0.24735
A* search, 10, 3, None, 0, 0, 0, 0, 0.0004, 0.251782
A* search, 11, 3, None, 0, 0, 0, 0, 0.0004, 0.25615
A* search, 12, 3, None, 0, 0, 0, 0, 0.0004, 0.260798
A* search, 13, 3, None, 0, 0, 0, 0, 0.0004, 0.265166
A* search, 14, 3, None, 0, 0, 0, 0, 0.0005, 0.269534
A* search, 15, 3, None, 0, 0, 0, 0, 0.0004, 0.273902
A* search, 16, 3, None, 0, 0, 0, 0, 0.0004, 0.27826999999999996
A* search, 17, 3, None, 0, 0, 0, 0, 0.0006, 0.282638
A* search, 18, 3, None, 0, 0, 0, 0, 0.0004, 0.28707
A* search, 19, 3, None, 0, 0, 0, 0, 0.0004, 0.291438
A* search, 20, 3, None, 0, 0, 0, 0, 0.0006, 0.295878
A* search, 21, 3, None, 0, 0, 0, 0, 0.0007, 0.300342
A* search, 22, 3, None, 0, 0, 0, 0, 0.0007, 0.30480599999999997
A* search, 23, 3, None, 0, 0, 0, 0, 0.0004, 0.30980599999999997
A* search, 24, 3, None, 0, 0, 0, 0, 0.0004, 0.31427
A* search, 25, 3, None, 0, 0, 0, 0, 0.0004, 0.31873399999999996
A* search, 26, 3, None, 0, 0, 0, 0, 0.0004, 0.323262
A* search, 27, 3, None, 0, 0, 0, 0, 0.0004, 0.328243
A* search, 28, 3, None, 0, 0, 0, 0, 0.0005, 0.332707
A* search, 29, 3, None, 0, 0, 0, 0, 0.0004, 0.337171
A* search, 30, 3, None, 0, 0, 0, 0, 0.0004, 0.34163499999999997
