Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Greedy MCTS, 1, 3, None, 100, 0, 0, 202, 0.2008, 4.923922999999999
Greedy MCTS, 2, 3, None, 100, 0, 0, 202, 0.1942, 4.949439
Greedy MCTS, 3, 3, None, 100, 0, 0, 202, 0.2065, 4.949211
Greedy MCTS, 4, 3, None, 100, 0, 0, 202, 0.2051, 4.943382
Greedy MCTS, 5, 3, None, 100, 0, 0, 202, 0.2125, 4.978679
Greedy MCTS, 6, 3, None, 100, 0, 0, 202, 0.2022, 4.978599
Greedy MCTS, 7, 3, None, 100, 0, 0, 202, 0.1985, 4.992179
Greedy MCTS, 8, 3, None, 100, 0, 0, 202, 0.205, 4.988123
Greedy MCTS, 9, 3, None, 100, 0, 0, 202, 0.2203, 4.9886669999999995
Greedy MCTS, 10, 3, None, 100, 0, 0, 202, 0.2036, 5.011556
Greedy MCTS, 11, 3, None, 100, 0, 0, 202, 0.2027, 5.012328
Greedy MCTS, 12, 3, None, 100, 0, 0, 202, 0.1998, 5.023593
Greedy MCTS, 13, 3, None, 100, 0, 0, 202, 0.2081, 5.032338
Greedy MCTS, 14, 3, None, 100, 0, 0, 202, 0.2153, 5.036473
Greedy MCTS, 15, 3, None, 100, 0, 0, 202, 0.1983, 5.069919
Greedy MCTS, 16, 3, None, 100, 0, 0, 202, 0.2123, 5.065729
Greedy MCTS, 17, 3, None, 100, 0, 0, 202, 0.1976, 5.075569
Greedy MCTS, 18, 3, None, 100, 0, 0, 202, 0.2029, 5.069172
Greedy MCTS, 19, 3, None, 100, 0, 0, 202, 0.2129, 5.078053
Greedy MCTS, 20, 3, None, 100, 0, 0, 202, 0.2008, 5.100808
Greedy MCTS, 21, 3, None, 100, 0, 0, 202, 0.207, 5.101464
Greedy MCTS, 22, 3, None, 100, 0, 0, 202, 0.1998, 5.107106
Greedy MCTS, 23, 3, None, 100, 0, 0, 202, 0.2128, 5.129388
Greedy MCTS, 24, 3, None, 100, 0, 0, 202, 0.1998, 5.134916
Greedy MCTS, 25, 3, None, 100, 0, 0, 202, 0.2034, 5.124871
Greedy MCTS, 26, 3, None, 100, 0, 0, 202, 0.2069, 5.150148
Greedy MCTS, 27, 3, None, 100, 0, 0, 202, 0.2021, 5.161448
Greedy MCTS, 28, 3, None, 100, 0, 0, 202, 0.2151, 5.158976
Greedy MCTS, 29, 3, None, 100, 0, 0, 202, 0.2148, 5.162242
Greedy MCTS, 30, 3, None, 100, 0, 0, 202, 0.1971, 5.194154999999999
