Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
Random strategy., 1, 3, None, 0, 0, 0, 0, 0.0004, 0.017616
Random strategy., 2, 11, None, 0, 0, 0, 0, 0.0017, 0.047971
Random strategy., 3, 11, None, 0, 0, 0, 0, 0.002, 0.075556
Random strategy., 4, 16, None, 0, 0, 0, 0, 0.0025, 0.107776
Random strategy., 5, 15, None, 0, 0, 0, 0, 0.0021, 0.14074799999999998
Random strategy., 6, 6, None, 0, 0, 0, 0, 0.0009, 0.153364
Random strategy., 7, 3, None, 0, 0, 0, 0, 0.0003, 0.15806
Random strategy., 8, 12, None, 0, 0, 0, 0, 0.0021, 0.186584
Random strategy., 9, 8, None, 0, 0, 0, 0, 0.0012, 0.204004
Random strategy., 10, 9, None, 0, 0, 0, 0, 0.0013, 0.224344
Random strategy., 11, 16, None, 0, 0, 0, 0, 0.0023, 0.257466
Random strategy., 12, 7, None, 0, 0, 0, 0, 0.0018, 0.27301
Random strategy., 13, 8, None, 0, 0, 0, 0, 0.0018, 0.291311
Random strategy., 14, 15, None, 0, 0, 0, 0, 0.002, 0.322903
Random strategy., 15, 4, None, 0, 0, 0, 0, 0.0004, 0.330215
Random strategy., 16, 7, None, 0, 0, 0, 0, 0.0015, 0.345499
Random strategy., 17, 11, None, 0, 0, 0, 0, 0.0026, 0.371115
Random strategy., 18, 7, None, 0, 0, 0, 0, 0.0013, 0.387327
Random strategy., 19, 11, None, 0, 0, 0, 0, 0.0021, 0.414927
Random strategy., 20, 8, None, 0, 0, 0, 0, 0.0017, 0.432651
Random strategy., 21, 10, None, 0, 0, 0, 0, 0.0031, 0.456239
Random strategy., 22, 11, None, 0, 0, 0, 0, 0.0027, 0.48073499999999997
Random strategy., 23, 14, None, 0, 0, 0, 0, 0.0036, 0.5120629999999999
Random strategy., 24, 3, None, 0, 0, 0, 0, 0.0005, 0.516671
Random strategy., 25, 15, None, 0, 0, 0, 0, 0.0037, 0.549887
Random strategy., 26, 6, None, 0, 0, 0, 0, 0.0014, 0.5627869999999999
Random strategy., 27, 14, None, 0, 0, 0, 0, 0.004, 0.598263
Random strategy., 28, 6, None, 0, 0, 0, 0, 0.0014, 0.611099
Random strategy., 29, 3, None, 0, 0, 0, 0, 0.0005, 0.6156389999999999
Random strategy., 30, 6, None, 0, 0, 0, 0, 0.0014, 0.628475
