Algorithm, Run, Steps, Iterations, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Memory (MB)
UCT MCTS, 1, 3, None, 100, 0, 0, 202, 0.1883, 2.5959179999999997
UCT MCTS, 2, 3, None, 100, 0, 0, 202, 0.1972, 2.6076449999999998
UCT MCTS, 3, 3, None, 100, 0, 0, 202, 0.2023, 2.6178809999999997
UCT MCTS, 4, 3, None, 100, 0, 0, 202, 0.1901, 2.6184179999999997
UCT MCTS, 5, 3, None, 100, 0, 0, 202, 0.1958, 2.631182
UCT MCTS, 6, 3, None, 100, 0, 0, 202, 0.1921, 2.6317079999999997
UCT MCTS, 7, 3, None, 100, 0, 0, 202, 0.2052, 2.644291
UCT MCTS, 8, 3, None, 100, 0, 0, 202, 0.1962, 2.6524829999999997
UCT MCTS, 9, 3, None, 100, 0, 0, 202, 0.1918, 2.651807
UCT MCTS, 10, 3, None, 100, 0, 0, 202, 0.1921, 2.661975
UCT MCTS, 11, 3, None, 100, 0, 0, 202, 0.1929, 2.688027
UCT MCTS, 12, 3, None, 100, 0, 0, 202, 0.2004, 2.6910909999999997
UCT MCTS, 13, 3, None, 100, 0, 0, 202, 0.1945, 2.6941349999999997
UCT MCTS, 14, 3, None, 100, 0, 0, 202, 0.1959, 2.6946719999999997
UCT MCTS, 15, 3, None, 100, 0, 0, 202, 0.1939, 2.7029069999999997
UCT MCTS, 16, 3, None, 100, 0, 0, 202, 0.2064, 2.704611
UCT MCTS, 17, 3, None, 100, 0, 0, 202, 0.1976, 2.714959
UCT MCTS, 18, 3, None, 100, 0, 0, 202, 0.1958, 2.737279
UCT MCTS, 19, 3, None, 100, 0, 0, 202, 0.1931, 2.737806
UCT MCTS, 20, 3, None, 100, 0, 0, 202, 0.1908, 2.7423189999999997
UCT MCTS, 21, 3, None, 100, 0, 0, 202, 0.2022, 2.7428559999999997
UCT MCTS, 22, 3, None, 100, 0, 0, 202, 0.1932, 2.7599549999999997
UCT MCTS, 23, 3, None, 100, 0, 0, 202, 0.1898, 2.761028
UCT MCTS, 24, 3, None, 100, 0, 0, 202, 0.2044, 2.7698549999999997
UCT MCTS, 25, 3, None, 100, 0, 0, 202, 0.1953, 2.771715
UCT MCTS, 26, 3, None, 100, 0, 0, 202, 0.2039, 2.776567
UCT MCTS, 27, 3, None, 100, 0, 0, 202, 0.1889, 2.799547
UCT MCTS, 28, 3, None, 100, 0, 0, 202, 0.2017, 2.800074
UCT MCTS, 29, 3, None, 100, 0, 0, 202, 0.1937, 2.800382
UCT MCTS, 30, 3, None, 100, 0, 0, 202, 0.2036, 2.811927
Greedy MCTS, 31, 3, None, 100, 0, 0, 202, 0.2007, 4.923107
Greedy MCTS, 32, 3, None, 100, 0, 0, 202, 0.1941, 4.948911
Greedy MCTS, 33, 3, None, 100, 0, 0, 202, 0.2064, 4.949782
Greedy MCTS, 34, 3, None, 100, 0, 0, 202, 0.205, 4.949554
Greedy MCTS, 35, 3, None, 100, 0, 0, 202, 0.2124, 4.978152
Greedy MCTS, 36, 3, None, 100, 0, 0, 202, 0.2021, 4.979022
Greedy MCTS, 37, 3, None, 100, 0, 0, 202, 0.1984, 4.991652
Greedy MCTS, 38, 3, None, 100, 0, 0, 202, 0.2049, 4.992522
Greedy MCTS, 39, 3, None, 100, 0, 0, 202, 0.2201, 4.988465
Greedy MCTS, 40, 3, None, 100, 0, 0, 202, 0.2035, 5.011019999999999
Greedy MCTS, 41, 3, None, 100, 0, 0, 202, 0.2026, 5.011890999999999
Greedy MCTS, 42, 3, None, 100, 0, 0, 202, 0.1997, 5.0230559999999995
Greedy MCTS, 43, 3, None, 100, 0, 0, 202, 0.208, 5.031109
Greedy MCTS, 44, 3, None, 100, 0, 0, 202, 0.2152, 5.0359359999999995
Greedy MCTS, 45, 3, None, 100, 0, 0, 202, 0.1982, 5.070793
Greedy MCTS, 46, 3, None, 100, 0, 0, 202, 0.2122, 5.070199
Greedy MCTS, 47, 3, None, 100, 0, 0, 202, 0.1975, 5.075042
Greedy MCTS, 48, 3, None, 100, 0, 0, 202, 0.2027, 5.075988
Greedy MCTS, 49, 3, None, 100, 0, 0, 202, 0.2128, 5.077516999999999
Greedy MCTS, 50, 3, None, 100, 0, 0, 202, 0.2007, 5.100281
Greedy MCTS, 51, 3, None, 100, 0, 0, 202, 0.2069, 5.102334
Greedy MCTS, 52, 3, None, 100, 0, 0, 202, 0.1996, 5.1065689999999995
Greedy MCTS, 53, 3, None, 100, 0, 0, 202, 0.2126, 5.128861
Greedy MCTS, 54, 3, None, 100, 0, 0, 202, 0.1996, 5.134389
Greedy MCTS, 55, 3, None, 100, 0, 0, 202, 0.2033, 5.13526
Greedy MCTS, 56, 3, None, 100, 0, 0, 202, 0.2068, 5.149621
Greedy MCTS, 57, 3, None, 100, 0, 0, 202, 0.2019, 5.160921
Greedy MCTS, 58, 3, None, 100, 0, 0, 202, 0.2149, 5.161792
Greedy MCTS, 59, 3, None, 100, 0, 0, 202, 0.2147, 5.1617049999999995
Greedy MCTS, 60, 3, None, 100, 0, 0, 202, 0.197, 5.193629
