Algorithm, Step, Alternatives, Decisions, Choice, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
UCT MCTS, 1, 1, 1, wget, 100, 0, 0, 101, 0.0849
UCT MCTS, 2, 13, 13, base, 100, 0, 0, 202, 0.103
UCT MCTS, 3, 1, 1, wget, 100, 0, 0, 101, 0.0896
UCT MCTS, 4, 13, 13, base, 100, 0, 0, 202, 0.1038
UCT MCTS, 5, 1, 1, wget, 100, 0, 0, 101, 0.0952
UCT MCTS, 6, 13, 13, base, 100, 0, 0, 202, 0.1029
UCT MCTS, 7, 1, 1, wget, 100, 0, 0, 101, 0.0854
UCT MCTS, 8, 13, 13, base, 100, 0, 0, 202, 0.1006
UCT MCTS, 9, 1, 1, wget, 100, 0, 0, 101, 0.0879
UCT MCTS, 10, 13, 13, base, 100, 0, 0, 202, 0.1039
UCT MCTS, 11, 1, 1, wget, 100, 0, 0, 101, 0.0907
UCT MCTS, 12, 13, 13, base, 100, 0, 0, 202, 0.0972
UCT MCTS, 13, 1, 1, wget, 100, 0, 0, 101, 0.0839
UCT MCTS, 14, 13, 13, base, 100, 0, 0, 202, 0.1175
UCT MCTS, 15, 1, 1, wget, 100, 0, 0, 101, 0.0913
UCT MCTS, 16, 13, 13, base, 100, 0, 0, 202, 0.1008
UCT MCTS, 17, 1, 1, wget, 100, 0, 0, 101, 0.0894
UCT MCTS, 18, 13, 13, base, 100, 0, 0, 202, 0.0985
UCT MCTS, 19, 1, 1, wget, 100, 0, 0, 101, 0.09
UCT MCTS, 20, 13, 13, base, 100, 0, 0, 202, 0.0983
UCT MCTS, 21, 1, 1, wget, 100, 0, 0, 101, 0.0841
UCT MCTS, 22, 13, 13, base, 100, 0, 0, 202, 0.1047
UCT MCTS, 23, 1, 1, wget, 100, 0, 0, 101, 0.094
UCT MCTS, 24, 13, 13, base, 100, 0, 0, 202, 0.1023
UCT MCTS, 25, 1, 1, wget, 100, 0, 0, 101, 0.0888
UCT MCTS, 26, 13, 13, base, 100, 0, 0, 202, 0.1017
UCT MCTS, 27, 1, 1, wget, 100, 0, 0, 101, 0.0871
UCT MCTS, 28, 13, 13, base, 100, 0, 0, 202, 0.1036
UCT MCTS, 29, 1, 1, wget, 100, 0, 0, 101, 0.0911
UCT MCTS, 30, 13, 13, base, 100, 0, 0, 202, 0.0988
UCT MCTS, 31, 1, 1, wget, 100, 0, 0, 101, 0.0914
UCT MCTS, 32, 13, 13, base, 100, 0, 0, 202, 0.1108
UCT MCTS, 33, 1, 1, wget, 100, 0, 0, 101, 0.0879
UCT MCTS, 34, 13, 13, base, 100, 0, 0, 202, 0.1052
UCT MCTS, 35, 1, 1, wget, 100, 0, 0, 101, 0.0888
UCT MCTS, 36, 13, 13, base, 100, 0, 0, 202, 0.1022
UCT MCTS, 37, 1, 1, wget, 100, 0, 0, 101, 0.0881
UCT MCTS, 38, 13, 13, base, 100, 0, 0, 202, 0.1005
