Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,3,None,100,300,300,300,300,0.2827,2.6343,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Undirected', 'Kruskal']"
Greedy MCTS,2,4,None,100,400,400,400,400,0.4217,3.6884,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Undirected', 'Search', 'Prim']"
Greedy MCTS,3,5,None,100,500,493,493,493,0.6421,4.2497,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Undirected', 'Search', 'Directed', 'Num']"
Greedy MCTS,4,3,None,100,300,292,292,292,0.3452,2.541,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Prim', 'Undirected']"
Greedy MCTS,5,3,None,100,300,278,278,278,0.3377,2.2483,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Prim', 'Weight', 'Undirected']"
Greedy MCTS,6,3,None,100,300,288,288,288,0.3289,2.4964,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Prim', 'Undirected']"
Greedy MCTS,7,5,None,100,500,486,486,486,0.7005,4.2158,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Undirected', 'Search', 'DFS', 'Cycle']"
Greedy MCTS,8,4,None,100,400,354,354,354,0.542,2.9546,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'CC', 'Directed', 'Undirected', 'Search']"
Greedy MCTS,9,2,None,100,200,200,200,200,0.1685,2.4494,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Num', 'Search']"
Greedy MCTS,10,3,None,100,300,299,299,299,0.3069,2.5828,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Shortest', 'Directed']"
Greedy MCTS,11,5,None,100,500,378,378,378,0.7117,3.1561,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Cycle', 'Directed', 'Weight', 'Search', 'DFS']"
Greedy MCTS,12,2,None,100,200,200,200,200,0.175,2.6417,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Search', 'Num']"
Greedy MCTS,13,2,None,100,200,200,200,200,0.165,2.4574,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Num', 'Search']"
Greedy MCTS,14,2,None,100,200,200,200,200,0.1613,2.5363,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Num', 'Search']"
Greedy MCTS,15,2,None,100,200,200,200,200,0.171,2.4479,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Num', 'Search']"
Greedy MCTS,16,2,None,100,200,200,200,200,0.1704,2.5328,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Num', 'Search']"
Greedy MCTS,17,4,None,100,400,400,400,400,0.4658,4.1515,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Search', 'DFS', 'Cycle']"
Greedy MCTS,18,6,None,100,600,475,475,475,1.0602,4.2609,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Directed', 'Search', 'Undirected', 'DFS', 'Cycle']"
Greedy MCTS,19,2,None,100,200,200,200,200,0.1728,2.5937,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Search', 'Num']"
Greedy MCTS,20,2,None,100,200,200,200,200,0.1734,2.5485,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Search', 'Num']"
Greedy MCTS,21,5,None,100,500,500,500,500,0.669,4.5987,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Undirected', 'Search', 'Directed', 'Num']"
Greedy MCTS,22,2,None,100,200,200,200,200,0.1574,2.7721,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Search', 'Num']"
Greedy MCTS,23,5,None,100,500,458,458,458,0.6933,4.1841,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Directed', 'Weight', 'Search', 'DFS', 'Cycle']"
Greedy MCTS,24,2,None,100,200,200,200,200,0.1651,2.5698,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Num', 'Search']"
Greedy MCTS,25,4,None,100,400,400,400,400,0.4678,4.4289,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Search', 'DFS', 'Undirected', 'Cycle']"
Greedy MCTS,26,2,None,100,200,200,200,200,0.1689,2.6164,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Num', 'Search']"
Greedy MCTS,27,2,None,100,200,200,200,200,0.1745,2.6192,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Num', 'Search']"
Greedy MCTS,28,5,None,100,500,426,426,426,0.8055,3.6628,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Directed', 'Weight', 'Undirected', 'Search', 'Kruskal']"
Greedy MCTS,29,3,None,100,300,300,300,300,0.2778,3.5755,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Undirected', 'Search', 'Num']"
Greedy MCTS,30,4,None,100,400,400,400,400,0.4905,4.2677,"['Algorithms', 'GPL', 'Driver', 'GraphType', 'Benchmark', 'Undirected', 'Search', 'DFS', 'Cycle']"
