Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,2,None,100,200,200,200,200,0.1766,2.6212,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Search', 'Num']"
UCT MCTS,2,6,None,100,600,511,511,511,0.9624,4.3956,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Undirected', 'Weight', 'Search', 'DFS', 'Directed', 'Shortest']"
UCT MCTS,3,2,None,100,200,200,200,200,0.1539,4.3934,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Num', 'Search']"
UCT MCTS,4,5,None,100,500,500,500,500,0.572,4.9977,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Search', 'Undirected', 'DFS', 'Directed', 'CC']"
UCT MCTS,5,6,None,100,600,499,499,499,0.9385,4.997,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Undirected', 'Search', 'DFS', 'Weight', 'Directed', 'Kruskal']"
UCT MCTS,6,6,None,100,600,528,528,528,0.9219,4.8728,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Undirected', 'Search', 'Weight', 'DFS', 'Directed', 'Num']"
UCT MCTS,7,2,None,100,200,200,200,200,0.1632,4.8712,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Num', 'Search']"
UCT MCTS,8,6,None,100,600,521,521,521,0.9589,5.0048,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Search', 'Weight', 'Undirected', 'DFS', 'Directed', 'Num']"
UCT MCTS,9,3,None,100,300,300,300,300,0.335,5.0026,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Directed', 'Search', 'Num']"
UCT MCTS,10,2,None,100,200,200,200,200,0.162,3.0988,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Num', 'Search']"
UCT MCTS,11,6,None,100,600,531,531,531,0.9048,5.2483,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Search', 'Undirected', 'DFS', 'Weight', 'Directed', 'Shortest']"
UCT MCTS,12,6,None,100,600,487,487,487,0.9504,5.2464,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Weight', 'Search', 'Directed', 'DFS', 'Undirected', 'Shortest']"
UCT MCTS,13,2,None,100,200,200,200,200,0.1584,4.3826,"['Algorithms', 'GraphType', 'Driver', 'GPL', 'Benchmark', 'Num', 'Search']"
