Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,2,None,100,200,200,200,200,14.8262,10.1478,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,2,2,None,100,200,200,200,200,14.5902,10.6166,"['FQAs', 'ContextAwareness', 'TimeAware']"
Greedy MCTS,3,2,None,100,200,200,200,200,14.3945,10.9407,"['FQAs', 'ContextAwareness', 'UserAware']"
Greedy MCTS,4,2,None,100,200,200,200,200,14.2795,11.5474,"['FQAs', 'Security', 'Confidentiality']"
Greedy MCTS,5,2,None,100,200,200,200,200,14.3998,11.2571,"['FQAs', 'Security', 'Integrity']"
Greedy MCTS,6,2,None,100,200,200,200,200,14.2791,11.1402,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,7,2,None,100,200,200,200,200,15.4682,11.2251,"['FQAs', 'Security', 'Integrity']"
Greedy MCTS,8,4,None,100,400,400,400,400,24.7258,24.521,"['FQAs', 'Usability', 'ExecutionControl', 'ExecutionControl_1', 'Cancel']"
Greedy MCTS,9,2,None,100,200,200,200,200,15.585,10.7933,"['FQAs', 'Security', 'Integrity']"
Greedy MCTS,10,2,None,100,200,200,200,200,15.7331,11.0357,"['FQAs', 'Security', 'Integrity']"
Greedy MCTS,11,2,None,100,200,200,200,200,14.5904,11.1594,"['FQAs', 'Security', 'Confidentiality']"
Greedy MCTS,12,64,None,100,6400,6400,6400,6400,538.0295,683.659,"['FQAs', 'Persistence', 'FileStorage', 'Performance', 'FileType', 'JSONFile', 'FileStorageImplementations', 'Security', 'FileStorageOperations', 'Encryption', 'Caching', 'CreateFile', 'DatabaseStorage', 'Mode', 'CacheType', 'CTS', 'Authentication', 'AnonymousUser', 'AuthenticationImplementations', 'CachingOperations', 'EncryptionImplementations', 'TemporalFile', 'JavaxCrypto', 'SpringSecurity', 'AuthenticationOperations', 'MaxSizeCache', 'Authenticate', 'DatabaseType', 'CachingImplementations', 'DataType', 'EternalObjects', 'DatabaseStorageOperations', 'Floats', 'ContextAwareness', 'Strings', 'EncryptionOperations', 'CacheStore', 'PasswordLength', 'Objects', 'Encrypt', 'Relational', 'RemoteCache', 'LocationAware', 'LimitedSession', 'AuthenticationMechanism', 'SocialID', 'WiFiLocation', 'Caffeine', 'AuthenticationLogging', 'TimeAware', 'EncryptionAlgorithms', 'DatabaseStorageImplementations', 'JavaIO', 'KeySize', 'UserAware', 'Privacy', 'Confidentiality', 'MaxLifeSeconds', 'MySQL', 'Padding', 'Query', 'GPS', 'Symmetric', 'OAEP', 'DES']"
Greedy MCTS,13,2,None,100,200,200,200,200,15.265,11.5281,"['FQAs', 'Security', 'Privacy']"
Greedy MCTS,14,2,None,100,200,200,200,200,15.3897,11.5484,"['FQAs', 'Security', 'Non_Repudiation']"
Greedy MCTS,15,3,None,100,300,300,300,300,20.705,14.8585,"['FQAs', 'ContextAwareness', 'LocationAware', 'WiFiLocation']"
Greedy MCTS,16,2,None,100,200,200,200,200,13.7179,11.0468,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,17,2,None,100,200,200,200,200,15.0319,12.0715,"['FQAs', 'Security', 'Integrity']"
Greedy MCTS,18,2,None,100,200,200,200,200,14.2104,10.0891,"['FQAs', 'ContextAwareness', 'TimeAware']"
Greedy MCTS,19,3,None,100,300,300,300,300,21.6024,16.9988,"['FQAs', 'ContextAwareness', 'DeviceAware', 'IRSensor']"
Greedy MCTS,20,2,None,100,200,200,200,200,13.6402,11.5165,"['FQAs', 'ContextAwareness', 'TimeAware']"
Greedy MCTS,21,2,None,100,200,200,200,200,15.1768,11.6422,"['FQAs', 'Security', 'Non_Repudiation']"
Greedy MCTS,22,2,None,100,200,200,200,200,15.5181,11.7089,"['FQAs', 'Security', 'Non_Repudiation']"
Greedy MCTS,23,2,None,100,200,200,200,200,13.8146,10.9303,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,24,3,None,100,300,300,300,300,22.1998,19.0059,"['FQAs', 'Usability', 'Feedback', 'ProgressFeedback']"
Greedy MCTS,25,2,None,100,200,200,200,200,14.679,11.0647,"['FQAs', 'ContextAwareness', 'TimeAware']"
Greedy MCTS,26,2,None,100,200,200,200,200,13.4257,10.8248,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,27,2,None,100,200,200,200,200,15.3129,12.0129,"['FQAs', 'Security', 'Integrity']"
Greedy MCTS,28,2,None,100,200,200,200,200,13.6534,11.4809,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,29,2,None,100,200,200,200,200,15.6814,11.5915,"['FQAs', 'Security', 'Non_Repudiation']"
Greedy MCTS,30,2,None,100,200,200,200,200,13.9654,11.7795,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
