Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,1,None,100,100,100,100,100,0.5751,1.5459,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Greedy MCTS,2,1,None,100,100,100,100,100,0.6613,1.5098,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,3,1,None,100,100,100,100,100,0.6091,1.5473,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Greedy MCTS,4,1,None,100,100,100,100,100,0.5914,1.5369,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,5,1,None,100,100,100,100,100,0.5771,1.6067,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,6,1,None,100,100,100,100,100,0.5887,1.5723,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,7,1,None,100,100,100,100,100,0.5728,1.6118,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,8,1,None,100,100,100,100,100,0.5821,1.6061,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Greedy MCTS,9,1,None,100,100,100,100,100,0.563,1.5905,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,10,1,None,100,100,100,100,100,0.5749,1.6666,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,11,1,None,100,100,100,100,100,0.5741,1.609,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Greedy MCTS,12,1,None,100,100,100,100,100,0.6403,1.6407,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,13,1,None,100,100,100,100,100,0.5922,1.6146,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,14,1,None,100,100,100,100,100,0.6383,1.7492,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,15,1,None,100,100,100,100,100,0.6214,1.6047,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,16,1,None,100,100,100,100,100,0.5948,1.6433,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,17,1,None,100,100,100,100,100,0.632,1.615,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Greedy MCTS,18,1,None,100,100,100,100,100,0.6829,1.7171,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,19,1,None,100,100,100,100,100,0.5813,1.6004,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,20,1,None,100,100,100,100,100,0.5726,1.6153,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Greedy MCTS,21,1,None,100,100,100,100,100,0.6193,1.676,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,22,1,None,100,100,100,100,100,0.5647,1.6944,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Greedy MCTS,23,1,None,100,100,100,100,100,0.6324,1.5596,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,24,4,None,100,400,400,400,400,2.8546,8.18,"['AAFMFramework', 'System', 'Metamodels', 'DecisionModel', 'Interoperability', 'FeatureIDE', 'Win']"
Greedy MCTS,25,1,None,100,100,100,100,100,0.5872,1.6546,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,26,1,None,100,100,100,100,100,0.585,1.6584,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,27,1,None,100,100,100,100,100,0.6159,1.779,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,28,1,None,100,100,100,100,100,0.614,1.7274,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Greedy MCTS,29,3,None,100,300,300,300,300,1.9638,5.5551,"['AAFMFramework', 'System', 'Metamodels', 'Interoperability', 'SPLOT', 'Win']"
Greedy MCTS,30,1,None,100,100,100,100,100,0.6144,1.7247,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
