Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,1,None,100,100,100,100,100,0.5522,1.6142,"['Metamodels', 'System', 'AAFMFramework', 'Linux']"
UCT MCTS,2,1,None,100,100,100,100,100,0.5934,1.6193,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,3,1,None,100,100,100,100,100,0.5805,1.6161,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,4,1,None,100,100,100,100,100,0.5678,1.6788,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,5,2,None,100,200,200,200,200,1.3073,3.6339,"['Metamodels', 'System', 'AAFMFramework', 'FeatureModel', 'Win']"
UCT MCTS,6,1,None,100,100,100,100,100,0.5638,3.6342,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,7,1,None,100,100,100,100,100,0.5551,1.625,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,8,1,None,100,100,100,100,100,0.5497,1.6253,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,9,1,None,100,100,100,100,100,0.5526,1.647,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,10,1,None,100,100,100,100,100,0.5309,1.6728,"['Metamodels', 'System', 'AAFMFramework', 'Linux']"
UCT MCTS,11,1,None,100,100,100,100,100,0.5565,1.6731,"['Metamodels', 'System', 'AAFMFramework', 'Linux']"
UCT MCTS,12,2,None,100,200,200,200,200,1.3289,3.4156,"['Metamodels', 'System', 'AAFMFramework', 'DecisionModel', 'Linux']"
UCT MCTS,13,1,None,100,100,100,100,100,0.5547,3.415,"['Metamodels', 'System', 'AAFMFramework', 'Linux']"
UCT MCTS,14,3,None,100,300,300,300,300,1.9323,5.7705,"['Metamodels', 'System', 'AAFMFramework', 'FeatureModel', 'DecisionModel', 'Win']"
UCT MCTS,15,1,None,100,100,100,100,100,0.649,5.7708,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,16,2,None,100,200,200,200,200,1.2537,3.2723,"['Metamodels', 'System', 'AAFMFramework', 'FeatureModel', 'Win']"
UCT MCTS,17,1,None,100,100,100,100,100,0.5488,3.2726,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,18,1,None,100,100,100,100,100,0.5991,1.7464,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,19,2,None,100,200,200,200,200,1.27,3.5932,"['Metamodels', 'System', 'AAFMFramework', 'DecisionModel', 'Win']"
UCT MCTS,20,1,None,100,100,100,100,100,0.5569,3.5935,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,21,1,None,100,100,100,100,100,0.5992,1.7242,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,22,3,None,100,300,300,300,300,1.8953,5.7308,"['Metamodels', 'System', 'AAFMFramework', 'Interoperability', 'FeatureIDE', 'Win']"
UCT MCTS,23,1,None,100,100,100,100,100,0.5677,5.7307,"['Metamodels', 'System', 'AAFMFramework', 'Linux']"
UCT MCTS,24,1,None,100,100,100,100,100,0.5589,1.7769,"['Metamodels', 'System', 'AAFMFramework', 'Linux']"
UCT MCTS,25,1,None,100,100,100,100,100,0.5678,1.669,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,26,1,None,100,100,100,100,100,0.588,1.7126,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,27,1,None,100,100,100,100,100,0.5632,1.7487,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,28,1,None,100,100,100,100,100,0.5421,1.749,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,29,1,None,100,100,100,100,100,0.6224,1.7646,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
UCT MCTS,30,1,None,100,100,100,100,100,0.5585,1.7649,"['Metamodels', 'System', 'AAFMFramework', 'Win']"
