Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,4,None,100,400,374,374,0,0.7936,0.605,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Screen2', 'Portuguese', 'Video', 'WindowsMobile']"
Flat Monte Carlo,2,4,None,100,400,365,365,0,0.7693,0.6044,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Video', 'Spanish', 'Screen1', 'Androide']"
Flat Monte Carlo,3,4,None,100,400,370,370,0,0.7924,0.6177,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Screen1', 'Photo', 'Symbia', 'Spanish']"
Flat Monte Carlo,4,5,None,100,500,473,473,0,0.9702,0.7814,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Spanish', 'Video', 'SMSTransfer', 'Screen1', 'Symbia']"
Flat Monte Carlo,5,5,None,100,500,474,474,0,0.9727,0.7969,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Photo', 'GPS', 'Portuguese', 'Screen2', 'Symbia']"
Flat Monte Carlo,6,4,None,100,400,371,371,0,0.8284,0.7919,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Screen3', 'Androide', 'Portuguese', 'Video']"
Flat Monte Carlo,7,7,None,100,700,665,665,0,1.4196,1.0999,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Music', 'Video', 'TVDigital', 'Screen3', 'MusicPlayer', 'Symbia', 'Spanish']"
Flat Monte Carlo,8,5,None,100,500,469,469,0,1.0615,1.0949,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'iOS', 'TouchScreen', 'Video', 'Spanish', 'Screen3']"
Flat Monte Carlo,9,5,None,100,500,477,477,0,1.0033,0.8477,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Photo', 'TouchScreen', 'iOS', 'Spanish', 'Screen2']"
Flat Monte Carlo,10,4,None,100,400,381,381,0,0.8308,0.8425,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Photo', 'Symbia', 'Spanish', 'Screen2']"
Flat Monte Carlo,11,5,None,100,500,464,464,0,1.0052,0.8425,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Screen3', 'Symbia', 'TouchScreen', 'Photo', 'Portuguese']"
Flat Monte Carlo,12,5,None,100,500,458,458,0,0.9799,0.8446,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Screen1', 'iOS', 'GPS', 'Photo', 'Portuguese']"
Flat Monte Carlo,13,4,None,100,400,369,369,0,0.8092,0.8409,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'English', 'Photo', 'Screen2', 'Androide']"
Flat Monte Carlo,14,4,None,100,400,383,383,0,0.834,0.7565,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Spanish', 'Video', 'Androide', 'Screen1']"
Flat Monte Carlo,15,4,None,100,400,378,378,0,0.8336,0.7586,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'Portuguese', 'Screen3', 'Video', 'Symbia']"
Flat Monte Carlo,16,4,None,100,400,383,383,0,0.8554,0.7718,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'iOS', 'Spanish', 'Screen1', 'Photo']"
Flat Monte Carlo,17,5,None,100,500,472,472,0,1.0269,0.9137,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'SMSTransfer', 'Screen1', 'Photo', 'Androide', 'Spanish']"
Flat Monte Carlo,18,4,None,100,400,382,382,0,0.8366,0.9086,"['Language', 'MobileMedia2', 'CallManager', 'Speakerphone', 'MediaManagement', 'Calendar', 'OS', 'Radio', 'MediaSelection', 'ScreenSize', 'English', 'WindowsMobile', 'Screen2', 'Video']"
