Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,23,None,0,0,0,0,0,0.0034,0.0415,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'Music', 'WindowsMobile', 'SMSTransfer', 'Portuguese', 'Photo', 'Favourites', 'ResolutionCamera', 'SetFavourites', 'Screen3', 'Resolution8MP', 'TVDigital', 'GPS', 'Connectivity', 'TouchScreen', 'Video', 'Bluetooth', 'Spanish', 'English', 'ViewFavourites', 'ReceivePhoto', 'SendPhoto', 'CopyMedia', 'MusicPlayer']"
Random strategy,2,26,None,0,0,0,0,0,0.0037,0.0953,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'SMSTransfer', 'Screen3', 'WindowsMobile', 'ReceivePhoto', 'Connectivity', 'Portuguese', 'WiFi', 'Music', 'Bluetooth', 'Gmail', 'Spanish', 'ResolutionCamera', 'CopyMedia', 'English', 'MusicPlayer', 'SendPhoto', 'Resolution3MP', 'GoogleMaps', 'Favourites', 'Video', 'Youtube', 'TouchScreen', 'Photo', 'GPS', 'ViewFavourites', 'SetFavourites']"
Random strategy,3,27,None,0,0,0,0,0,0.0037,0.1476,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'Connectivity', 'Favourites', 'Symbia', 'GPS', 'WiFi', 'Screen1', 'GoogleMaps', 'Youtube', 'ResolutionCamera', 'Bluetooth', 'Portuguese', 'Photo', 'TouchScreen', 'Video', 'Resolution3MP', 'SMSTransfer', 'ViewFavourites', 'Spanish', 'CopyMedia', 'English', 'SendPhoto', 'Music', 'ReceivePhoto', 'SetFavourites', 'TVDigital', 'Gmail', 'MusicPlayer']"
Random strategy,4,25,None,0,0,0,0,0,0.0034,0.1958,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'Portuguese', 'Screen1', 'SMSTransfer', 'TouchScreen', 'Music', 'MusicPlayer', 'Connectivity', 'English', 'GPS', 'WindowsMobile', 'ReceivePhoto', 'Favourites', 'Photo', 'Video', 'SetFavourites', 'WiFi', 'CopyMedia', 'Gmail', 'Spanish', 'TVDigital', 'ResolutionCamera', 'Youtube', 'Resolution3MP', 'Bluetooth', 'ViewFavourites']"
Random strategy,5,25,None,0,0,0,0,0,0.0031,0.2432,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'Photo', 'TVDigital', 'Screen2', 'iOS', 'TouchScreen', 'CopyMedia', 'Portuguese', 'Music', 'MusicPlayer', 'English', 'Video', 'Connectivity', 'SMSTransfer', 'ReceivePhoto', 'Favourites', 'SendPhoto', 'SetFavourites', 'ResolutionCamera', 'WiFi', 'Gmail', 'Bluetooth', 'Resolution3MP', 'Spanish', 'GPS', 'ViewFavourites']"
Random strategy,6,22,None,0,0,0,0,0,0.0029,0.2856,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'Screen2', 'Connectivity', 'CopyMedia', 'TVDigital', 'Bluetooth', 'Symbia', 'TouchScreen', 'Photo', 'English', 'Favourites', 'ResolutionCamera', 'WiFi', 'GPS', 'GoogleMaps', 'SetFavourites', 'Gmail', 'Spanish', 'Portuguese', 'Video', 'Resolution8MP', 'ViewFavourites', 'SMSTransfer']"
Random strategy,7,25,None,0,0,0,0,0,0.0037,0.3343,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'Spanish', 'Favourites', 'ResolutionCamera', 'GPS', 'Connectivity', 'SMSTransfer', 'TouchScreen', 'Bluetooth', 'TVDigital', 'Photo', 'Resolution8MP', 'Androide', 'SendPhoto', 'Screen3', 'WiFi', 'GoogleMaps', 'ViewFavourites', 'Video', 'Portuguese', 'Gmail', 'ReceivePhoto', 'English', 'Music', 'MusicPlayer', 'SetFavourites']"
Random strategy,8,10,None,0,0,0,0,0,0.0015,0.3542,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'Connectivity', 'Androide', 'GPS', 'English', 'CopyMedia', 'Bluetooth', 'Photo', 'Screen2', 'TVDigital', 'SMSTransfer']"
Random strategy,9,6,None,0,0,0,0,0,0.0009,0.3645,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'SMSTransfer', 'Spanish', 'Androide', 'GPS', 'Screen2', 'Video']"
Random strategy,10,25,None,0,0,0,0,0,0.0033,0.4144,"['Speakerphone', 'Radio', 'MediaManagement', 'CallManager', 'MediaSelection', 'Calendar', 'ScreenSize', 'Language', 'OS', 'MobileMedia2', 'Favourites', 'CopyMedia', 'Photo', 'ViewFavourites', 'Screen3', 'ResolutionCamera', 'SetFavourites', 'Androide', 'TouchScreen', 'Music', 'MusicPlayer', 'English', 'Connectivity', 'GPS', 'Bluetooth', 'Resolution8MP', 'WiFi', 'Gmail', 'GoogleMaps', 'Portuguese', 'Spanish', 'Youtube', 'SMSTransfer', 'SendPhoto', 'Video']"
