Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,4,None,100,400,400,400,400,0.8632,10.3614,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Video', 'Symbia', 'Portuguese', 'Screen1']"
UCT MCTS,2,5,None,100,500,500,500,500,1.2289,11.2035,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Screen1', 'WindowsMobile', 'TVDigital', 'Spanish', 'Photo']"
UCT MCTS,3,4,None,100,400,400,400,400,0.8873,11.2024,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Screen2', 'iOS', 'Video', 'Spanish']"
UCT MCTS,4,4,None,100,400,400,400,400,0.9321,10.263,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Symbia', 'English', 'Screen3', 'Photo']"
UCT MCTS,5,6,None,100,600,600,600,600,1.3834,15.0458,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Video', 'Screen1', 'English', 'SMSTransfer', 'Photo', 'Symbia']"
UCT MCTS,6,4,None,100,400,400,400,400,0.9277,15.0444,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Photo', 'Androide', 'Portuguese', 'Screen1']"
UCT MCTS,7,4,None,100,400,400,400,400,0.9523,10.8488,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'English', 'Photo', 'Screen1', 'iOS']"
UCT MCTS,8,4,None,100,400,400,400,400,0.9555,10.9767,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Video', 'Symbia', 'Screen2', 'English']"
UCT MCTS,9,5,None,100,500,500,500,500,1.2315,12.8508,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'TouchScreen', 'Video', 'WindowsMobile', 'Portuguese', 'Screen3']"
UCT MCTS,10,5,None,100,500,500,500,500,1.2758,12.85,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'GPS', 'English', 'Screen3', 'Video', 'WindowsMobile']"
UCT MCTS,11,4,None,100,400,400,400,400,0.9102,12.7663,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'iOS', 'Photo', 'Screen1', 'English']"
UCT MCTS,12,4,None,100,400,400,400,400,0.8977,10.3202,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Screen2', 'Photo', 'Portuguese', 'iOS']"
UCT MCTS,13,5,None,100,500,500,500,500,1.0951,13.0116,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'English', 'Photo', 'Screen1', 'SMSTransfer', 'iOS']"
UCT MCTS,14,4,None,100,400,400,400,400,0.9221,13.0108,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'English', 'Video', 'Screen3', 'WindowsMobile']"
UCT MCTS,15,4,None,100,400,400,400,400,0.9171,10.9349,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Video', 'Screen3', 'WindowsMobile', 'Portuguese']"
UCT MCTS,16,4,None,100,400,400,400,400,0.9347,10.6879,"['ScreenSize', 'MobileMedia2', 'Speakerphone', 'OS', 'CallManager', 'Calendar', 'MediaSelection', 'Radio', 'Language', 'MediaManagement', 'Video', 'Androide', 'Portuguese', 'Screen1']"
