Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,3,None,100,300,91,91,91,0.123,0.5192,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Neapolitan', 'Salami']"
UCT MCTS,2,3,None,100,300,88,88,88,0.1541,0.5228,"['Size', 'Topping', 'Pizza', 'Dough', 'Big', 'Neapolitan', 'Salami']"
UCT MCTS,3,3,None,100,300,99,99,99,0.1825,0.5663,"['Size', 'Topping', 'Pizza', 'Dough', 'Sicilian', 'Big', 'Salami']"
UCT MCTS,4,3,None,100,300,112,112,112,0.1982,0.6408,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Mozzarella', 'Sicilian']"
UCT MCTS,5,3,None,100,300,88,88,88,0.1243,0.6388,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Sicilian', 'Salami']"
UCT MCTS,6,3,None,100,300,92,92,92,0.1626,0.5487,"['Size', 'Topping', 'Pizza', 'Dough', 'Big', 'Neapolitan', 'Salami']"
UCT MCTS,7,3,None,100,300,87,87,87,0.1662,0.5469,"['Size', 'Topping', 'Pizza', 'Dough', 'Big', 'Sicilian', 'Salami']"
UCT MCTS,8,3,None,100,300,93,93,93,0.1297,0.5877,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Neapolitan', 'Salami']"
UCT MCTS,9,3,None,100,300,98,98,98,0.1449,0.6055,"['Size', 'Topping', 'Pizza', 'Dough', 'Neapolitan', 'Normal', 'Salami']"
UCT MCTS,10,3,None,100,300,86,86,86,0.1317,0.6033,"['Size', 'Topping', 'Pizza', 'Dough', 'Sicilian', 'Normal', 'Ham']"
UCT MCTS,11,3,None,100,300,100,100,100,0.1631,0.6367,"['Size', 'Topping', 'Pizza', 'Dough', 'Big', 'Sicilian', 'Salami']"
UCT MCTS,12,3,None,100,300,101,101,101,0.1868,0.6432,"['Size', 'Topping', 'Pizza', 'Dough', 'Sicilian', 'Big', 'Salami']"
UCT MCTS,13,3,None,100,300,87,87,87,0.1266,0.6412,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Neapolitan', 'Ham']"
UCT MCTS,14,3,None,100,300,90,90,90,0.1364,0.5887,"['Size', 'Topping', 'Pizza', 'Dough', 'Neapolitan', 'Normal', 'Ham']"
UCT MCTS,15,3,None,100,300,89,89,89,0.1201,0.6006,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Neapolitan', 'Salami']"
UCT MCTS,16,3,None,100,300,102,102,102,0.1357,0.674,"['Size', 'Topping', 'Pizza', 'Dough', 'Sicilian', 'Normal', 'Salami']"
UCT MCTS,17,3,None,100,300,97,97,97,0.1666,0.6718,"['Size', 'Topping', 'Pizza', 'Dough', 'Big', 'Neapolitan', 'Salami']"
UCT MCTS,18,3,None,100,300,84,84,84,0.1245,0.654,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Neapolitan', 'Ham']"
UCT MCTS,19,3,None,100,300,92,92,92,0.1217,0.6598,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Sicilian', 'Salami']"
UCT MCTS,20,3,None,100,300,99,99,99,0.1379,0.683,"['Size', 'Topping', 'Pizza', 'Dough', 'Sicilian', 'Normal', 'Mozzarella']"
UCT MCTS,21,3,None,100,300,83,83,83,0.1219,0.6809,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Sicilian', 'Ham']"
UCT MCTS,22,3,None,100,300,85,85,85,0.123,0.6125,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Neapolitan', 'Salami']"
UCT MCTS,23,3,None,100,300,75,75,75,0.1187,0.5997,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Sicilian', 'Salami']"
UCT MCTS,24,3,None,100,300,90,90,90,0.1298,0.6649,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Sicilian', 'Salami']"
UCT MCTS,25,3,None,100,300,90,90,90,0.1339,0.6678,"['Size', 'Topping', 'Pizza', 'Dough', 'Sicilian', 'Normal', 'Ham']"
UCT MCTS,26,3,None,100,300,89,89,89,0.1273,0.6825,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Sicilian', 'Salami']"
UCT MCTS,27,3,None,100,300,91,91,91,0.123,0.6966,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Sicilian', 'Mozzarella']"
UCT MCTS,28,3,None,100,300,99,99,99,0.1616,0.733,"['Size', 'Topping', 'Pizza', 'Dough', 'Big', 'Mozzarella', 'Neapolitan']"
UCT MCTS,29,3,None,100,300,96,96,96,0.1824,0.7309,"['Size', 'Topping', 'Pizza', 'Dough', 'Sicilian', 'Big', 'Salami']"
UCT MCTS,30,3,None,100,300,88,88,88,0.1425,0.7215,"['Size', 'Topping', 'Pizza', 'Dough', 'Normal', 'Salami', 'Sicilian']"
