Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,6,None,0,0,0,0,0,0.0009,0.0099,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'PC', 'DE', 'M_600', 'Image', 'Easy', 'USA_M1Abrams']"
Random strategy,2,18,None,0,0,0,0,0,0.0025,0.0468,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'M_600', 'Record', 'Tools', 'China_Type99', 'explodieren', 'DE', 'Image', 'PC', 'Beschleunigung', 'Re_fuer_Handy', 'Mars', 'fuer_PC', 'Soundeffekt', 'einfrieren', 'Bombe', 'IMG_tool', 'Hard', 'Sound_fuer_pc']"
Random strategy,3,15,None,0,0,0,0,0,0.0022,0.0748,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'Tools', 'explodieren', 'China_Type99', 'USA_M1Abrams', 'Hard', 'PC', 'Feuerkraft', 'Beschleunigung', 'Image', 'Record', 'Re_fuer_PC', 'Mars', 'IMG_tool', 'EN', 'M_780']"
Random strategy,4,5,None,0,0,0,0,0,0.0006,0.0826,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'DE', 'Germany_Leopard', 'Easy', 'M_780', 'Handy']"
Random strategy,5,10,None,0,0,0,0,0,0.0013,0.1015,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'EN', 'Soundeffekt', 'Easy', 'M_780', 'Sound_fuer_Handy', 'Tools', 'Handy', 'einfrieren', 'Feuerkraft', 'USA_M1Abrams']"
Random strategy,6,13,None,0,0,0,0,0,0.0018,0.1279,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'Tools', 'Handy', 'Easy', 'Beschleunigung', 'Mars', 'China_Type99', 'einfrieren', 'USA_M1Abrams', 'EN', 'explodieren', 'Bombe', 'Feuerkraft', 'M_600']"
Random strategy,7,19,None,0,0,0,0,0,0.0027,0.1644,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'DE', 'Tools', 'Bombe', 'China_Type99', 'explodieren', 'Record', 'Re_fuer_PC', 'Soundeffekt', 'Sound_fuer_Handy', 'Image', 'Beschleunigung', 'Handy', 'Mars', 'Hard', 'einfrieren', 'fuer_PC', 'fuer_Handy', 'USA_M1Abrams', 'M_240']"
Random strategy,8,16,None,0,0,0,0,0,0.0023,0.1943,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'M_240', 'Tools', 'Image', 'Handy', 'DE', 'USA_M1Abrams', 'Soundeffekt', 'China_Type99', 'Hard', 'Feuerkraft', 'einfrieren', 'Germany_Leopard', 'fuer_Handy', 'IMG_tool', 'fuer_PC', 'Sound_fuer_pc']"
Random strategy,9,7,None,0,0,0,0,0,0.0007,0.2057,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'Hard', 'PC', 'China_Type99', 'EN', 'Record', 'M_600', 'Re_fuer_PC']"
Random strategy,10,20,None,0,0,0,0,0,0.0022,0.244,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'M_240', 'EN', 'Handy', 'USA_M1Abrams', 'Soundeffekt', 'Sound_fuer_Handy', 'Record', 'Re_fuer_PC', 'Germany_Leopard', 'explodieren', 'Tools', 'Bombe', 'Mars', 'China_Type99', 'Feuerkraft', 'einfrieren', 'Image', 'Beschleunigung', 'fuer_PC', 'Hard']"
Random strategy,11,8,None,0,0,0,0,0,0.0009,0.2571,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'M_240', 'Hard', 'Soundeffekt', 'DE', 'China_Type99', 'PC', 'Germany_Leopard', 'Sound_fuer_Handy']"
Random strategy,12,22,None,0,0,0,0,0,0.0024,0.2991,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'China_Type99', 'Germany_Leopard', 'USA_M1Abrams', 'EN', 'Handy', 'Record', 'M_600', 'Re_fuer_PC', 'explodieren', 'Image', 'fuer_PC', 'IMG_tool', 'Tools', 'Beschleunigung', 'Soundeffekt', 'Easy', 'Feuerkraft', 'einfrieren', 'Energie', 'Bombe', 'Mars', 'Sound_fuer_Handy']"
Random strategy,13,8,None,0,0,0,0,0,0.0009,0.3124,"['AI', 'Platform', 'Map', 'Tanks', 'GUI', 'Language', 'TankWar', 'DE', 'M_600', 'China_Type99', 'PC', 'Tools', 'einfrieren', 'Energie', 'Hard']"
