Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,11,None,100,1100,738,738,738,3.1469,5.8485,"['GPL', 'Weight', 'Driver', 'GraphType', 'Undirected', 'Search', 'Directed', 'Benchmark', 'DFS', 'Algorithms', 'CC']"
Greedy MCTS,2,9,None,100,900,831,831,831,2.0908,6.9421,"['GPL', 'GraphType', 'Directed', 'Driver', 'Benchmark', 'Weight', 'Algorithms', 'Num', 'Search']"
Greedy MCTS,3,11,None,100,1100,769,769,769,3.1428,6.9034,"['GPL', 'GraphType', 'Weight', 'Driver', 'Search', 'Benchmark', 'Algorithms', 'Undirected', 'DFS', 'Directed', 'Num']"
Greedy MCTS,4,9,None,100,900,863,863,863,2.0907,7.5785,"['GPL', 'Driver', 'Benchmark', 'GraphType', 'Search', 'Undirected', 'DFS', 'Algorithms', 'Cycle']"
Greedy MCTS,5,11,None,100,1100,771,771,771,3.2085,6.4854,"['GPL', 'Driver', 'Search', 'Weight', 'Benchmark', 'GraphType', 'Directed', 'BFS', 'Undirected', 'Algorithms', 'Kruskal']"
Greedy MCTS,6,11,None,100,1100,810,810,810,3.1081,6.9601,"['GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'Undirected', 'Weight', 'DFS', 'Algorithms', 'Directed', 'SCC']"
Greedy MCTS,7,12,None,100,1200,810,810,810,3.4578,7.1009,"['GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'DFS', 'Undirected', 'BFS', 'Weight', 'Directed', 'Algorithms', 'CC']"
Greedy MCTS,8,11,None,100,1100,881,881,881,3.0609,7.3274,"['GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Search', 'DFS', 'BFS', 'Directed', 'Algorithms', 'SCC']"
Greedy MCTS,9,11,None,100,1100,793,793,793,3.1955,6.6169,"['GPL', 'Search', 'Weight', 'GraphType', 'Driver', 'DFS', 'Benchmark', 'Undirected', 'BFS', 'Algorithms', 'Cycle']"
Greedy MCTS,10,9,None,100,900,819,819,819,2.2227,7.0668,"['GPL', 'Search', 'GraphType', 'DFS', 'Driver', 'Directed', 'Benchmark', 'Algorithms', 'Num']"
Greedy MCTS,11,11,None,100,1100,722,722,722,3.272,5.9769,"['GPL', 'Weight', 'Driver', 'GraphType', 'Undirected', 'Benchmark', 'Search', 'DFS', 'Directed', 'Algorithms', 'CC']"
