Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,11,None,100,1000,1000,1000,0,0.6356,0.6062,"['GPL', 'Weight', 'Driver', 'Search', 'GraphType', 'Directed', 'Benchmark', 'DFS', 'Undirected', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,2,7,None,100,600,600,600,0,0.4106,0.6379,"['GPL', 'Driver', 'Benchmark', 'Search', 'GraphType', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,3,10,None,100,900,900,900,0,0.5805,0.6574,"['GPL', 'GraphType', 'Driver', 'Undirected', 'Directed', 'Benchmark', 'Weight', 'Search', 'Algorithms', 'Kruskal']"
Parallel Flat Monte Carlo,4,10,None,100,900,900,900,0,0.6058,0.6727,"['GPL', 'GraphType', 'Weight', 'Driver', 'Directed', 'Benchmark', 'Search', 'DFS', 'Algorithms', 'Shortest']"
Parallel Flat Monte Carlo,5,11,None,100,1000,1000,1000,0,0.6513,0.688,"['GPL', 'Weight', 'Search', 'Driver', 'DFS', 'BFS', 'GraphType', 'Benchmark', 'Undirected', 'Algorithms', 'Prim']"
Parallel Flat Monte Carlo,6,10,None,100,900,900,900,0,0.6005,0.7046,"['GPL', 'GraphType', 'Driver', 'Directed', 'Benchmark', 'Undirected', 'Weight', 'Search', 'Algorithms', 'Shortest']"
Parallel Flat Monte Carlo,7,10,None,100,900,900,900,0,0.6199,0.7204,"['GPL', 'GraphType', 'Driver', 'Directed', 'Weight', 'Undirected', 'Benchmark', 'Search', 'Algorithms', 'Shortest']"
Parallel Flat Monte Carlo,8,10,None,100,900,900,900,0,0.6137,0.7359,"['GPL', 'GraphType', 'Search', 'Driver', 'Undirected', 'Weight', 'Benchmark', 'DFS', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,9,10,None,100,900,900,900,0,0.6181,0.7466,"['GPL', 'Driver', 'Benchmark', 'GraphType', 'Undirected', 'Directed', 'Weight', 'Search', 'Algorithms', 'CC']"
Parallel Flat Monte Carlo,10,8,None,100,700,700,700,0,0.4745,0.7574,"['GPL', 'GraphType', 'Driver', 'Undirected', 'Weight', 'Benchmark', 'Algorithms', 'Kruskal']"
Parallel Flat Monte Carlo,11,9,None,100,800,800,800,0,0.5431,0.7794,"['GPL', 'Weight', 'GraphType', 'Search', 'Driver', 'Undirected', 'Benchmark', 'Algorithms', 'CC']"
Parallel Flat Monte Carlo,12,8,None,100,700,700,700,0,0.4768,0.7841,"['GPL', 'GraphType', 'Undirected', 'Driver', 'Weight', 'Benchmark', 'Algorithms', 'Prim']"
Parallel Flat Monte Carlo,13,10,None,100,900,900,900,0,0.6184,0.8056,"['GPL', 'Weight', 'Driver', 'GraphType', 'Benchmark', 'Directed', 'Search', 'DFS', 'Algorithms', 'Cycle']"
Parallel Flat Monte Carlo,14,11,None,100,1000,1000,1000,0,0.6812,0.8209,"['GPL', 'Driver', 'GraphType', 'Benchmark', 'Weight', 'Directed', 'Search', 'DFS', 'Undirected', 'Algorithms', 'Prim']"
Parallel Flat Monte Carlo,15,8,None,100,700,700,700,0,0.4778,0.8282,"['GPL', 'Driver', 'Benchmark', 'GraphType', 'Undirected', 'Weight', 'Algorithms', 'Prim']"
Parallel Flat Monte Carlo,16,8,None,100,700,700,700,0,0.4807,0.8403,"['GPL', 'Weight', 'Search', 'GraphType', 'Driver', 'Benchmark', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,17,10,None,100,900,900,900,0,0.6285,0.8622,"['GPL', 'Weight', 'Driver', 'GraphType', 'Directed', 'Benchmark', 'Undirected', 'Search', 'Algorithms', 'Shortest']"
Parallel Flat Monte Carlo,18,11,None,100,1000,1000,1000,0,0.6965,0.8776,"['GPL', 'Weight', 'Search', 'BFS', 'Driver', 'Benchmark', 'GraphType', 'Undirected', 'DFS', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,19,9,None,100,800,800,800,0,0.5595,0.8944,"['GPL', 'GraphType', 'Directed', 'Weight', 'Driver', 'Undirected', 'Benchmark', 'Algorithms', 'Prim']"
Parallel Flat Monte Carlo,20,9,None,100,800,800,800,0,0.5584,0.9082,"['GPL', 'GraphType', 'Driver', 'Weight', 'Directed', 'Benchmark', 'Undirected', 'Algorithms', 'Prim']"
Parallel Flat Monte Carlo,21,10,None,100,900,900,900,0,0.6331,0.9219,"['GPL', 'GraphType', 'Undirected', 'Driver', 'Benchmark', 'Search', 'DFS', 'Weight', 'Algorithms', 'Kruskal']"
Parallel Flat Monte Carlo,22,9,None,100,800,800,800,0,0.5599,0.9375,"['GPL', 'Weight', 'Driver', 'GraphType', 'Benchmark', 'Undirected', 'Search', 'Algorithms', 'Prim']"
Parallel Flat Monte Carlo,23,11,None,100,1000,1000,1000,0,0.7051,0.9516,"['GPL', 'Driver', 'GraphType', 'Search', 'Benchmark', 'Weight', 'DFS', 'Undirected', 'Directed', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,24,11,None,100,1000,1000,1000,0,0.7034,0.9683,"['GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'Undirected', 'Weight', 'DFS', 'Directed', 'Algorithms', 'CC']"
Parallel Flat Monte Carlo,25,8,None,100,700,700,700,0,0.5153,0.9755,"['GPL', 'GraphType', 'Driver', 'Benchmark', 'Search', 'Weight', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,26,10,None,100,900,900,900,0,0.6422,0.9975,"['GPL', 'Driver', 'GraphType', 'Directed', 'Benchmark', 'Undirected', 'Weight', 'Search', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,27,8,None,100,700,700,700,0,0.4957,1.0042,"['GPL', 'Driver', 'GraphType', 'Undirected', 'Benchmark', 'Search', 'Algorithms', 'Num']"
Parallel Flat Monte Carlo,28,9,None,100,800,800,800,0,0.5703,1.0262,"['GPL', 'GraphType', 'Weight', 'Driver', 'Search', 'Benchmark', 'DFS', 'Algorithms', 'Num']"
