Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,14,None,0,0,0,0,0,0.0009,0.0167,"['GPL', 'Driver', 'GraphType', 'Search', 'Undirected', 'Benchmark', 'Algorithms', 'SCC', 'Cycle', 'CC', 'BFS', 'DFS', 'Weight', 'Directed']"
Random strategy,2,17,None,0,0,0,0,0,0.0009,0.0457,"['GPL', 'Search', 'Weight', 'GraphType', 'Driver', 'BFS', 'Benchmark', 'Algorithms', 'Kruskal', 'Shortest', 'SCC', 'Cycle', 'Num', 'CC', 'Directed', 'Undirected', 'DFS']"
Random strategy,3,12,None,0,0,0,0,0,0.0007,0.0638,"['GPL', 'Search', 'GraphType', 'Driver', 'Directed', 'Undirected', 'BFS', 'Algorithms', 'SCC', 'Num', 'Benchmark', 'DFS']"
Random strategy,4,17,None,0,0,0,0,0,0.0009,0.0893,"['GPL', 'Driver', 'Search', 'BFS', 'Algorithms', 'DFS', 'SCC', 'Cycle', 'Num', 'Shortest', 'Weight', 'Benchmark', 'Prim', 'CC', 'GraphType', 'Directed', 'Undirected']"
Random strategy,5,16,None,0,0,0,0,0,0.0009,0.1132,"['GPL', 'Algorithms', 'Weight', 'Shortest', 'Kruskal', 'Num', 'Search', 'BFS', 'CC', 'DFS', 'Driver', 'Benchmark', 'Cycle', 'GraphType', 'Undirected', 'Directed']"
Random strategy,6,17,None,0,0,0,0,0,0.001,0.1388,"['GPL', 'Search', 'BFS', 'Driver', 'GraphType', 'Algorithms', 'Cycle', 'Num', 'Directed', 'SCC', 'Shortest', 'Benchmark', 'DFS', 'Prim', 'CC', 'Weight', 'Undirected']"
Random strategy,7,17,None,0,0,0,0,0,0.0009,0.1646,"['GPL', 'Weight', 'Search', 'Algorithms', 'SCC', 'Prim', 'Cycle', 'GraphType', 'Driver', 'Num', 'BFS', 'Benchmark', 'Undirected', 'Shortest', 'Directed', 'CC', 'DFS']"
Random strategy,8,12,None,0,0,0,0,0,0.0007,0.1829,"['GPL', 'Driver', 'GraphType', 'Benchmark', 'Search', 'Algorithms', 'DFS', 'Shortest', 'Undirected', 'CC', 'Weight', 'Directed']"
Random strategy,9,17,None,0,0,0,0,0,0.0013,0.2084,"['GPL', 'GraphType', 'Algorithms', 'Weight', 'Shortest', 'Prim', 'Cycle', 'Search', 'Undirected', 'DFS', 'Driver', 'SCC', 'BFS', 'Benchmark', 'CC', 'Num', 'Directed']"
Random strategy,10,16,None,0,0,0,0,0,0.0009,0.2323,"['GPL', 'Weight', 'GraphType', 'Algorithms', 'Cycle', 'Prim', 'Undirected', 'Num', 'Directed', 'CC', 'Driver', 'Benchmark', 'Shortest', 'SCC', 'Search', 'DFS']"
Random strategy,11,15,None,0,0,0,0,0,0.0007,0.2546,"['GPL', 'Search', 'Weight', 'GraphType', 'Undirected', 'Directed', 'Driver', 'BFS', 'DFS', 'Algorithms', 'Prim', 'CC', 'Shortest', 'SCC', 'Benchmark']"
Random strategy,12,17,None,0,0,0,0,0,0.0009,0.2809,"['GPL', 'Search', 'Algorithms', 'Shortest', 'BFS', 'Prim', 'Cycle', 'Weight', 'DFS', 'Driver', 'SCC', 'CC', 'Benchmark', 'GraphType', 'Undirected', 'Num', 'Directed']"
Random strategy,13,16,None,0,0,0,0,0,0.0009,0.3052,"['GPL', 'Search', 'Algorithms', 'DFS', 'Driver', 'Cycle', 'Weight', 'GraphType', 'SCC', 'Num', 'Shortest', 'Undirected', 'BFS', 'CC', 'Directed', 'Benchmark']"
Random strategy,14,16,None,0,0,0,0,0,0.0009,0.3292,"['GPL', 'Driver', 'Algorithms', 'Benchmark', 'Num', 'Prim', 'GraphType', 'Weight', 'CC', 'Directed', 'Undirected', 'SCC', 'Search', 'BFS', 'Shortest', 'DFS']"
Random strategy,15,15,None,0,0,0,0,0,0.0009,0.3519,"['GPL', 'GraphType', 'Search', 'Driver', 'Algorithms', 'DFS', 'Prim', 'CC', 'Benchmark', 'Directed', 'Num', 'BFS', 'Weight', 'SCC', 'Undirected']"
Random strategy,16,12,None,0,0,0,0,0,0.0006,0.3699,"['GPL', 'Weight', 'GraphType', 'Undirected', 'Directed', 'Search', 'BFS', 'Algorithms', 'Driver', 'CC', 'Kruskal', 'Benchmark']"
Random strategy,17,10,None,0,0,0,0,0,0.0004,0.3851,"['GPL', 'Search', 'BFS', 'Weight', 'Driver', 'DFS', 'GraphType', 'Benchmark', 'Algorithms', 'Cycle']"
