Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,111,None,100,11100,11100,11100,11100,917.503,1042.0972,"['FQAs', 'Persistence', 'ContextAwareness', 'LocationAware', 'DeviceAware', 'UserAware', 'FileStorage', 'WiFiLocation', 'FileStorageOperations', 'Usability', 'FileStorageImplementations', 'DeleteFile', 'IRSensor', 'DatabaseStorage', 'TemporalFile', 'Performance', 'EnvironmentAware', 'JavaIO', 'Feedback', 'GPS', 'TimeAware', 'SystemStatusDisplay', 'SecureDatabase', 'DatabaseStorageOperations', 'Query', 'BatteryStatus', 'Alerts', 'Security', 'Authentication', 'DatabaseStorageImplementations', 'Integrity', 'PasswordType', 'Encryption', 'AuthenticationOperations', 'ExecutionControl', 'Caching', 'CacheType', 'Privacy', 'Non_Repudiation', 'LocalCache', 'DatabaseType', 'MySQL', 'Confidentiality', 'KeySize', 'AuthenticationImplementations', 'MaxSizeCache', 'EncryptionImplementations', 'ExecutionControl_1', 'Numeric', 'JAAS', 'AuthenticationLogging', 'Hashing', 'DataType', 'HashingAlgorithms', 'EncryptionAlgorithms', 'Integers', 'SHA256', 'Mode', 'Objects', 'Symmetric', 'AES', 'CBC', 'HashingOperations', 'Cancel', 'PasswordLength', 'NoSQL', 'InteractionFeedback', 'CachingOperations', 'ContextualHelp', 'Floats', 'Hash', 'Padding', 'CacheUpdate', 'AuthenticatedUser', 'Redo', 'HelpType', 'MaxLifeSeconds', 'PKCS5', 'Internationalization', 'Authenticate', 'FileType', 'EternalObjects', 'JavaxCrypto', 'TXTFile', 'Strings', 'ContextualHelpOperations', 'ProgressFeedback', 'GoBack', 'Undo', 'Tutorial', 'ContextualHelpImplementations', 'JavaWizardAPI', 'LimitedSession', 'CachingImplementations', 'Locale', 'AuthenticationMechanism', 'EncryptionOperations', 'SocialID', 'UserType', 'Shortcuts', 'Expert', 'HashingImplementations', 'Caffeine', 'ShowHelp', 'Decrypt', 'Beginner', 'Intermediate', 'AnonymousUser', 'Wizard', 'Advanced', 'Guava']"
Greedy MCTS,2,3,None,100,300,300,300,300,21.5725,18.0731,"['FQAs', 'Security', 'Non_Repudiation']"
Greedy MCTS,3,3,None,100,300,300,300,300,20.5191,15.9634,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,4,3,None,100,300,300,300,300,20.738,15.8828,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,5,3,None,100,300,300,300,300,22.5119,17.344,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,6,3,None,100,300,300,300,300,21.7936,18.3004,"['FQAs', 'Security', 'Non_Repudiation']"
Greedy MCTS,7,89,None,100,8900,8900,8900,8900,754.5281,728.1714,"['FQAs', 'Persistence', 'Performance', 'Security', 'Authentication', 'Hashing', 'HashingOperations', 'LimitedSession', 'DatabaseStorage', 'AuthenticationImplementations', 'PasswordLength', 'SpringSecurity', 'HashingAlgorithms', 'HashingImplementations', 'AuthenticationMechanism', 'SocialID', 'Non_Repudiation', 'AnonymousUser', 'MD5', 'ContextAwareness', 'DataType', 'Integers', 'Floats', 'Objects', 'Caching', 'UserAware', 'AuthenticationOperations', 'Confidentiality', 'PasswordType', 'Guava', 'AuthenticationLogging', 'DatabaseStorageImplementations', 'Alphanumeric', 'CachingImplementations', 'DeviceAware', 'EternalObjects', 'Caffeine', 'BatteryStatus', 'FileStorage', 'SecureDatabase', 'EnvironmentAware', 'OracleDB', 'TimeAware', 'IRSensor', 'TemporalFile', 'DatabaseStorageOperations', 'FileType', 'Store', 'XMLFile', 'LocationAware', 'WiFiLocation', 'Privacy', 'Encryption', 'FileStorageImplementations', 'Authenticate', 'KeySize', 'DatabaseType', 'EncryptionImplementations', 'FileStorageOperations', 'EncryptionAlgorithms', 'Mode', 'JavaIO', 'ModifyFile', 'Relational', 'EncryptionOperations', 'Encrypt', 'ECB', 'CacheType', 'MaxLifeSeconds', 'CachingOperations', 'BouncyCastle', 'Symmetric', 'DES', 'GPS', 'Integrity', 'Padding', 'RemoteCache', 'PKCS5', 'Hash', 'Usability', 'Feedback', 'ExecutionControl', 'MaxSizeCache', 'Strings', 'CacheStore', 'ExecutionControl_1', 'SystemStatusDisplay', 'GoBack', 'Alerts']"
Greedy MCTS,8,3,None,100,300,300,300,300,22.06,19.0515,"['FQAs', 'Security', 'Integrity']"
Greedy MCTS,9,3,None,100,300,300,300,300,22.5404,18.4673,"['FQAs', 'Security', 'Confidentiality']"
Greedy MCTS,10,3,None,100,300,300,300,300,22.9433,18.6714,"['FQAs', 'Security', 'Privacy']"
Greedy MCTS,11,4,None,100,400,400,400,400,28.8106,21.1288,"['FQAs', 'ContextAwareness', 'LocationAware', 'GPS']"
Greedy MCTS,12,3,None,100,300,300,300,300,20.8201,17.4809,"['FQAs', 'ContextAwareness', 'TimeAware']"
Greedy MCTS,13,3,None,100,300,300,300,300,22.7251,18.0762,"['FQAs', 'Security', 'Privacy']"
Greedy MCTS,14,3,None,100,300,300,300,300,22.8208,18.7041,"['FQAs', 'Security', 'Confidentiality']"
Greedy MCTS,15,3,None,100,300,300,300,300,21.7002,19.1596,"['FQAs', 'Security', 'Privacy']"
Greedy MCTS,16,3,None,100,300,300,300,300,24.0691,17.9,"['FQAs', 'Security', 'Privacy']"
Greedy MCTS,17,3,None,100,300,300,300,300,22.1941,16.9011,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,18,3,None,100,300,300,300,300,22.6869,17.3256,"['FQAs', 'ContextAwareness', 'UserAware']"
Greedy MCTS,19,3,None,100,300,300,300,300,21.0119,17.6029,"['FQAs', 'ContextAwareness', 'TimeAware']"
Greedy MCTS,20,3,None,100,300,300,300,300,22.8789,18.7823,"['FQAs', 'Security', 'Non_Repudiation']"
Greedy MCTS,21,3,None,100,300,300,300,300,21.7553,19.1711,"['FQAs', 'Security', 'Confidentiality']"
Greedy MCTS,22,3,None,100,300,300,300,300,21.606,18.3837,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
Greedy MCTS,23,3,None,100,300,300,300,300,24.2025,18.119,"['FQAs', 'Security', 'Privacy']"
Greedy MCTS,24,3,None,100,300,300,300,300,22.7131,18.9175,"['FQAs', 'Security', 'Confidentiality']"
Greedy MCTS,25,3,None,100,300,300,300,300,22.3008,17.9924,"['FQAs', 'ContextAwareness', 'UserAware']"
Greedy MCTS,26,119,None,100,11900,11900,11900,11900,917.8635,1504.1099,"['FQAs', 'Persistence', 'Performance', 'DatabaseStorage', 'Security', 'Hashing', 'Authentication', 'AuthenticationOperations', 'Encryption', 'Padding', 'LimitedSession', 'DataType', 'AnonymousUser', 'Usability', 'PKCS1', 'HashingOperations', 'KeySize', 'Strings', 'Integers', 'ExecutionControl', 'AuthenticationMechanism', 'Internationalization', 'Integrity', 'UserPassword', 'Caching', 'Locale', 'SecureDatabase', 'EncryptionAlgorithms', 'Authenticate', 'Mode', 'FileStorage', 'CacheType', 'Non_Repudiation', 'CachingOperations', 'CBC', 'CacheStore', 'Asymmetric', 'RSA', 'HashingImplementations', 'ContextualHelp', 'FileStorageOperations', 'DatabaseStorageOperations', 'JavaSecurityMessageDigest', 'PasswordType', 'Hash', 'DeleteFile', 'ContextAwareness', 'HelpType', 'EnvironmentAware', 'Logging', 'DatabaseStorageImplementations', 'ErrorLog', 'MongoDB', 'HashingAlgorithms', 'SHA256', 'LoggingOperations', 'Level', 'Query', 'LocalCache', 'UserAware', 'Trace', 'AuthenticationLogging', 'ContextualHelpImplementations', 'Shortcuts', 'DeviceAware', 'Tutorial', 'EncryptionImplementations', 'AuthenticatedUser', 'Objects', 'Wizard', 'JavaxCrypto', 'ContextualHelpOperations', 'Handler', 'SpecialChars', 'EternalObjects', 'Debug', 'MaxSizeCache', 'TemporalFile', 'Error', 'LoggingImplementations', 'LocationAware', 'Log4J', 'EncryptionOperations', 'WiFiLocation', 'HistoryLog', 'Encrypt', 'CypheredMessages', 'FileType', 'MaxLifeSeconds', 'CachingImplementations', 'PasswordLength', 'FileStorageImplementations', 'JSONFile', 'JavaIO', 'Info', 'Format', 'Confidentiality', 'Warning', 'ConsoleLog', 'HTML', 'AuthenticationImplementations', 'Caffeine', 'ShowHelp', 'SpringSecurity', 'TimeAware', 'Log', 'DatabaseType', 'Feedback', 'InteractionFeedback', 'JavaWizardAPI', 'Privacy', 'Relational', 'BatteryStatus', 'ExecutionControl_1', 'Undo', 'ProgressFeedback', 'UserType', 'Alerts', 'Beginner']"
Greedy MCTS,27,3,None,100,300,300,300,300,22.3588,20.2824,"['FQAs', 'Security', 'Integrity']"
Greedy MCTS,28,3,None,100,300,300,300,300,22.2277,19.9878,"['FQAs', 'Security', 'Privacy']"
Greedy MCTS,29,3,None,100,300,300,300,300,23.673,19.9116,"['FQAs', 'Security', 'Privacy']"
Greedy MCTS,30,3,None,100,300,300,300,300,20.7071,19.0531,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
