Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,128,None,100,12700,12700,12700,0,132.7423,1.4171,"['FQAs', 'Security', 'Usability', 'Non_Repudiation', 'ContextAwareness', 'Performance', 'UserAware', 'Privacy', 'ExecutionControl', 'Caching', 'MaxSizeCache', 'ExecutionControl_1', 'EnvironmentAware', 'MaxLifeSeconds', 'CachingImplementations', 'Hashing', 'Cancel', 'Authentication', 'AuthenticationLogging', 'Logging', 'Redo', 'CacheType', 'LocationAware', 'Persistence', 'ContextualHelp', 'LimitedSession', 'TimeAware', 'Confidentiality', 'HelpType', 'GoBack', 'DeviceAware', 'ErrorLog', 'Integrity', 'BatteryStatus', 'EternalObjects', 'LoggingImplementations', 'AuthenticationImplementations', 'ContextualHelpImplementations', 'TraceFile', 'HashingImplementations', 'IRSensor', 'HashingAlgorithms', 'LocalCache', 'JavaUtilLogging', 'AuthenticationMechanism', 'Level', 'SHA512', 'Wizard', 'HashingOperations', 'Handler', 'Shortcuts', 'UserPassword', 'Guava', 'FileStorage', 'PasswordLength', 'FileLog', 'UserType', 'AuthenticatedUser', 'CypheredMessages', 'WiFiLocation', 'Hash', 'Warning', 'Debug', 'ContextualHelpOperations', 'Undo', 'Info', 'Internationalization', 'AnonymousUser', 'JAAS', 'FileStorageImplementations', 'Advanced', 'LoggingOperations', 'Expert', 'Beginner', 'PasswordType', 'Feedback', 'Locale', 'Tutorial', 'Log', 'SystemStatusDisplay', 'InteractionFeedback', 'AuthenticationOperations', 'Trace', 'JavaWizardAPI', 'Numeric', 'Error', 'HistoryLog', 'Format', 'TXT', 'FileStorageOperations', 'DatabaseStorage', 'Alerts', 'CreateFile', 'FileType', 'Caffeine', 'Authenticate', 'GPS', 'DatabaseStorageOperations', 'Query', 'SecureDatabase', 'DataType', 'Encryption', 'EncryptionAlgorithms', 'Asymmetric', 'DatabaseStorageImplementations', 'TXTFile', 'KeySize', 'JavaIO', 'OracleDB', 'DSA', 'Floats', 'Strings', 'Objects', 'DatabaseType', 'EncryptionImplementations', 'CachingOperations', 'EncryptionOperations', 'CacheUpdate', 'Mode', 'Relational', 'Intermediate', 'CTR', 'Padding', 'TemporalFile', 'Encrypt', 'PKCS5', 'ShowHelp', 'BouncyCastle']"
Parallel Flat Monte Carlo,2,125,None,100,12400,12400,12400,0,127.3193,1.9582,"['FQAs', 'Performance', 'Security', 'Authentication', 'Encryption', 'Persistence', 'EncryptionImplementations', 'PasswordType', 'Integrity', 'AnonymousUser', 'LimitedSession', 'Numeric', 'EncryptionOperations', 'AuthenticationImplementations', 'AuthenticationLogging', 'BouncyCastle', 'FileStorage', 'AuthenticationOperations', 'Mode', 'KeySize', 'DatabaseStorage', 'EncryptionAlgorithms', 'FileStorageImplementations', 'Decrypt', 'DataType', 'Asymmetric', 'Padding', 'Privacy', 'Floats', 'RSA', 'Usability', 'DatabaseStorageImplementations', 'CTR', 'SecureDatabase', 'AuthenticationMechanism', 'SocialID', 'TemporalFile', 'JavaIO', 'OracleDB', 'Hashing', 'Feedback', 'SpringSecurity', 'Internationalization', 'Logging', 'HashingImplementations', 'Locale', 'Guava', 'PasswordLength', 'Authenticate', 'LoggingOperations', 'ProgressFeedback', 'HistoryLog', 'FileType', 'JSONFile', 'ExecutionControl', 'DatabaseStorageOperations', 'Level', 'Non_Repudiation', 'Integers', 'ErrorLog', 'FileStorageOperations', 'Debug', 'LoggingImplementations', 'CypheredMessages', 'PKCS5', 'ModifyFile', 'Error', 'Handler', 'Confidentiality', 'Info', 'Warning', 'DatabaseType', 'TraceFile', 'Shortcuts', 'Strings', 'LogBack', 'NoSQL', 'Store', 'Log', 'HashingOperations', 'Hash', 'Objects', 'Alerts', 'InteractionFeedback', 'SystemStatusDisplay', 'ContextAwareness', 'ExecutionControl_1', 'EnvironmentAware', 'GoBack', 'UserAware', 'ConsoleLog', 'LocationAware', 'Format', 'DeviceAware', 'BatteryStatus', 'Redo', 'JSON', 'Caching', 'IRSensor', 'WiFiLocation', 'TimeAware', 'HashingAlgorithms', 'Trace', 'SHA1', 'EternalObjects', 'CacheType', 'ContextualHelp', 'LocalCache', 'Undo', 'ContextualHelpOperations', 'CachingImplementations', 'Cancel', 'CachingOperations', 'GPS', 'AuthenticatedUser', 'ShowHelp', 'ContextualHelpImplementations', 'Caffeine', 'JavaWizardAPI', 'HelpType', 'CacheStore', 'MaxSizeCache', 'Wizard', 'UserType', 'Intermediate']"
Parallel Flat Monte Carlo,3,122,None,100,12100,12100,12100,0,125.1998,2.4695,"['FQAs', 'Security', 'Encryption', 'Usability', 'Mode', 'EncryptionAlgorithms', 'Feedback', 'Alerts', 'Confidentiality', 'EncryptionImplementations', 'Privacy', 'JavaxCrypto', 'CFB', 'SystemStatusDisplay', 'Symmetric', 'Logging', 'Padding', 'Internationalization', 'LoggingOperations', 'ExecutionControl', 'ErrorLog', 'Log', 'AES', 'HistoryLog', 'EncryptionOperations', 'Format', 'OAEP', 'ContextAwareness', 'Persistence', 'EnvironmentAware', 'Authentication', 'Integrity', 'LimitedSession', 'FileStorage', 'AuthenticationLogging', 'LoggingImplementations', 'FileStorageImplementations', 'Shortcuts', 'AnonymousUser', 'JavaIO', 'TimeAware', 'CypheredMessages', 'Handler', 'Log4J', 'AuthenticationOperations', 'ContextualHelp', 'Encrypt', 'AuthenticatedUser', 'ExecutionControl_1', 'PasswordType', 'Level', 'Hashing', 'FileStorageOperations', 'Authenticate', 'HTML', 'Non_Repudiation', 'GoBack', 'Debug', 'Numeric', 'CreateFile', 'Warning', 'Undo', 'DeviceAware', 'HashingAlgorithms', 'MD5', 'UserAware', 'DatabaseLog', 'Info', 'Redo', 'HashingOperations', 'FileType', 'UserType', 'AuthenticationMechanism', 'AuthenticationImplementations', 'PasswordLength', 'MatrixCode', 'Beginner', 'ContextualHelpImplementations', 'SpringSecurity', 'ProgressFeedback', 'Cancel', 'Expert', 'InteractionFeedback', 'Performance', 'TXTFile', 'Advanced', 'HelpType', 'ContextualHelpOperations', 'DatabaseStorage', 'IRSensor', 'Error', 'TemporalFile', 'HashingImplementations', 'ShowHelp', 'Caching', 'TraceFile', 'MaxLifeSeconds', 'SecureDatabase', 'CacheType', 'Wizard', 'Intermediate', 'Hash', 'Guava', 'KeySize', 'RemoteCache', 'EternalObjects', 'DatabaseType', 'NoSQL', 'Trace', 'CachingOperations', 'DatabaseStorageOperations', 'JavaWizardAPI', 'CacheQuery', 'Store', 'CachingImplementations', 'Locale', 'MaxSizeCache', 'JavaCachingSystem', 'DatabaseStorageImplementations', 'MySQL', 'DataType', 'Integers']"
Parallel Flat Monte Carlo,4,126,None,100,12500,12500,12500,0,128.6485,2.9862,"['FQAs', 'ContextAwareness', 'Performance', 'TimeAware', 'Security', 'Confidentiality', 'Caching', 'Usability', 'CachingOperations', 'CacheType', 'CachingImplementations', 'Integrity', 'LocalCache', 'Encryption', 'EncryptionAlgorithms', 'Padding', 'DeviceAware', 'MaxLifeSeconds', 'PKCS1', 'EnvironmentAware', 'UserAware', 'KeySize', 'IRSensor', 'EncryptionOperations', 'EternalObjects', 'Decrypt', 'ContextualHelp', 'AuthenticatedUser', 'CacheStore', 'Caffeine', 'LocationAware', 'ContextualHelpOperations', 'Feedback', 'ShowHelp', 'Hashing', 'Privacy', 'HelpType', 'Logging', 'UserType', 'Asymmetric', 'GPS', 'Advanced', 'ErrorLog', 'WiFiLocation', 'Wizard', 'ContextualHelpImplementations', 'Level', 'SystemStatusDisplay', 'Mode', 'CFB', 'HistoryLog', 'Warning', 'Format', 'XML', 'HashingImplementations', 'LoggingOperations', 'Authentication', 'AuthenticationOperations', 'RSA', 'Guava', 'LimitedSession', 'LoggingImplementations', 'MaxSizeCache', 'JavaUtilLogging', 'Non_Repudiation', 'Debug', 'Trace', 'Info', 'EncryptionImplementations', 'Persistence', 'HashingAlgorithms', 'Alerts', 'FileStorage', 'BatteryStatus', 'ExecutionControl', 'JavaxCrypto', 'ExecutionControl_1', 'Authenticate', 'InteractionFeedback', 'Beginner', 'Cancel', 'MD5', 'ProgressFeedback', 'HashingOperations', 'FileType', 'Expert', 'Internationalization', 'Redo', 'FileStorageImplementations', 'Hash', 'JavaIO', 'TemporalFile', 'Binary', 'Undo', 'Log', 'PasswordLength', 'TraceFile', 'PasswordType', 'Tutorial', 'Intermediate', 'AnonymousUser', 'AuthenticationImplementations', 'FileStorageOperations', 'JavaWizardAPI', 'Handler', 'AuthenticationLogging', 'JAAS', 'DatabaseLog', 'Numeric', 'CypheredMessages', 'Shortcuts', 'Error', 'AuthenticationMechanism', 'DeleteFile', 'UserPassword', 'GoBack', 'DatabaseStorage', 'DatabaseStorageOperations', 'Query', 'DatabaseStorageImplementations', 'MongoDB', 'DatabaseType', 'NoSQL', 'Locale', 'DataType', 'Strings']"
Parallel Flat Monte Carlo,5,125,None,100,12400,12400,12400,0,133.0791,3.5369,"['FQAs', 'Performance', 'Persistence', 'Security', 'Encryption', 'Mode', 'ContextAwareness', 'Usability', 'EncryptionOperations', 'Padding', 'EncryptionImplementations', 'EncryptionAlgorithms', 'Logging', 'Non_Repudiation', 'Caching', 'PKCS5', 'Decrypt', 'ECB', 'Privacy', 'LocationAware', 'CachingImplementations', 'WiFiLocation', 'TimeAware', 'MaxLifeSeconds', 'JavaxCrypto', 'Format', 'Confidentiality', 'Internationalization', 'LoggingImplementations', 'DeviceAware', 'TXT', 'ContextualHelp', 'HistoryLog', 'UserType', 'CacheType', 'HelpType', 'BatteryStatus', 'MaxSizeCache', 'Intermediate', 'Handler', 'RemoteCache', 'CachingOperations', 'Caffeine', 'KeySize', 'ErrorLog', 'Authentication', 'LogBack', 'EternalObjects', 'CacheStore', 'UserAware', 'Symmetric', 'ContextualHelpImplementations', 'Wizard', 'Blowfish', 'Level', 'Warning', 'Hashing', 'ExecutionControl', 'AnonymousUser', 'AuthenticationImplementations', 'DatabaseStorage', 'AuthenticationMechanism', 'HashingOperations', 'Tutorial', 'Shortcuts', 'AuthenticationOperations', 'Beginner', 'LoggingOperations', 'PasswordType', 'Integrity', 'ExecutionControl_1', 'HashingImplementations', 'IRSensor', 'Expert', 'SocialID', 'FileLog', 'Authenticate', 'AuthenticationLogging', 'TraceFile', 'GoBack', 'Numeric', 'Error', 'HashingAlgorithms', 'Trace', 'SHA512', 'Cancel', 'DatabaseType', 'NoSQL', 'Guava', 'FileStorage', 'Info', 'GPS', 'Advanced', 'TemporalFile', 'ContextualHelpOperations', 'DatabaseStorageImplementations', 'FileStorageOperations', 'Hash', 'DatabaseStorageOperations', 'FileType', 'PasswordLength', 'CreateFile', 'CypheredMessages', 'Feedback', 'SpringSecurity', 'SecureDatabase', 'ShowHelp', 'InteractionFeedback', 'XMLFile', 'AuthenticatedUser', 'MongoDB', 'Query', 'Undo', 'DataType', 'JavaWizardAPI', 'Integers', 'Strings', 'Locale', 'Alerts', 'ProgressFeedback', 'Floats', 'Log', 'FileStorageImplementations', 'Redo', 'JavaIO']"
Parallel Flat Monte Carlo,6,128,None,100,12700,12700,12700,0,129.8149,4.0633,"['FQAs', 'ContextAwareness', 'Usability', 'Internationalization', 'DeviceAware', 'LocationAware', 'Logging', 'IRSensor', 'WiFiLocation', 'LoggingImplementations', 'Locale', 'Persistence', 'EnvironmentAware', 'Level', 'Error', 'TimeAware', 'Info', 'CypheredMessages', 'FileStorage', 'Handler', 'HistoryLog', 'ConsoleLog', 'TemporalFile', 'Format', 'Log4J', 'FileStorageImplementations', 'Trace', 'UserAware', 'Security', 'JavaIO', 'Encryption', 'EncryptionAlgorithms', 'FileStorageOperations', 'Padding', 'KeySize', 'BatteryStatus', 'EncryptionImplementations', 'JSON', 'OAEP', 'Authentication', 'Non_Repudiation', 'LoggingOperations', 'AuthenticationLogging', 'PasswordType', 'Hashing', 'Confidentiality', 'Privacy', 'HashingImplementations', 'SpecialChars', 'JavaxCrypto', 'ModifyFile', 'AuthenticationImplementations', 'HashingOperations', 'Asymmetric', 'Integrity', 'AuthenticationOperations', 'HashingAlgorithms', 'Log', 'Guava', 'LimitedSession', 'SHA512', 'ContextualHelp', 'Warning', 'ExecutionControl', 'AuthenticatedUser', 'UserType', 'ContextualHelpOperations', 'Hash', 'DatabaseStorage', 'DSA', 'SpringSecurity', 'Intermediate', 'PasswordLength', 'Feedback', 'AnonymousUser', 'DataType', 'ContextualHelpImplementations', 'Debug', 'JavaWizardAPI', 'DatabaseStorageImplementations', 'Strings', 'ExecutionControl_1', 'Alerts', 'ShowHelp', 'Objects', 'Performance', 'Undo', 'FileType', 'ErrorLog', 'TraceFile', 'Beginner', 'GoBack', 'Authenticate', 'Cancel', 'Caching', 'AuthenticationMechanism', 'Expert', 'SystemStatusDisplay', 'XMLFile', 'MaxSizeCache', 'CachingImplementations', 'Floats', 'UserPassword', 'Integers', 'GPS', 'JavaCachingSystem', 'Shortcuts', 'EternalObjects', 'CachingOperations', 'Redo', 'CacheUpdate', 'ProgressFeedback', 'InteractionFeedback', 'DatabaseType', 'MySQL', 'NoSQL', 'MaxLifeSeconds', 'DatabaseStorageOperations', 'Mode', 'CTR', 'Advanced', 'Store', 'CacheType', 'EncryptionOperations', 'RemoteCache', 'HelpType', 'Encrypt', 'Wizard']"
Parallel Flat Monte Carlo,7,93,None,100,9100,9100,9100,0,106.7024,4.4551,"['FQAs', 'Security', 'Persistence', 'DatabaseStorage', 'Integrity', 'Authentication', 'PasswordLength', 'Privacy', 'LimitedSession', 'AnonymousUser', 'Hashing', 'AuthenticationImplementations', 'DatabaseType', 'SecureDatabase', 'AuthenticationOperations', 'Encryption', 'AuthenticationLogging', 'DataType', 'FileStorage', 'HashingOperations', 'DatabaseStorageOperations', 'DatabaseStorageImplementations', 'Confidentiality', 'MySQL', 'AuthenticationMechanism', 'Hash', 'Query', 'KeySize', 'Pin', 'NoSQL', 'Mode', 'EncryptionAlgorithms', 'Authenticate', 'ContextAwareness', 'CTR', 'Strings', 'SpringSecurity', 'Asymmetric', 'Performance', 'PasswordType', 'Objects', 'DSA', 'FileType', 'Numeric', 'UserAware', 'EncryptionOperations', 'Binary', 'Integers', 'HashingImplementations', 'Encrypt', 'DeviceAware', 'Caching', 'Guava', 'HashingAlgorithms', 'SHA1', 'LocationAware', 'IRSensor', 'Padding', 'PKCS5', 'EncryptionImplementations', 'Non_Repudiation', 'EternalObjects', 'CachingImplementations', 'EnvironmentAware', 'FileStorageImplementations', 'GPS', 'JavaxCrypto', 'MaxSizeCache', 'Floats', 'CacheType', 'JavaCachingSystem', 'RemoteCache', 'WiFiLocation', 'TemporalFile', 'FileStorageOperations', 'CachingOperations', 'DeleteFile', 'TimeAware', 'CacheStore', 'BatteryStatus', 'MaxLifeSeconds', 'JavaIO', 'Usability', 'Internationalization', 'Feedback', 'ProgressFeedback', 'Alerts', 'SystemStatusDisplay', 'ExecutionControl', 'ExecutionControl_1', 'Shortcuts', 'Locale', 'Redo']"
Parallel Flat Monte Carlo,8,124,None,100,12300,12300,12300,0,129.4902,4.9677,"['FQAs', 'Persistence', 'FileStorage', 'TemporalFile', 'DatabaseStorage', 'Security', 'FileStorageImplementations', 'Confidentiality', 'ContextAwareness', 'SecureDatabase', 'Authentication', 'Privacy', 'TimeAware', 'Non_Repudiation', 'LocationAware', 'PasswordType', 'FileType', 'Encryption', 'Alphanumeric', 'DatabaseType', 'PasswordLength', 'EncryptionOperations', 'AuthenticationImplementations', 'AuthenticationOperations', 'Decrypt', 'UserAware', 'NoSQL', 'Padding', 'DatabaseStorageImplementations', 'OracleDB', 'Performance', 'Integrity', 'OAEP', 'DeviceAware', 'JSONFile', 'JAAS', 'JavaIO', 'FileStorageOperations', 'Mode', 'DeleteFile', 'KeySize', 'DataType', 'Hashing', 'EncryptionAlgorithms', 'HashingAlgorithms', 'Usability', 'Objects', 'Internationalization', 'CTS', 'Locale', 'Authenticate', 'AuthenticationLogging', 'ExecutionControl', 'Shortcuts', 'EnvironmentAware', 'Integers', 'WiFiLocation', 'Strings', 'SHA256', 'GPS', 'Caching', 'IRSensor', 'CachingOperations', 'Asymmetric', 'DatabaseStorageOperations', 'Store', 'HashingImplementations', 'CachingImplementations', 'HashingOperations', 'ExecutionControl_1', 'BatteryStatus', 'Caffeine', 'Floats', 'Guava', 'AnonymousUser', 'RSA', 'CacheStore', 'Undo', 'Feedback', 'InteractionFeedback', 'Alerts', 'SystemStatusDisplay', 'MaxLifeSeconds', 'GoBack', 'CacheType', 'ContextualHelp', 'Logging', 'Handler', 'LoggingImplementations', 'Cancel', 'LoggingOperations', 'LimitedSession', 'RemoteCache', 'ContextualHelpOperations', 'SimpleImplementationSLF4J', 'ProgressFeedback', 'AuthenticatedUser', 'ShowHelp', 'DatabaseLog', 'Log', 'Hash', 'EncryptionImplementations', 'Format', 'ContextualHelpImplementations', 'MaxSizeCache', 'AuthenticationMechanism', 'SocialID', 'Redo', 'JSON', 'HelpType', 'ErrorLog', 'BouncyCastle', 'Wizard', 'EternalObjects', 'TraceFile', 'HistoryLog', 'Tutorial', 'CypheredMessages', 'Level', 'Error', 'Trace', 'UserType', 'JavaWizardAPI', 'Expert']"
Parallel Flat Monte Carlo,9,126,None,100,12500,12500,12500,0,134.1047,5.5062,"['FQAs', 'Persistence', 'Performance', 'ContextAwareness', 'Usability', 'ContextualHelp', 'LocationAware', 'UserType', 'Intermediate', 'TimeAware', 'Beginner', 'UserAware', 'ContextualHelpOperations', 'EnvironmentAware', 'GPS', 'HelpType', 'Expert', 'Tutorial', 'Advanced', 'DatabaseStorage', 'Internationalization', 'ShowHelp', 'FileStorage', 'Logging', 'LoggingOperations', 'DatabaseStorageImplementations', 'CypheredMessages', 'DatabaseType', 'FileType', 'HistoryLog', 'SecureDatabase', 'FileStorageOperations', 'Security', 'Non_Repudiation', 'AuthenticatedUser', 'TemporalFile', 'Log', 'DataType', 'Integrity', 'Binary', 'Level', 'DatabaseStorageOperations', 'Trace', 'FileStorageImplementations', 'CreateFile', 'NoSQL', 'Floats', 'MongoDB', 'ErrorLog', 'JavaIO', 'Strings', 'Feedback', 'TraceFile', 'Caching', 'Info', 'CachingImplementations', 'Warning', 'WiFiLocation', 'ContextualHelpImplementations', 'MaxLifeSeconds', 'Hashing', 'LoggingImplementations', 'JavaWizardAPI', 'CachingOperations', 'LogBack', 'SystemStatusDisplay', 'Error', 'HashingAlgorithms', 'MaxSizeCache', 'Debug', 'InteractionFeedback', 'Query', 'SHA1', 'Handler', 'EternalObjects', 'ProgressFeedback', 'Confidentiality', 'Caffeine', 'CacheStore', 'Encryption', 'FileLog', 'Mode', 'Privacy', 'HashingOperations', 'Hash', 'EncryptionImplementations', 'Format', 'BouncyCastle', 'CTR', 'ExecutionControl', 'CacheType', 'Authentication', 'AuthenticationImplementations', 'RemoteCache', 'Alerts', 'AuthenticationMechanism', 'SocialID', 'EncryptionOperations', 'HTML', 'LimitedSession', 'AnonymousUser', 'HashingImplementations', 'Locale', 'PasswordType', 'SpecialChars', 'Guava', 'Integers', 'Wizard', 'AuthenticationOperations', 'KeySize', 'JAAS', 'Objects', 'PasswordLength', 'Shortcuts', 'DeviceAware', 'EncryptionAlgorithms', 'Padding', 'BatteryStatus', 'ExecutionControl_1', 'IRSensor', 'Authenticate', 'Decrypt', 'Symmetric', 'AES', 'OAEP', 'Undo']"
Parallel Flat Monte Carlo,10,124,None,100,12300,12300,12300,0,130.9286,6.0222,"['FQAs', 'Security', 'Usability', 'Authentication', 'Logging', 'PasswordLength', 'AuthenticationLogging', 'Handler', 'Non_Repudiation', 'ContextAwareness', 'AuthenticationImplementations', 'AuthenticationMechanism', 'LocationAware', 'ExecutionControl', 'Integrity', 'FileLog', 'ErrorLog', 'TraceFile', 'Privacy', 'JAAS', 'DeviceAware', 'EnvironmentAware', 'Feedback', 'Internationalization', 'LoggingOperations', 'Performance', 'SocialID', 'Hashing', 'AuthenticationOperations', 'HistoryLog', 'Persistence', 'TimeAware', 'Confidentiality', 'Format', 'HTML', 'LimitedSession', 'ProgressFeedback', 'Level', 'CypheredMessages', 'ExecutionControl_1', 'ContextualHelp', 'Debug', 'Redo', 'Locale', 'PasswordType', 'Alerts', 'Shortcuts', 'Undo', 'UserAware', 'LoggingImplementations', 'SpecialChars', 'AnonymousUser', 'BatteryStatus', 'ContextualHelpOperations', 'InteractionFeedback', 'Error', 'ContextualHelpImplementations', 'Caching', 'CachingImplementations', 'SystemStatusDisplay', 'GoBack', 'CacheType', 'SimpleImplementationSLF4J', 'UserType', 'FileStorage', 'Authenticate', 'Log', 'Advanced', 'RemoteCache', 'Encryption', 'Mode', 'HashingAlgorithms', 'ShowHelp', 'JavaCachingSystem', 'MaxSizeCache', 'AuthenticatedUser', 'WiFiLocation', 'Expert', 'ECB', 'Trace', 'MD5', 'KeySize', 'HashingOperations', 'GPS', 'EternalObjects', 'IRSensor', 'EncryptionImplementations', 'MaxLifeSeconds', 'DatabaseStorage', 'FileStorageOperations', 'Intermediate', 'SecureDatabase', 'Info', 'CachingOperations', 'Beginner', 'HashingImplementations', 'EncryptionOperations', 'CacheQuery', 'JavaWizardAPI', 'Hash', 'JavaSecurityMessageDigest', 'HelpType', 'Decrypt', 'DeleteFile', 'DatabaseType', 'FileType', 'Padding', 'FileStorageImplementations', 'JavaIO', 'BouncyCastle', 'Relational', 'DatabaseStorageImplementations', 'Warning', 'PKCS5', 'XMLFile', 'EncryptionAlgorithms', 'Wizard', 'MongoDB', 'DatabaseStorageOperations', 'Asymmetric', 'ECDSA', 'Query', 'DataType', 'Integers']"
