Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,3,None,100,300,300,300,300,20.6704,15.8122,"['FQAs', 'ContextAwareness', 'EnvironmentAware']"
UCT MCTS,2,3,None,100,300,300,300,300,21.4399,15.9693,"['FQAs', 'ContextAwareness', 'UserAware']"
UCT MCTS,3,3,None,100,300,300,300,300,20.7387,15.9682,"['FQAs', 'ContextAwareness', 'UserAware']"
UCT MCTS,4,3,None,100,300,300,300,300,22.7832,16.7457,"['FQAs', 'Security', 'Integrity']"
UCT MCTS,5,3,None,100,300,300,300,300,22.5788,17.1082,"['FQAs', 'Security', 'Privacy']"
UCT MCTS,6,3,None,100,300,300,300,300,20.361,17.107,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,7,3,None,100,300,300,300,300,23.6469,16.5317,"['FQAs', 'Security', 'Confidentiality']"
UCT MCTS,8,3,None,100,300,300,300,300,24.458,16.5306,"['FQAs', 'Security', 'Confidentiality']"
UCT MCTS,9,3,None,100,300,300,300,300,22.6904,16.4694,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,10,5,None,100,500,500,500,500,38.3626,29.2703,"['FQAs', 'Security', 'ContextAwareness', 'EnvironmentAware', 'Confidentiality']"
UCT MCTS,11,79,None,100,7900,7900,7900,7900,638.0927,796.8126,"['FQAs', 'Persistence', 'Security', 'ContextAwareness', 'Authentication', 'Performance', 'UserAware', 'Integrity', 'Caching', 'PasswordLength', 'CachingOperations', 'FileStorage', 'CachingImplementations', 'CacheUpdate', 'FileStorageOperations', 'AuthenticationImplementations', 'AuthenticationLogging', 'LocationAware', 'DeleteFile', 'MaxLifeSeconds', 'MaxSizeCache', 'Privacy', 'SpringSecurity', 'Encryption', 'EnvironmentAware', 'WiFiLocation', 'EncryptionImplementations', 'LimitedSession', 'AuthenticationOperations', 'EncryptionAlgorithms', 'EternalObjects', 'CacheType', 'Hashing', 'HashingAlgorithms', 'DatabaseStorage', 'BouncyCastle', 'FileType', 'TimeAware', 'Authenticate', 'HashingImplementations', 'HashingOperations', 'DatabaseType', 'Hash', 'Mode', 'EncryptionOperations', 'JSONFile', 'AnonymousUser', 'DataType', 'CTR', 'SHA512', 'AuthenticationMechanism', 'UserPassword', 'JavaSecurityMessageDigest', 'JavaCachingSystem', 'Decrypt', 'Padding', 'Integers', 'DatabaseStorageOperations', 'Floats', 'FileStorageImplementations', 'RemoteCache', 'NoSQL', 'Strings', 'Symmetric', 'Confidentiality', 'Non_Repudiation', 'SecureDatabase', 'DatabaseStorageImplementations', 'PKCS1', 'GPS', 'Store', 'KeySize', 'JavaIO', 'PasswordType', 'Objects', 'MySQL', 'SpecialChars', 'TemporalFile', 'DES']"
UCT MCTS,12,3,None,100,300,300,300,300,23.5714,796.7978,"['FQAs', 'Security', 'Integrity']"
UCT MCTS,13,3,None,100,300,300,300,300,24.1696,16.9665,"['FQAs', 'Security', 'Privacy']"
UCT MCTS,14,3,None,100,300,300,300,300,21.6733,17.6626,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,15,3,None,100,300,300,300,300,25.1389,17.6614,"['FQAs', 'Security', 'Integrity']"
UCT MCTS,16,4,None,100,400,400,400,400,26.6293,22.0834,"['FQAs', 'ContextAwareness', 'LocationAware', 'GPS']"
UCT MCTS,17,91,None,100,9100,9100,9100,9100,730.2912,1061.8714,"['FQAs', 'Persistence', 'Performance', 'FileStorage', 'DatabaseStorage', 'Security', 'Hashing', 'FileStorageOperations', 'Non_Repudiation', 'CreateFile', 'Encryption', 'Authentication', 'SecureDatabase', 'Mode', 'Padding', 'Integrity', 'FileType', 'ECB', 'Privacy', 'AuthenticationImplementations', 'DataType', 'PKCS1', 'SpringSecurity', 'ContextAwareness', 'TimeAware', 'Usability', 'Caching', 'Binary', 'Confidentiality', 'HashingOperations', 'EnvironmentAware', 'AnonymousUser', 'PasswordLength', 'HashingAlgorithms', 'CachingImplementations', 'FileStorageImplementations', 'SHA256', 'Hash', 'UserAware', 'CacheType', 'JavaCachingSystem', 'Floats', 'LimitedSession', 'Integers', 'Feedback', 'EternalObjects', 'HashingImplementations', 'InteractionFeedback', 'Internationalization', 'TemporalFile', 'ContextualHelp', 'Alerts', 'LocalCache', 'Objects', 'EncryptionImplementations', 'MaxSizeCache', 'DatabaseStorageImplementations', 'Strings', 'EncryptionAlgorithms', 'BouncyCastle', 'DatabaseType', 'Locale', 'AuthenticationOperations', 'AuthenticationMechanism', 'Biometric', 'SystemStatusDisplay', 'Symmetric', 'ContextualHelpImplementations', 'ContextualHelpOperations', 'Guava', 'Blowfish', 'NoSQL', 'HelpType', 'AuthenticationLogging', 'JavaWizardAPI', 'ProgressFeedback', 'UserType', 'MySQL', 'DatabaseStorageOperations', 'PasswordType', 'Store', 'ShowHelp', 'JavaIO', 'Wizard', 'EncryptionOperations', 'Authenticate', 'Numeric', 'CachingOperations', 'Decrypt', 'Intermediate', 'CacheUpdate']"
UCT MCTS,18,4,None,100,400,400,400,400,28.913,1061.8565,"['FQAs', 'ContextAwareness', 'LocationAware', 'GPS']"
UCT MCTS,19,3,None,100,300,300,300,300,21.2198,23.2877,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,20,22,None,100,2200,2200,2200,2200,196.1648,129.1316,"['FQAs', 'Performance', 'Caching', 'MaxSizeCache', 'CachingOperations', 'CacheType', 'CacheUpdate', 'ContextAwareness', 'UserAware', 'DeviceAware', 'EnvironmentAware', 'LocalCache', 'IRSensor', 'TimeAware', 'EternalObjects', 'LocationAware', 'WiFiLocation', 'Security', 'MaxLifeSeconds', 'Privacy', 'CachingImplementations', 'JavaCachingSystem']"
UCT MCTS,21,3,None,100,300,300,300,300,23.9141,129.1304,"['FQAs', 'Security', 'Non_Repudiation']"
UCT MCTS,22,3,None,100,300,300,300,300,23.6859,18.7193,"['FQAs', 'Security', 'Non_Repudiation']"
UCT MCTS,23,3,None,100,300,300,300,300,20.7729,18.5392,"['FQAs', 'ContextAwareness', 'UserAware']"
UCT MCTS,24,3,None,100,300,300,300,300,22.0406,17.5108,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,25,3,None,100,300,300,300,300,21.6237,18.6509,"['FQAs', 'ContextAwareness', 'TimeAware']"
UCT MCTS,26,3,None,100,300,300,300,300,23.62,18.6496,"['FQAs', 'Security', 'Integrity']"
UCT MCTS,27,3,None,100,300,300,300,300,23.3812,18.7426,"['FQAs', 'Security', 'Integrity']"
UCT MCTS,28,3,None,100,300,300,300,300,21.4768,18.7414,"['FQAs', 'ContextAwareness', 'UserAware']"
UCT MCTS,29,3,None,100,300,300,300,300,21.7355,18.4898,"['FQAs', 'ContextAwareness', 'UserAware']"
UCT MCTS,30,3,None,100,300,300,300,300,22.1754,18.4886,"['FQAs', 'ContextAwareness', 'TimeAware']"
