Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,4,None,100,300,231,231,0,1.953,0.4445,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Flat Monte Carlo,2,4,None,100,300,240,240,0,2.0026,0.4833,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Flat Monte Carlo,3,4,None,100,300,228,228,0,2.082,0.4779,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
Flat Monte Carlo,4,6,None,100,500,428,428,0,3.687,0.8427,"['AAFMFramework', 'Interoperability', 'SPLOT', 'System', 'Metamodels', 'Linux']"
Flat Monte Carlo,5,4,None,100,300,217,217,0,2.0258,0.836,"['AAFMFramework', 'System', 'Linux', 'Metamodels']"
Flat Monte Carlo,6,4,None,100,300,239,239,0,2.258,0.5216,"['AAFMFramework', 'Metamodels', 'System', 'Linux']"
Flat Monte Carlo,7,4,None,100,300,243,243,0,2.1792,0.5327,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
Flat Monte Carlo,8,4,None,100,300,242,242,0,2.0448,0.5453,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Flat Monte Carlo,9,4,None,100,300,248,248,0,2.1255,0.5652,"['AAFMFramework', 'Metamodels', 'System', 'Linux']"
Flat Monte Carlo,10,4,None,100,300,229,229,0,2.0627,0.56,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
Flat Monte Carlo,11,4,None,100,300,237,237,0,2.1317,0.559,"['AAFMFramework', 'System', 'Linux', 'Metamodels']"
Flat Monte Carlo,12,4,None,100,300,238,238,0,2.1083,0.5703,"['AAFMFramework', 'System', 'Linux', 'Metamodels']"
Flat Monte Carlo,13,4,None,100,300,246,246,0,2.1291,0.6006,"['AAFMFramework', 'Metamodels', 'System', 'Linux']"
Flat Monte Carlo,14,4,None,100,300,241,241,0,2.0194,0.6007,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
Flat Monte Carlo,15,6,None,100,500,422,422,0,3.6092,0.9411,"['AAFMFramework', 'Interoperability', 'Metamodels', 'System', 'SPLOT', 'Linux']"
Flat Monte Carlo,16,6,None,100,500,422,422,0,3.602,0.9559,"['AAFMFramework', 'Interoperability', 'System', 'FeatureIDE', 'Metamodels', 'Linux']"
Flat Monte Carlo,17,4,None,100,300,222,222,0,2.0136,0.9493,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
Flat Monte Carlo,18,4,None,100,300,242,242,0,2.0244,0.6492,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Flat Monte Carlo,19,4,None,100,300,231,231,0,2.1384,0.6438,"['AAFMFramework', 'System', 'Win', 'Metamodels']"
Flat Monte Carlo,20,4,None,100,300,254,254,0,2.1675,0.6877,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
Flat Monte Carlo,21,4,None,100,300,238,238,0,1.982,0.6825,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Flat Monte Carlo,22,4,None,100,300,228,228,0,1.9836,0.6645,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Flat Monte Carlo,23,4,None,100,300,240,240,0,2.0235,0.6908,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Flat Monte Carlo,24,4,None,100,300,247,247,0,2.1194,0.7142,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Flat Monte Carlo,25,4,None,100,300,241,241,0,2.0767,0.7128,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Flat Monte Carlo,26,4,None,100,300,239,239,0,2.0028,0.7177,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Flat Monte Carlo,27,4,None,100,300,245,245,0,2.0266,0.7385,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Flat Monte Carlo,28,4,None,100,300,233,233,0,2.0177,0.7331,"['AAFMFramework', 'Metamodels', 'System', 'Win']"
Flat Monte Carlo,29,4,None,100,300,237,237,0,1.9913,0.7387,"['AAFMFramework', 'System', 'Metamodels', 'Linux']"
Flat Monte Carlo,30,4,None,100,300,234,234,0,2.1076,0.7466,"['AAFMFramework', 'Metamodels', 'System', 'Linux']"
