Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,53,None,0,0,0,0,0,0.0096,0.1145,"['AAFMFramework', 'Interoperability', 'Metamodels', 'DecisionModel', 'AutomatedReasoning', 'Packages', 'ParserTechnology', 'APISolvers', 'pycryptosat', 'FeatureIDE', 'UVL', 'pythonsat', 'Solvers', 'Lingeling', 'satyrn', 'CryptoMiniSat', 'CaDiCaL', 'DepMng', 'System', 'MiniSAT', 'PicoSAT', 'umo', 'satispy', 'larkparser', 'DepQBF', 'Minicard', 'Linux', 'pyglucose', 'CBC', 'pycosat', 'antlr4python3runtime', 'SPLOT', 'pydepqbf', 'Utils', 'setuptools', 'FeatureModel', 'six', 'pkgresources', 'pylgl', 'Glucose', 'wheel', 'pyPicosat', 'SimpleParse', 'pybind11', 'Maple', 'CNFModel', 'Operations', 'DeadFeatures', 'ErrorDetection', 'ValidConfiguration', 'CoreFeatures', 'ErrorDiagnosis', 'pip']"
Random strategy,2,56,None,0,0,0,0,0,0.0092,0.2457,"['AAFMFramework', 'Packages', 'AutomatedReasoning', 'DepMng', 'pkgresources', 'Solvers', 'System', 'CaDiCaL', 'MiniSAT', 'CBC', 'Metamodels', 'Operations', 'ValidConfiguration', 'setuptools', 'DeadFeatures', 'Glucose', 'Linux', 'Minicard', 'ValidModel', 'ValidProduct', 'AllProducts', 'CNFModel', 'wheel', 'Maple', 'Interoperability', 'ParserTechnology', 'ErrorDetection', 'PicoSAT', 'larkparser', 'antlr4python3runtime', 'SPLOT', 'SimpleParse', 'ebnf', 'ErrorDiagnosis', 'UVL', 'CoreFeatures', 'FeatureIDE', 'FeatureModel', 'APISolvers', 'DepQBF', 'pylgl', 'satispy', 'pyPicosat', 'pip', 'pydepqbf', 'Lingeling', 'pythonsat', 'satyrn', 'pyglucose', 'pipdeptree', 'DecisionModel', 'Utils', 'six', 'pycryptosat', 'umo', 'pybind11']"
Random strategy,3,52,None,0,0,0,0,0,0.0088,0.359,"['AAFMFramework', 'AutomatedReasoning', 'System', 'Linux', 'Packages', 'Operations', 'ErrorDetection', 'AllProducts', 'ParserTechnology', 'Solvers', 'Minicard', 'CryptoMiniSat', 'Maple', 'Lingeling', 'MiniSAT', 'Metamodels', 'CoreFeatures', 'antlr4python3runtime', 'FeatureModel', 'ValidConfiguration', 'DepMng', 'setuptools', 'PicoSAT', 'DecisionModel', 'ValidModel', 'pkgresources', 'Utils', 'larkparser', 'CNFModel', 'CBC', 'ValidProduct', 'Glucose', 'wheel', 'SimpleParse', 'pip', 'pybind11', 'Interoperability', 'ebnf', 'ErrorDiagnosis', 'SPLOT', 'pipdeptree', 'CaDiCaL', 'six', 'UVL', 'DepQBF', 'DeadFeatures', 'APISolvers', 'pycryptosat', 'pythonsat', 'pydepqbf', 'umo', 'pycosat']"
Random strategy,4,57,None,0,0,0,0,0,0.009,0.4826,"['AAFMFramework', 'System', 'Interoperability', 'Packages', 'APISolvers', 'pycryptosat', 'satyrn', 'satispy', 'Metamodels', 'DecisionModel', 'Linux', 'pycosat', 'FeatureModel', 'CNFModel', 'pyglucose', 'UVL', 'pydepqbf', 'pyPicosat', 'pylgl', 'umo', 'FeatureIDE', 'AutomatedReasoning', 'Solvers', 'pythonsat', 'SPLOT', 'Lingeling', 'ParserTechnology', 'CBC', 'Minicard', 'antlr4python3runtime', 'CryptoMiniSat', 'MiniSAT', 'DepMng', 'Utils', 'pip', 'SimpleParse', 'Glucose', 'DepQBF', 'pkgresources', 'pipdeptree', 'PicoSAT', 'larkparser', 'Operations', 'ValidConfiguration', 'Maple', 'pybind11', 'ErrorDiagnosis', 'CaDiCaL', 'AllProducts', 'CoreFeatures', 'ebnf', 'ErrorDetection', 'wheel', 'setuptools', 'DeadFeatures', 'ValidModel', 'six']"
Random strategy,5,4,None,0,0,0,0,0,0.0003,0.4899,"['AAFMFramework', 'System', 'Metamodels', 'Win']"
Random strategy,6,5,None,0,0,0,0,0,0.0004,0.5013,"['AAFMFramework', 'System', 'Metamodels', 'DecisionModel', 'Linux']"
Random strategy,7,46,None,0,0,0,0,0,0.0078,0.6039,"['AAFMFramework', 'Packages', 'DepMng', 'System', 'ParserTechnology', 'setuptools', 'antlr4python3runtime', 'larkparser', 'Utils', 'wheel', 'pybind11', 'ebnf', 'six', 'pip', 'APISolvers', 'pycosat', 'pylgl', 'pipdeptree', 'SimpleParse', 'Interoperability', 'satispy', 'pycryptosat', 'pyPicosat', 'AutomatedReasoning', 'UVL', 'Solvers', 'Minicard', 'satyrn', 'FeatureIDE', 'pydepqbf', 'pyglucose', 'Metamodels', 'DecisionModel', 'umo', 'Glucose', 'FeatureModel', 'Linux', 'SPLOT', 'Maple', 'CryptoMiniSat', 'pkgresources', 'PicoSAT', 'pythonsat', 'MiniSAT', 'DepQBF', 'CNFModel']"
Random strategy,8,53,None,0,0,0,0,0,0.0089,0.7195,"['AAFMFramework', 'AutomatedReasoning', 'Operations', 'Metamodels', 'Interoperability', 'CNFModel', 'UVL', 'SPLOT', 'ErrorDetection', 'CoreFeatures', 'DeadFeatures', 'Solvers', 'AllProducts', 'CryptoMiniSat', 'PicoSAT', 'Minicard', 'Maple', 'DepQBF', 'Glucose', 'DecisionModel', 'Packages', 'System', 'Lingeling', 'CaDiCaL', 'FeatureIDE', 'CBC', 'ParserTechnology', 'ErrorDiagnosis', 'antlr4python3runtime', 'SimpleParse', 'larkparser', 'ebnf', 'ValidModel', 'Utils', 'DepMng', 'ValidProduct', 'six', 'APISolvers', 'pythonsat', 'FeatureModel', 'ValidConfiguration', 'pkgresources', 'pydepqbf', 'pyPicosat', 'pycryptosat', 'pylgl', 'setuptools', 'pybind11', 'pip', 'wheel', 'pyglucose', 'Linux', 'umo']"
Random strategy,9,55,None,0,0,0,0,0,0.0096,0.8396,"['AAFMFramework', 'Metamodels', 'Interoperability', 'AutomatedReasoning', 'FeatureModel', 'Solvers', 'Lingeling', 'UVL', 'Maple', 'Glucose', 'CBC', 'Packages', 'Minicard', 'ParserTechnology', 'antlr4python3runtime', 'DecisionModel', 'FeatureIDE', 'CNFModel', 'DepMng', 'pip', 'APISolvers', 'wheel', 'PicoSAT', 'pkgresources', 'pythonsat', 'System', 'satispy', 'MiniSAT', 'Linux', 'DepQBF', 'SPLOT', 'setuptools', 'pycryptosat', 'pycosat', 'pipdeptree', 'pydepqbf', 'SimpleParse', 'satyrn', 'Operations', 'DeadFeatures', 'ValidModel', 'Utils', 'pylgl', 'pybind11', 'ValidProduct', 'CaDiCaL', 'ValidConfiguration', 'AllProducts', 'CryptoMiniSat', 'ErrorDetection', 'ErrorDiagnosis', 'umo', 'pyPicosat', 'pyglucose', 'six']"
Random strategy,10,49,None,0,0,0,0,0,0.0082,0.9462,"['AAFMFramework', 'Metamodels', 'CNFModel', 'DecisionModel', 'Packages', 'Utils', 'pybind11', 'ParserTechnology', 'larkparser', 'antlr4python3runtime', 'SimpleParse', 'ebnf', 'Interoperability', 'FeatureModel', 'six', 'System', 'AutomatedReasoning', 'Operations', 'CoreFeatures', 'DeadFeatures', 'Win', 'APISolvers', 'satispy', 'pylgl', 'satyrn', 'pycosat', 'ErrorDiagnosis', 'ValidConfiguration', 'pyglucose', 'DepMng', 'Solvers', 'MiniSAT', 'DepQBF', 'SPLOT', 'ErrorDetection', 'UVL', 'FeatureIDE', 'wheel', 'AllProducts', 'pydepqbf', 'PicoSAT', 'CaDiCaL', 'ValidModel', 'Lingeling', 'pythonsat', 'setuptools', 'pkgresources', 'Maple', 'pip']"
Random strategy,11,47,None,0,0,0,0,0,0.009,1.0488,"['AAFMFramework', 'AutomatedReasoning', 'Packages', 'DepMng', 'System', 'Metamodels', 'APISolvers', 'Utils', 'Win', 'setuptools', 'pydepqbf', 'pip', 'FeatureModel', 'pylgl', 'pycosat', 'pyglucose', 'pycryptosat', 'Operations', 'Interoperability', 'AllProducts', 'pythonsat', 'wheel', 'ErrorDiagnosis', 'six', 'ErrorDetection', 'FeatureIDE', 'DecisionModel', 'satyrn', 'ValidConfiguration', 'ParserTechnology', 'pkgresources', 'SimpleParse', 'ValidModel', 'DeadFeatures', 'ValidProduct', 'pipdeptree', 'satispy', 'antlr4python3runtime', 'CoreFeatures', 'SPLOT', 'larkparser', 'pybind11', 'CNFModel', 'ebnf', 'UVL', 'Solvers', 'DepQBF']"
Random strategy,12,52,None,0,0,0,0,0,0.0098,1.1634,"['AAFMFramework', 'AutomatedReasoning', 'Operations', 'Packages', 'Interoperability', 'SPLOT', 'ParserTechnology', 'ErrorDiagnosis', 'ValidModel', 'System', 'Win', 'CoreFeatures', 'FeatureIDE', 'Solvers', 'Lingeling', 'APISolvers', 'Utils', 'pycryptosat', 'UVL', 'SimpleParse', 'pydepqbf', 'six', 'antlr4python3runtime', 'Glucose', 'pycosat', 'pythonsat', 'DeadFeatures', 'satyrn', 'MiniSAT', 'pylgl', 'AllProducts', 'DepQBF', 'pyglucose', 'DepMng', 'CryptoMiniSat', 'CaDiCaL', 'Minicard', 'Maple', 'pkgresources', 'setuptools', 'PicoSAT', 'ValidProduct', 'pybind11', 'satispy', 'ErrorDetection', 'pip', 'pipdeptree', 'Metamodels', 'FeatureModel', 'larkparser', 'DecisionModel', 'CNFModel']"
Random strategy,13,57,None,0,0,0,0,0,0.0101,1.2894,"['AAFMFramework', 'Packages', 'APISolvers', 'Utils', 'Interoperability', 'AutomatedReasoning', 'SPLOT', 'pycryptosat', 'pyPicosat', 'pydepqbf', 'six', 'ParserTechnology', 'DepMng', 'pycosat', 'Operations', 'ErrorDiagnosis', 'pkgresources', 'pyglucose', 'ValidModel', 'larkparser', 'satyrn', 'pip', 'pythonsat', 'pipdeptree', 'FeatureIDE', 'CoreFeatures', 'Solvers', 'Glucose', 'ValidProduct', 'pylgl', 'wheel', 'satispy', 'DeadFeatures', 'UVL', 'CBC', 'AllProducts', 'umo', 'ebnf', 'antlr4python3runtime', 'SimpleParse', 'System', 'DepQBF', 'PicoSAT', 'Lingeling', 'Linux', 'CaDiCaL', 'ErrorDetection', 'Minicard', 'ValidConfiguration', 'MiniSAT', 'CryptoMiniSat', 'Metamodels', 'Maple', 'DecisionModel', 'setuptools', 'CNFModel', 'pybind11']"
Random strategy,14,45,None,0,0,0,0,0,0.0071,1.3872,"['AAFMFramework', 'Interoperability', 'SPLOT', 'Packages', 'DepMng', 'APISolvers', 'System', 'wheel', 'pycosat', 'pyPicosat', 'satyrn', 'pkgresources', 'satispy', 'umo', 'pythonsat', 'pycryptosat', 'Utils', 'setuptools', 'Linux', 'six', 'pip', 'pyglucose', 'FeatureIDE', 'ParserTechnology', 'SimpleParse', 'larkparser', 'ebnf', 'pylgl', 'antlr4python3runtime', 'Metamodels', 'AutomatedReasoning', 'Operations', 'FeatureModel', 'CNFModel', 'ValidModel', 'AllProducts', 'pybind11', 'UVL', 'DecisionModel', 'DeadFeatures', 'CoreFeatures', 'pydepqbf', 'Solvers', 'pipdeptree', 'Minicard']"
Random strategy,15,50,None,0,0,0,0,0,0.0077,1.4947,"['AAFMFramework', 'System', 'AutomatedReasoning', 'Interoperability', 'Operations', 'ErrorDetection', 'UVL', 'ErrorDiagnosis', 'AllProducts', 'Win', 'ValidModel', 'ValidProduct', 'Metamodels', 'SPLOT', 'DecisionModel', 'FeatureIDE', 'Packages', 'ValidConfiguration', 'CoreFeatures', 'APISolvers', 'pythonsat', 'satispy', 'CNFModel', 'DeadFeatures', 'Utils', 'pybind11', 'pycosat', 'pydepqbf', 'FeatureModel', 'pyglucose', 'ParserTechnology', 'satyrn', 'pylgl', 'DepMng', 'wheel', 'SimpleParse', 'six', 'pkgresources', 'setuptools', 'antlr4python3runtime', 'Solvers', 'Lingeling', 'CaDiCaL', 'MiniSAT', 'CryptoMiniSat', 'Glucose', 'Maple', 'Minicard', 'pycryptosat', 'pip']"
Random strategy,16,57,None,0,0,0,0,0,0.0097,1.6194,"['AAFMFramework', 'Interoperability', 'SPLOT', 'Metamodels', 'FeatureIDE', 'UVL', 'DecisionModel', 'AutomatedReasoning', 'Solvers', 'FeatureModel', 'Packages', 'Maple', 'CNFModel', 'MiniSAT', 'ParserTechnology', 'PicoSAT', 'APISolvers', 'Glucose', 'umo', 'satyrn', 'DepQBF', 'larkparser', 'pylgl', 'Operations', 'ErrorDetection', 'ValidConfiguration', 'satispy', 'DeadFeatures', 'antlr4python3runtime', 'pycryptosat', 'Minicard', 'pyglucose', 'System', 'ebnf', 'Linux', 'Utils', 'ValidModel', 'six', 'CBC', 'Lingeling', 'DepMng', 'pybind11', 'ValidProduct', 'SimpleParse', 'pythonsat', 'pyPicosat', 'pip', 'CryptoMiniSat', 'AllProducts', 'pycosat', 'CaDiCaL', 'pipdeptree', 'pydepqbf', 'setuptools', 'ErrorDiagnosis', 'wheel', 'pkgresources']"
Random strategy,17,52,None,0,0,0,0,0,0.0104,1.7342,"['AAFMFramework', 'AutomatedReasoning', 'Packages', 'Solvers', 'Operations', 'CoreFeatures', 'Metamodels', 'DecisionModel', 'Lingeling', 'System', 'ValidModel', 'ErrorDetection', 'ValidProduct', 'APISolvers', 'CaDiCaL', 'PicoSAT', 'pylgl', 'MiniSAT', 'CBC', 'AllProducts', 'umo', 'DeadFeatures', 'pythonsat', 'pydepqbf', 'Linux', 'Utils', 'pyPicosat', 'FeatureModel', 'Minicard', 'pycosat', 'pycryptosat', 'satispy', 'DepQBF', 'CNFModel', 'Glucose', 'ParserTechnology', 'DepMng', 'antlr4python3runtime', 'setuptools', 'pyglucose', 'pip', 'six', 'pipdeptree', 'ErrorDiagnosis', 'ValidConfiguration', 'SimpleParse', 'Maple', 'larkparser', 'satyrn', 'pybind11', 'CryptoMiniSat', 'pkgresources']"
