Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,12,None,100,1200,272,272,272,2.0969,3.8036,"['JHipster', 'Generator', 'Server', 'BackEnd', 'MicroserviceApplication', 'TestingFrameworks', 'InternationalizationSupport', 'Authentication', 'Gatling', 'Maven', 'Cucumber', 'JWT']"
Greedy MCTS,2,11,None,100,1100,431,431,431,2.1498,6.5782,"['JHipster', 'Generator', 'Server', 'BackEnd', 'Authentication', 'TestingFrameworks', 'MicroserviceApplication', 'Gradle', 'Gatling', 'Cucumber', 'Uaa']"
Greedy MCTS,3,15,None,100,1500,234,234,234,1.937,3.8419,"['JHipster', 'InternationalizationSupport', 'Generator', 'Server', 'Database', 'UaaServer', 'Cassandra', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gradle', 'Gatling', 'Docker', 'Uaa', 'Cucumber']"
Greedy MCTS,4,12,None,100,1200,361,361,361,2.0499,5.6257,"['JHipster', 'BackEnd', 'InternationalizationSupport', 'Generator', 'Server', 'TestingFrameworks', 'MicroserviceApplication', 'Cucumber', 'Authentication', 'Gatling', 'Gradle', 'Uaa']"
Greedy MCTS,5,14,None,100,1400,382,382,382,2.3625,5.6777,"['JHipster', 'TestingFrameworks', 'Database', 'Generator', 'Cassandra', 'Server', 'BackEnd', 'InternationalizationSupport', 'Gatling', 'MicroserviceApplication', 'Authentication', 'Gradle', 'Uaa', 'Cucumber']"
Greedy MCTS,6,13,None,100,1300,496,496,496,2.701,6.0625,"['JHipster', 'Generator', 'Server', 'UaaServer', 'Authentication', 'Database', 'Cassandra', 'BackEnd', 'TestingFrameworks', 'Uaa', 'Gatling', 'Gradle', 'Cucumber']"
Greedy MCTS,7,11,None,100,1100,353,353,353,1.988,4.8608,"['JHipster', 'Generator', 'Server', 'MicroserviceApplication', 'TestingFrameworks', 'BackEnd', 'Authentication', 'Gatling', 'JWT', 'Cucumber', 'Maven']"
Greedy MCTS,8,15,None,100,1500,168,168,168,1.3561,3.5331,"['JHipster', 'Authentication', 'Database', 'Cassandra', 'BackEnd', 'JWT', 'Generator', 'Server', 'Docker', 'Gradle', 'InternationalizationSupport', 'TestingFrameworks', 'MicroserviceApplication', 'Gatling', 'Cucumber']"
Greedy MCTS,9,15,None,100,1500,173,173,173,1.3791,3.3534,"['JHipster', 'Authentication', 'Uaa', 'Database', 'Cassandra', 'Generator', 'Server', 'BackEnd', 'InternationalizationSupport', 'MicroserviceApplication', 'TestingFrameworks', 'Maven', 'Docker', 'Gatling', 'Cucumber']"
Greedy MCTS,10,13,None,100,1300,240,240,240,1.9947,4.5057,"['JHipster', 'Authentication', 'Uaa', 'Database', 'Cassandra', 'TestingFrameworks', 'Generator', 'Server', 'UaaServer', 'Cucumber', 'BackEnd', 'Gradle', 'Gatling']"
Greedy MCTS,11,11,None,100,1100,572,572,572,2.8461,7.521,"['JHipster', 'Generator', 'Server', 'MicroserviceApplication', 'TestingFrameworks', 'BackEnd', 'Maven', 'Cucumber', 'Authentication', 'Gatling', 'Uaa']"
Greedy MCTS,12,11,None,100,1100,378,378,378,2.4614,6.614,"['JHipster', 'BackEnd', 'Gradle', 'Generator', 'Server', 'TestingFrameworks', 'MicroserviceApplication', 'Authentication', 'Cucumber', 'JWT', 'Gatling']"
Greedy MCTS,13,18,None,100,1800,326,326,326,3.5639,6.1314,"['JHipster', 'Libsass', 'ClusteredSession', 'TestingFrameworks', 'Database', 'SpringWebSockets', 'Cassandra', 'BackEnd', 'InternationalizationSupport', 'Generator', 'Authentication', 'Gatling', 'HTTPSession', 'Cucumber', 'Maven', 'Application', 'Monolithic', 'Protractor']"
Greedy MCTS,14,14,None,100,1400,213,213,213,1.5768,4.4837,"['JHipster', 'Authentication', 'Database', 'Cassandra', 'Docker', 'Generator', 'Server', 'MicroserviceApplication', 'Uaa', 'BackEnd', 'TestingFrameworks', 'Cucumber', 'Maven', 'Gatling']"
Greedy MCTS,15,16,None,100,1600,854,854,854,5.1204,11.6264,"['JHipster', 'SpringWebSockets', 'Generator', 'BackEnd', 'Database', 'Cassandra', 'Docker', 'Maven', 'TestingFrameworks', 'Protractor', 'Authentication', 'Application', 'HTTPSession', 'Gatling', 'Monolithic', 'Cucumber']"
Greedy MCTS,16,13,None,100,1300,297,297,297,2.1999,5.5209,"['JHipster', 'Authentication', 'Generator', 'Database', 'Server', 'Cassandra', 'BackEnd', 'Uaa', 'TestingFrameworks', 'Cucumber', 'Gatling', 'Gradle', 'UaaServer']"
Greedy MCTS,17,13,None,100,1300,324,324,324,2.2763,5.1719,"['JHipster', 'Generator', 'Server', 'UaaServer', 'TestingFrameworks', 'Database', 'BackEnd', 'Cassandra', 'Maven', 'Authentication', 'Cucumber', 'Gatling', 'Uaa']"
Greedy MCTS,18,12,None,100,1200,333,333,333,2.5309,5.1652,"['JHipster', 'Generator', 'Server', 'MicroserviceApplication', 'Docker', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Maven', 'Cucumber', 'Gatling', 'JWT']"
Greedy MCTS,19,15,None,100,1500,512,512,512,3.2252,7.6116,"['JHipster', 'TestingFrameworks', 'Database', 'Cassandra', 'InternationalizationSupport', 'Authentication', 'Uaa', 'BackEnd', 'Generator', 'Server', 'Maven', 'UaaServer', 'Docker', 'Gatling', 'Cucumber']"
Greedy MCTS,20,15,None,100,1500,639,639,639,4.7405,8.3943,"['JHipster', 'ClusteredSession', 'Database', 'Cassandra', 'TestingFrameworks', 'Protractor', 'Gatling', 'Generator', 'Authentication', 'JWT', 'Cucumber', 'Application', 'BackEnd', 'Maven', 'Monolithic']"
Greedy MCTS,21,15,None,100,1500,143,143,143,1.2254,3.0615,"['JHipster', 'Database', 'Cassandra', 'BackEnd', 'Gradle', 'Generator', 'Server', 'Authentication', 'JWT', 'InternationalizationSupport', 'MicroserviceApplication', 'Docker', 'TestingFrameworks', 'Gatling', 'Cucumber']"
Greedy MCTS,22,12,None,100,1200,314,314,314,2.3131,4.9134,"['JHipster', 'Generator', 'Server', 'InternationalizationSupport', 'Authentication', 'BackEnd', 'Uaa', 'TestingFrameworks', 'MicroserviceApplication', 'Maven', 'Gatling', 'Cucumber']"
Greedy MCTS,23,14,None,100,1400,243,243,243,1.9444,4.2546,"['JHipster', 'Generator', 'Database', 'Cassandra', 'Server', 'Authentication', 'TestingFrameworks', 'Docker', 'BackEnd', 'Cucumber', 'Maven', 'Gatling', 'MicroserviceApplication', 'Uaa']"
Greedy MCTS,24,12,None,100,1200,512,512,512,2.8165,9.4353,"['JHipster', 'Authentication', 'Generator', 'Server', 'Docker', 'TestingFrameworks', 'BackEnd', 'Uaa', 'Cucumber', 'Gradle', 'Gatling', 'MicroserviceApplication']"
Greedy MCTS,25,15,None,100,1500,988,988,988,5.0934,12.9013,"['JHipster', 'SpringWebSockets', 'Database', 'Cassandra', 'Generator', 'Application', 'Monolithic', 'BackEnd', 'Authentication', 'TestingFrameworks', 'Cucumber', 'Protractor', 'Gatling', 'Gradle', 'JWT']"
Greedy MCTS,26,11,None,100,1100,452,452,452,2.5021,7.6069,"['JHipster', 'TestingFrameworks', 'Generator', 'Server', 'BackEnd', 'Cucumber', 'MicroserviceApplication', 'Authentication', 'Gradle', 'JWT', 'Gatling']"
Greedy MCTS,27,17,None,100,1700,868,868,868,5.2843,11.9892,"['JHipster', 'Libsass', 'BackEnd', 'ClusteredSession', 'Database', 'Cassandra', 'Docker', 'Generator', 'Authentication', 'TestingFrameworks', 'Application', 'JWT', 'Cucumber', 'MicroserviceGateway', 'Protractor', 'Gatling', 'Maven']"
Greedy MCTS,28,15,None,100,1500,130,130,130,1.1136,3.4421,"['JHipster', 'Database', 'Cassandra', 'InternationalizationSupport', 'Generator', 'Server', 'UaaServer', 'Authentication', 'BackEnd', 'Maven', 'Docker', 'TestingFrameworks', 'Uaa', 'Gatling', 'Cucumber']"
