Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,20,None,100,1900,1900,1900,0,1.3631,0.6512,"['JHipster', 'SpringWebSockets', 'SocialLogin', 'Generator', 'ClusteredSession', 'InternationalizationSupport', 'Libsass', 'Database', 'Docker', 'TestingFrameworks', 'MongoDB', 'Gatling', 'Cucumber', 'Application', 'Authentication', 'Monolithic', 'Protractor', 'BackEnd', 'Maven', 'JWT']"
Parallel Flat Monte Carlo,2,18,None,100,1700,1700,1700,0,1.2515,0.6968,"['JHipster', 'BackEnd', 'Gradle', 'SocialLogin', 'Authentication', 'TestingFrameworks', 'Gatling', 'Database', 'Cucumber', 'SpringWebSockets', 'Generator', 'Protractor', 'JWT', 'ClusteredSession', 'Docker', 'Application', 'MongoDB', 'Monolithic']"
Parallel Flat Monte Carlo,3,17,None,100,1600,1600,1600,0,1.1471,0.7313,"['JHipster', 'SocialLogin', 'Database', 'Authentication', 'MongoDB', 'InternationalizationSupport', 'BackEnd', 'ClusteredSession', 'TestingFrameworks', 'Protractor', 'Generator', 'Gradle', 'Cucumber', 'Application', 'Monolithic', 'Gatling', 'JWT']"
Parallel Flat Monte Carlo,4,16,None,100,1500,1500,1500,0,1.0735,0.7576,"['JHipster', 'BackEnd', 'Libsass', 'Maven', 'Docker', 'Database', 'Cassandra', 'Authentication', 'JWT', 'TestingFrameworks', 'Protractor', 'Generator', 'Application', 'MicroserviceGateway', 'Cucumber', 'Gatling']"
Parallel Flat Monte Carlo,5,17,None,100,1600,1600,1600,0,1.191,0.7994,"['JHipster', 'Database', 'ClusteredSession', 'Generator', 'Docker', 'Libsass', 'TestingFrameworks', 'MongoDB', 'Application', 'MicroserviceGateway', 'Gatling', 'Protractor', 'BackEnd', 'Cucumber', 'Authentication', 'Gradle', 'JWT']"
Parallel Flat Monte Carlo,6,25,None,100,2400,2400,2400,0,1.8254,0.8515,"['JHipster', 'TestingFrameworks', 'ClusteredSession', 'Generator', 'SocialLogin', 'Docker', 'Libsass', 'Cucumber', 'Gatling', 'Authentication', 'Database', 'Application', 'HTTPSession', 'Protractor', 'InternationalizationSupport', 'BackEnd', 'Gradle', 'SpringWebSockets', 'Monolithic', 'SQL', 'ElasticSearch', 'Development', 'Production', 'MariaDBDev', 'MariaDB']"
Parallel Flat Monte Carlo,7,17,None,100,1600,1600,1600,0,1.177,0.8817,"['JHipster', 'ClusteredSession', 'InternationalizationSupport', 'Authentication', 'JWT', 'Database', 'Cassandra', 'Generator', 'Libsass', 'Application', 'MicroserviceGateway', 'TestingFrameworks', 'Gatling', 'BackEnd', 'Gradle', 'Cucumber', 'Protractor']"
Parallel Flat Monte Carlo,8,14,None,100,1300,1300,1300,0,0.9774,0.9076,"['JHipster', 'Generator', 'TestingFrameworks', 'BackEnd', 'InternationalizationSupport', 'Server', 'Gradle', 'Cucumber', 'Database', 'Authentication', 'UaaServer', 'MongoDB', 'Gatling', 'Uaa']"
Parallel Flat Monte Carlo,9,19,None,100,1800,1800,1800,0,1.4011,0.9433,"['JHipster', 'Authentication', 'SocialLogin', 'InternationalizationSupport', 'Generator', 'Database', 'ClusteredSession', 'BackEnd', 'Libsass', 'JWT', 'SpringWebSockets', 'Maven', 'TestingFrameworks', 'Cucumber', 'MongoDB', 'Application', 'Gatling', 'Protractor', 'Monolithic']"
Parallel Flat Monte Carlo,10,23,None,100,2200,2200,2200,0,1.784,0.9922,"['JHipster', 'BackEnd', 'Authentication', 'SocialLogin', 'Database', 'SQL', 'Production', 'MariaDB', 'ClusteredSession', 'JWT', 'TestingFrameworks', 'Gatling', 'Gradle', 'InternationalizationSupport', 'Generator', 'Development', 'Cucumber', 'MariaDBDev', 'Application', 'Docker', 'ElasticSearch', 'Monolithic', 'Protractor']"
Parallel Flat Monte Carlo,11,19,None,100,1700,1700,1700,0,1.3046,1.0252,"['JHipster', 'TestingFrameworks', 'ClusteredSession', 'Libsass', 'InternationalizationSupport', 'Docker', 'SpringWebSockets', 'Authentication', 'Database', 'MongoDB', 'Uaa', 'Generator', 'Application', 'Protractor', 'Gatling', 'MicroserviceGateway', 'Cucumber', 'BackEnd', 'Maven']"
Parallel Flat Monte Carlo,12,24,None,100,2300,2300,2300,0,1.858,1.0735,"['JHipster', 'Authentication', 'TestingFrameworks', 'Libsass', 'BackEnd', 'Generator', 'Database', 'Gradle', 'InternationalizationSupport', 'SpringWebSockets', 'HTTPSession', 'Docker', 'ClusteredSession', 'Protractor', 'SQL', 'Development', 'Application', 'MySql', 'ElasticSearch', 'Cucumber', 'Production', 'Gatling', 'MySQL', 'Monolithic']"
Parallel Flat Monte Carlo,13,14,None,100,1300,1300,1300,0,0.9836,1.1012,"['JHipster', 'Database', 'MongoDB', 'Generator', 'Server', 'MicroserviceApplication', 'Authentication', 'Uaa', 'Docker', 'TestingFrameworks', 'BackEnd', 'Gradle', 'Gatling', 'Cucumber']"
Parallel Flat Monte Carlo,14,17,None,100,1600,1600,1600,0,1.2548,1.1363,"['JHipster', 'Authentication', 'BackEnd', 'Maven', 'Generator', 'JWT', 'Application', 'SpringWebSockets', 'Monolithic', 'ClusteredSession', 'TestingFrameworks', 'Database', 'InternationalizationSupport', 'Gatling', 'Cassandra', 'Cucumber', 'Protractor']"
Parallel Flat Monte Carlo,15,18,None,100,1700,1700,1700,0,1.336,1.1692,"['JHipster', 'Authentication', 'Uaa', 'ClusteredSession', 'InternationalizationSupport', 'Generator', 'Application', 'Docker', 'TestingFrameworks', 'Cucumber', 'MicroserviceGateway', 'Gatling', 'Libsass', 'Database', 'BackEnd', 'MongoDB', 'Protractor', 'Gradle']"
Parallel Flat Monte Carlo,16,18,None,100,1700,1700,1700,0,1.3339,1.2044,"['JHipster', 'Docker', 'InternationalizationSupport', 'SocialLogin', 'TestingFrameworks', 'Database', 'MongoDB', 'Gatling', 'Libsass', 'Cucumber', 'Generator', 'BackEnd', 'Maven', 'Authentication', 'JWT', 'Application', 'Monolithic', 'Protractor']"
Parallel Flat Monte Carlo,17,24,None,100,2300,2300,2300,0,1.8859,1.2512,"['JHipster', 'Generator', 'SocialLogin', 'Libsass', 'Database', 'Application', 'SQL', 'Docker', 'SpringWebSockets', 'TestingFrameworks', 'InternationalizationSupport', 'ElasticSearch', 'Monolithic', 'Cucumber', 'Development', 'PostgreSQLDev', 'Authentication', 'BackEnd', 'Protractor', 'Gatling', 'Production', 'PostgreSQL', 'Gradle', 'JWT']"
Parallel Flat Monte Carlo,18,19,None,100,1800,1800,1800,0,1.4477,1.2861,"['JHipster', 'ClusteredSession', 'Authentication', 'Generator', 'TestingFrameworks', 'Cucumber', 'OAuth2', 'InternationalizationSupport', 'BackEnd', 'Gatling', 'Docker', 'Maven', 'SpringWebSockets', 'Protractor', 'Libsass', 'Database', 'Application', 'Monolithic', 'MongoDB']"
Parallel Flat Monte Carlo,19,17,None,100,1600,1600,1600,0,1.259,1.3229,"['JHipster', 'BackEnd', 'Database', 'SpringWebSockets', 'ClusteredSession', 'Generator', 'Cassandra', 'Authentication', 'Libsass', 'Gradle', 'Application', 'JWT', 'TestingFrameworks', 'Cucumber', 'Protractor', 'Gatling', 'MicroserviceGateway']"
Parallel Flat Monte Carlo,20,14,None,100,1300,1300,1300,0,1.018,1.3496,"['JHipster', 'Generator', 'Database', 'MongoDB', 'Server', 'Docker', 'TestingFrameworks', 'Cucumber', 'Authentication', 'Gatling', 'Uaa', 'BackEnd', 'MicroserviceApplication', 'Maven']"
Parallel Flat Monte Carlo,21,17,None,100,1600,1600,1600,0,1.277,1.3848,"['JHipster', 'BackEnd', 'Database', 'Maven', 'ClusteredSession', 'SpringWebSockets', 'Authentication', 'TestingFrameworks', 'Cucumber', 'Uaa', 'Docker', 'Cassandra', 'Generator', 'Gatling', 'Protractor', 'Application', 'MicroserviceGateway']"
Parallel Flat Monte Carlo,22,25,None,100,2400,2400,2400,0,1.9851,1.4368,"['JHipster', 'BackEnd', 'SpringWebSockets', 'InternationalizationSupport', 'Gradle', 'ClusteredSession', 'Database', 'SocialLogin', 'Generator', 'SQL', 'ElasticSearch', 'TestingFrameworks', 'Application', 'Libsass', 'Production', 'Gatling', 'Docker', 'Development', 'MariaDB', 'MariaDBDev', 'Protractor', 'Cucumber', 'Authentication', 'JWT', 'Monolithic']"
Parallel Flat Monte Carlo,23,17,None,100,1600,1600,1600,0,1.2996,1.4668,"['JHipster', 'Generator', 'Application', 'MicroserviceGateway', 'TestingFrameworks', 'ClusteredSession', 'Docker', 'InternationalizationSupport', 'Gatling', 'Database', 'MongoDB', 'Cucumber', 'Protractor', 'BackEnd', 'Authentication', 'Uaa', 'Gradle']"
Parallel Flat Monte Carlo,24,23,None,100,2200,2200,2200,0,1.8264,1.5119,"['JHipster', 'ClusteredSession', 'Generator', 'Application', 'BackEnd', 'SocialLogin', 'SpringWebSockets', 'Database', 'InternationalizationSupport', 'Libsass', 'Gradle', 'SQL', 'Authentication', 'Development', 'MySql', 'HTTPSession', 'TestingFrameworks', 'Production', 'Cucumber', 'Gatling', 'MySQL', 'Protractor', 'Monolithic']"
Parallel Flat Monte Carlo,25,18,None,100,1700,1700,1700,0,1.392,1.5447,"['JHipster', 'Authentication', 'ClusteredSession', 'InternationalizationSupport', 'BackEnd', 'OAuth2', 'Libsass', 'Generator', 'Docker', 'Application', 'TestingFrameworks', 'Monolithic', 'Cucumber', 'Gradle', 'Database', 'MongoDB', 'Gatling', 'Protractor']"
Parallel Flat Monte Carlo,26,19,None,100,1800,1800,1800,0,1.4459,1.5796,"['JHipster', 'ClusteredSession', 'Database', 'SocialLogin', 'MongoDB', 'Authentication', 'SpringWebSockets', 'InternationalizationSupport', 'Generator', 'HTTPSession', 'Docker', 'TestingFrameworks', 'Application', 'BackEnd', 'Gradle', 'Protractor', 'Cucumber', 'Gatling', 'Monolithic']"
Parallel Flat Monte Carlo,27,23,None,100,2200,2200,2200,0,1.8322,1.6275,"['JHipster', 'SpringWebSockets', 'Docker', 'InternationalizationSupport', 'Authentication', 'TestingFrameworks', 'Libsass', 'Uaa', 'BackEnd', 'Database', 'Gradle', 'Generator', 'Cucumber', 'SQL', 'ElasticSearch', 'Production', 'Development', 'MariaDB', 'MariaDBDev', 'Protractor', 'Application', 'Gatling', 'MicroserviceGateway']"
Parallel Flat Monte Carlo,28,14,None,100,1300,1300,1300,0,1.0601,1.6534,"['JHipster', 'TestingFrameworks', 'Generator', 'BackEnd', 'Maven', 'Cucumber', 'InternationalizationSupport', 'Authentication', 'Server', 'UaaServer', 'Gatling', 'Database', 'MongoDB', 'Uaa']"
Parallel Flat Monte Carlo,29,18,None,100,1700,1700,1700,0,1.3864,1.6885,"['JHipster', 'Authentication', 'HTTPSession', 'BackEnd', 'ClusteredSession', 'Maven', 'Database', 'InternationalizationSupport', 'Docker', 'MongoDB', 'Generator', 'SocialLogin', 'TestingFrameworks', 'Cucumber', 'Protractor', 'Gatling', 'Application', 'Monolithic']"
Parallel Flat Monte Carlo,30,24,None,100,2300,2300,2300,0,1.9385,1.7348,"['JHipster', 'InternationalizationSupport', 'TestingFrameworks', 'Protractor', 'Libsass', 'SocialLogin', 'BackEnd', 'Cucumber', 'ClusteredSession', 'SpringWebSockets', 'Gatling', 'Gradle', 'Generator', 'Database', 'Application', 'Docker', 'SQL', 'Development', 'MariaDBDev', 'Authentication', 'Production', 'Monolithic', 'MariaDB', 'HTTPSession']"
