Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,13,None,100,1300,845,845,845,3.2367,9.6266,"['JHipster', 'Generator', 'Server', 'Database', 'Cassandra', 'BackEnd', 'Authentication', 'Uaa', 'TestingFrameworks', 'Cucumber', 'Gatling', 'MicroserviceApplication', 'Gradle']"
UCT MCTS,2,13,None,100,1300,748,748,748,3.3559,9.6275,"['JHipster', 'Generator', 'Server', 'Authentication', 'TestingFrameworks', 'Gatling', 'UaaServer', 'Cucumber', 'Database', 'BackEnd', 'MongoDB', 'Uaa', 'Gradle']"
UCT MCTS,3,14,None,100,1400,407,407,407,2.7264,9.3429,"['JHipster', 'Authentication', 'Generator', 'Server', 'Docker', 'JWT', 'BackEnd', 'Maven', 'TestingFrameworks', 'Gatling', 'Database', 'MongoDB', 'MicroserviceApplication', 'Cucumber']"
UCT MCTS,4,13,None,100,1300,245,245,245,1.8993,6.5779,"['JHipster', 'InternationalizationSupport', 'Generator', 'Server', 'MicroserviceApplication', 'Docker', 'TestingFrameworks', 'Gatling', 'BackEnd', 'Cucumber', 'Maven', 'Authentication', 'Uaa']"
UCT MCTS,5,14,None,100,1400,632,632,632,3.3675,6.7821,"['JHipster', 'Generator', 'Server', 'InternationalizationSupport', 'Database', 'Cassandra', 'TestingFrameworks', 'Cucumber', 'MicroserviceApplication', 'BackEnd', 'Gatling', 'Authentication', 'Gradle', 'JWT']"
UCT MCTS,6,12,None,100,1200,455,455,455,2.3979,7.0214,"['JHipster', 'Generator', 'Server', 'TestingFrameworks', 'MicroserviceApplication', 'Gatling', 'Docker', 'BackEnd', 'Cucumber', 'Authentication', 'JWT', 'Maven']"
UCT MCTS,7,14,None,100,1400,460,460,460,2.9771,7.0196,"['JHipster', 'InternationalizationSupport', 'Generator', 'Server', 'MicroserviceApplication', 'Database', 'MongoDB', 'Authentication', 'TestingFrameworks', 'Uaa', 'BackEnd', 'Gradle', 'Gatling', 'Cucumber']"
UCT MCTS,8,12,None,100,1200,418,418,418,2.4154,6.0349,"['JHipster', 'Generator', 'Server', 'BackEnd', 'TestingFrameworks', 'MicroserviceApplication', 'Maven', 'Cucumber', 'InternationalizationSupport', 'Gatling', 'Authentication', 'JWT']"
UCT MCTS,9,13,None,100,1300,492,492,492,2.9245,6.0328,"['JHipster', 'Generator', 'Server', 'UaaServer', 'BackEnd', 'Database', 'Cassandra', 'TestingFrameworks', 'Maven', 'Authentication', 'Gatling', 'Uaa', 'Cucumber']"
UCT MCTS,10,12,None,100,1200,576,576,576,2.8284,7.8993,"['JHipster', 'Generator', 'Server', 'BackEnd', 'MicroserviceApplication', 'TestingFrameworks', 'Authentication', 'Gradle', 'Docker', 'JWT', 'Gatling', 'Cucumber']"
