Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,18,None,100,1700,1646,1646,0,4.3518,2.5544,"['MobileMedia2', 'Calendar', 'TVDigital', 'MediaManagement', 'CallManager', 'MediaSelection', 'CopyMedia', 'OS', 'Radio', 'SMSTransfer', 'ReceivePhoto', 'Video', 'ScreenSize', 'Androide', 'Screen2', 'Speakerphone', 'Language', 'Spanish']"
Flat Monte Carlo,2,20,None,100,1900,1821,1821,0,4.3523,2.8556,"['MobileMedia2', 'TVDigital', 'MediaSelection', 'Photo', 'OS', 'Language', 'Symbia', 'Music', 'Video', 'ResolutionCamera', 'Speakerphone', 'Resolution8MP', 'ScreenSize', 'Calendar', 'Radio', 'MusicPlayer', 'CallManager', 'Portuguese', 'Screen1', 'MediaManagement']"
Flat Monte Carlo,3,24,None,100,2300,2083,2083,0,5.0048,3.2817,"['MobileMedia2', 'ScreenSize', 'ResolutionCamera', 'Resolution3MP', 'Screen3', 'Speakerphone', 'OS', 'Calendar', 'Language', 'English', 'Connectivity', 'MediaSelection', 'Music', 'TVDigital', 'GPS', 'Video', 'MusicPlayer', 'CallManager', 'Spanish', 'Radio', 'Photo', 'Bluetooth', 'iOS', 'MediaManagement']"
Flat Monte Carlo,4,18,None,100,1700,1589,1589,0,4.1288,3.2759,"['MobileMedia2', 'OS', 'Calendar', 'ScreenSize', 'Screen3', 'Language', 'Androide', 'MediaSelection', 'Speakerphone', 'English', 'GPS', 'Video', 'TouchScreen', 'Spanish', 'Portuguese', 'Radio', 'CallManager', 'MediaManagement']"
Flat Monte Carlo,5,20,None,100,1900,1769,1769,0,4.7677,2.902,"['MobileMedia2', 'ScreenSize', 'Connectivity', 'Language', 'OS', 'WindowsMobile', 'MediaSelection', 'English', 'CallManager', 'Screen3', 'WiFi', 'Youtube', 'Photo', 'Calendar', 'Video', 'ResolutionCamera', 'Radio', 'Speakerphone', 'Resolution8MP', 'MediaManagement']"
Flat Monte Carlo,6,25,None,100,2400,2310,2310,0,5.53,3.7346,"['MobileMedia2', 'MediaManagement', 'TVDigital', 'GPS', 'CopyMedia', 'OS', 'iOS', 'MediaSelection', 'Favourites', 'ViewFavourites', 'Speakerphone', 'TouchScreen', 'Video', 'Radio', 'CallManager', 'Music', 'Photo', 'MusicPlayer', 'Calendar', 'SetFavourites', 'ScreenSize', 'SMSTransfer', 'Language', 'Spanish', 'Screen2']"
Flat Monte Carlo,7,16,None,100,1500,1418,1418,0,3.8363,3.7298,"['MobileMedia2', 'Speakerphone', 'ScreenSize', 'Calendar', 'GPS', 'Screen2', 'CallManager', 'TouchScreen', 'Radio', 'OS', 'Symbia', 'MediaSelection', 'Photo', 'Language', 'MediaManagement', 'English']"
Flat Monte Carlo,8,24,None,100,2300,2050,2050,0,5.0445,3.4347,"['MobileMedia2', 'OS', 'MediaSelection', 'Music', 'ScreenSize', 'WindowsMobile', 'Connectivity', 'TVDigital', 'Screen1', 'Language', 'Video', 'Portuguese', 'MusicPlayer', 'ResolutionCamera', 'Spanish', 'Calendar', 'Speakerphone', 'English', 'Resolution8MP', 'Radio', 'Bluetooth', 'Photo', 'CallManager', 'MediaManagement']"
Flat Monte Carlo,9,22,None,100,2100,1927,1927,0,4.7172,3.4299,"['MobileMedia2', 'TVDigital', 'Speakerphone', 'OS', 'iOS', 'GPS', 'CallManager', 'Calendar', 'Radio', 'MediaSelection', 'Photo', 'Music', 'ScreenSize', 'ResolutionCamera', 'Resolution3MP', 'Language', 'Screen2', 'Video', 'TouchScreen', 'MusicPlayer', 'Portuguese', 'MediaManagement']"
Flat Monte Carlo,10,16,None,100,1500,1454,1454,0,3.7672,3.2922,"['MobileMedia2', 'GPS', 'Radio', 'OS', 'ScreenSize', 'MediaSelection', 'Speakerphone', 'Screen1', 'CallManager', 'Language', 'Photo', 'Spanish', 'iOS', 'Video', 'MediaManagement', 'Calendar']"
Flat Monte Carlo,11,24,None,100,2300,2050,2050,0,4.9855,3.5577,"['MobileMedia2', 'Radio', 'TouchScreen', 'MediaSelection', 'OS', 'Speakerphone', 'ScreenSize', 'Photo', 'iOS', 'ResolutionCamera', 'TVDigital', 'Resolution3MP', 'Connectivity', 'CallManager', 'Screen1', 'Music', 'Calendar', 'Language', 'Bluetooth', 'Video', 'GPS', 'MusicPlayer', 'Portuguese', 'MediaManagement']"
Flat Monte Carlo,12,23,None,100,2200,2080,2080,0,5.1593,3.6452,"['MobileMedia2', 'MediaSelection', 'Video', 'Connectivity', 'Calendar', 'ResolutionCamera', 'GPS', 'Photo', 'ScreenSize', 'Resolution3MP', 'TouchScreen', 'Screen3', 'Speakerphone', 'Language', 'Radio', 'Spanish', 'CallManager', 'Portuguese', 'WiFi', 'OS', 'Androide', 'GoogleMaps', 'MediaManagement']"
Flat Monte Carlo,13,19,None,100,1800,1741,1741,0,4.3601,3.639,"['MobileMedia2', 'CallManager', 'TouchScreen', 'Calendar', 'MediaSelection', 'Video', 'Radio', 'ScreenSize', 'Language', 'GPS', 'Photo', 'Screen1', 'ResolutionCamera', 'Speakerphone', 'OS', 'Resolution8MP', 'WindowsMobile', 'MediaManagement', 'Portuguese']"
Flat Monte Carlo,14,20,None,100,1900,1755,1755,0,4.5121,3.254,"['MobileMedia2', 'OS', 'MediaSelection', 'ScreenSize', 'Speakerphone', 'iOS', 'TVDigital', 'Calendar', 'Screen3', 'ResolutionCamera', 'TouchScreen', 'Radio', 'GPS', 'CallManager', 'Language', 'Video', 'Photo', 'Resolution3MP', 'MediaManagement', 'English']"
Flat Monte Carlo,15,20,None,100,1900,1796,1796,0,4.5454,3.3472,"['MobileMedia2', 'Speakerphone', 'Radio', 'GPS', 'ScreenSize', 'ResolutionCamera', 'CallManager', 'Calendar', 'TVDigital', 'TouchScreen', 'MediaSelection', 'OS', 'Resolution3MP', 'Androide', 'Language', 'Screen3', 'Photo', 'MediaManagement', 'Video', 'Portuguese']"
Flat Monte Carlo,16,22,None,100,2100,1958,1958,0,4.7987,3.6242,"['MobileMedia2', 'GPS', 'ResolutionCamera', 'OS', 'CallManager', 'ScreenSize', 'Resolution3MP', 'TouchScreen', 'WindowsMobile', 'MediaSelection', 'Photo', 'Music', 'Video', 'Calendar', 'Screen2', 'TVDigital', 'MusicPlayer', 'Speakerphone', 'MediaManagement', 'Language', 'Portuguese', 'Radio']"
Flat Monte Carlo,17,23,None,100,2200,2092,2092,0,5.0383,3.8548,"['MobileMedia2', 'MediaSelection', 'ResolutionCamera', 'Photo', 'TouchScreen', 'Language', 'CallManager', 'Speakerphone', 'Calendar', 'Portuguese', 'Connectivity', 'TVDigital', 'GPS', 'Bluetooth', 'ScreenSize', 'OS', 'Spanish', 'Resolution3MP', 'Video', 'WindowsMobile', 'Radio', 'Screen3', 'MediaManagement']"
Flat Monte Carlo,18,17,None,100,1600,1555,1555,0,4.017,3.8496,"['MobileMedia2', 'GPS', 'MediaSelection', 'Radio', 'Video', 'Calendar', 'TouchScreen', 'Speakerphone', 'TVDigital', 'OS', 'ScreenSize', 'Screen3', 'Language', 'iOS', 'Portuguese', 'CallManager', 'MediaManagement']"
Flat Monte Carlo,19,20,None,100,1900,1832,1832,0,4.3775,3.5622,"['MobileMedia2', 'MediaSelection', 'GPS', 'Video', 'Speakerphone', 'ScreenSize', 'Radio', 'Screen1', 'Photo', 'CallManager', 'Language', 'Music', 'MusicPlayer', 'OS', 'Spanish', 'Androide', 'Connectivity', 'Bluetooth', 'Calendar', 'MediaManagement']"
Flat Monte Carlo,20,18,None,100,1700,1645,1645,0,4.1856,3.5571,"['MobileMedia2', 'Language', 'ScreenSize', 'Spanish', 'Speakerphone', 'Radio', 'MediaSelection', 'GPS', 'OS', 'Symbia', 'Music', 'Screen3', 'Calendar', 'Photo', 'Portuguese', 'MusicPlayer', 'CallManager', 'MediaManagement']"
Flat Monte Carlo,21,20,None,100,1900,1840,1840,0,4.592,3.643,"['MobileMedia2', 'MediaSelection', 'Photo', 'CallManager', 'Video', 'Radio', 'Language', 'Speakerphone', 'OS', 'GPS', 'MediaManagement', 'ResolutionCamera', 'Resolution3MP', 'TVDigital', 'ScreenSize', 'Calendar', 'TouchScreen', 'Screen3', 'Androide', 'English']"
Flat Monte Carlo,22,18,None,100,1700,1631,1631,0,4.2319,3.638,"['MobileMedia2', 'ResolutionCamera', 'MediaSelection', 'Radio', 'TVDigital', 'Language', 'Calendar', 'Photo', 'CallManager', 'OS', 'Resolution8MP', 'iOS', 'ScreenSize', 'Screen2', 'Video', 'Speakerphone', 'English', 'MediaManagement']"
Flat Monte Carlo,23,17,None,100,1600,1549,1549,0,4.0962,3.3663,"['MobileMedia2', 'TVDigital', 'GPS', 'Calendar', 'Radio', 'Speakerphone', 'MediaSelection', 'Language', 'English', 'OS', 'TouchScreen', 'ScreenSize', 'Video', 'Screen1', 'CallManager', 'Symbia', 'MediaManagement']"
Flat Monte Carlo,24,20,None,100,1900,1810,1810,0,4.7902,3.6991,"['MobileMedia2', 'CallManager', 'TouchScreen', 'Calendar', 'MediaSelection', 'Language', 'Connectivity', 'OS', 'ScreenSize', 'Portuguese', 'Spanish', 'iOS', 'Radio', 'Speakerphone', 'Screen1', 'TVDigital', 'English', 'Bluetooth', 'Photo', 'MediaManagement']"
Flat Monte Carlo,25,22,None,100,2100,2004,2004,0,4.7965,4.036,"['MobileMedia2', 'MediaSelection', 'Speakerphone', 'Video', 'GPS', 'OS', 'TVDigital', 'ScreenSize', 'Photo', 'ResolutionCamera', 'Language', 'TouchScreen', 'Radio', 'Music', 'iOS', 'Calendar', 'CallManager', 'MusicPlayer', 'Resolution8MP', 'Spanish', 'Screen2', 'MediaManagement']"
Flat Monte Carlo,26,19,None,100,1800,1683,1683,0,4.5593,4.0299,"['MobileMedia2', 'GPS', 'OS', 'ScreenSize', 'ResolutionCamera', 'Language', 'Radio', 'Calendar', 'Screen1', 'Resolution8MP', 'MediaManagement', 'MediaSelection', 'SMSTransfer', 'Symbia', 'Speakerphone', 'Photo', 'Spanish', 'CallManager', 'Video']"
Flat Monte Carlo,27,25,None,100,2400,2126,2126,0,5.2229,4.2876,"['MobileMedia2', 'OS', 'Radio', 'Connectivity', 'WindowsMobile', 'ResolutionCamera', 'CallManager', 'Bluetooth', 'ScreenSize', 'MediaSelection', 'WiFi', 'Screen3', 'TVDigital', 'Speakerphone', 'Resolution8MP', 'GPS', 'Music', 'Calendar', 'Video', 'Photo', 'Language', 'MusicPlayer', 'Youtube', 'Portuguese', 'MediaManagement']"
Flat Monte Carlo,28,21,None,100,2000,1873,1873,0,4.7543,4.2826,"['MobileMedia2', 'GPS', 'Calendar', 'ScreenSize', 'CallManager', 'Connectivity', 'ResolutionCamera', 'Screen2', 'MediaSelection', 'Photo', 'OS', 'WindowsMobile', 'Radio', 'TVDigital', 'Video', 'Resolution3MP', 'Speakerphone', 'Bluetooth', 'Language', 'English', 'MediaManagement']"
Flat Monte Carlo,29,23,None,100,2200,2042,2042,0,4.8982,4.2611,"['MobileMedia2', 'OS', 'iOS', 'GPS', 'ScreenSize', 'Screen2', 'Calendar', 'CallManager', 'MediaSelection', 'Radio', 'TVDigital', 'TouchScreen', 'Music', 'Connectivity', 'MusicPlayer', 'WiFi', 'Speakerphone', 'Photo', 'GoogleMaps', 'Language', 'Youtube', 'Portuguese', 'MediaManagement']"
Flat Monte Carlo,30,23,None,100,2200,2119,2119,0,5.2083,4.4198,"['MobileMedia2', 'Calendar', 'Connectivity', 'ResolutionCamera', 'Resolution3MP', 'Language', 'Bluetooth', 'Radio', 'Speakerphone', 'CallManager', 'English', 'WiFi', 'MediaSelection', 'ScreenSize', 'TVDigital', 'GoogleMaps', 'Photo', 'OS', 'Video', 'Gmail', 'Screen1', 'MediaManagement', 'WindowsMobile']"
