Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,8,None,0,0,0,0,0,0.0004,0.0159,"['Pizza', 'CheesyCrust', 'Dough', 'Neapolitan', 'Size', 'Big', 'Topping', 'Salami']"
Random strategy,2,8,None,0,0,0,0,0,0.0004,0.0315,"['Pizza', 'Size', 'Big', 'Topping', 'Salami', 'Dough', 'Mozzarella', 'Sicilian']"
Random strategy,3,9,None,0,0,0,0,0,0.0004,0.0441,"['Pizza', 'Topping', 'Dough', 'Sicilian', 'Salami', 'Ham', 'Size', 'Mozzarella', 'Big']"
Random strategy,4,8,None,0,0,0,0,0,0.0004,0.0553,"['Pizza', 'CheesyCrust', 'Topping', 'Ham', 'Dough', 'Size', 'Big', 'Neapolitan']"
Random strategy,5,7,None,0,0,0,0,0,0.0003,0.0654,"['Pizza', 'Size', 'Normal', 'Dough', 'Topping', 'Sicilian', 'Mozzarella']"
Random strategy,6,8,None,0,0,0,0,0,0.0004,0.077,"['Pizza', 'Topping', 'Size', 'Big', 'Dough', 'Salami', 'Ham', 'Sicilian']"
Random strategy,7,9,None,0,0,0,0,0,0.0004,0.0901,"['Pizza', 'Dough', 'Neapolitan', 'CheesyCrust', 'Topping', 'Size', 'Salami', 'Mozzarella', 'Big']"
Random strategy,8,10,None,0,0,0,0,0,0.0004,0.1042,"['Pizza', 'CheesyCrust', 'Size', 'Big', 'Topping', 'Dough', 'Mozzarella', 'Salami', 'Ham', 'Sicilian']"
Random strategy,9,9,None,0,0,0,0,0,0.0004,0.117,"['Pizza', 'Size', 'Normal', 'Topping', 'Ham', 'Mozzarella', 'Salami', 'Dough', 'Sicilian']"
Random strategy,10,10,None,0,0,0,0,0,0.0005,0.1313,"['Pizza', 'Topping', 'CheesyCrust', 'Ham', 'Dough', 'Size', 'Neapolitan', 'Salami', 'Mozzarella', 'Big']"
Random strategy,11,8,None,0,0,0,0,0,0.0003,0.1426,"['Pizza', 'CheesyCrust', 'Dough', 'Size', 'Big', 'Neapolitan', 'Topping', 'Mozzarella']"
Random strategy,12,8,None,0,0,0,0,0,0.0003,0.1542,"['Pizza', 'Size', 'CheesyCrust', 'Big', 'Dough', 'Neapolitan', 'Topping', 'Salami']"
Random strategy,13,9,None,0,0,0,0,0,0.0004,0.1671,"['Pizza', 'Dough', 'Topping', 'Salami', 'Neapolitan', 'CheesyCrust', 'Mozzarella', 'Size', 'Big']"
Random strategy,14,9,None,0,0,0,0,0,0.0004,0.1799,"['Pizza', 'Dough', 'CheesyCrust', 'Topping', 'Sicilian', 'Size', 'Ham', 'Mozzarella', 'Big']"
Random strategy,15,9,None,0,0,0,0,0,0.0004,0.1927,"['Pizza', 'Dough', 'Sicilian', 'CheesyCrust', 'Topping', 'Ham', 'Size', 'Mozzarella', 'Big']"
Random strategy,16,8,None,0,0,0,0,0,0.0004,0.2041,"['Pizza', 'Size', 'CheesyCrust', 'Big', 'Dough', 'Neapolitan', 'Topping', 'Mozzarella']"
Random strategy,17,8,None,0,0,0,0,0,0.0003,0.2154,"['Pizza', 'Size', 'Dough', 'Sicilian', 'Big', 'CheesyCrust', 'Topping', 'Mozzarella']"
Random strategy,18,8,None,0,0,0,0,0,0.0004,0.2269,"['Pizza', 'Dough', 'Topping', 'Size', 'Big', 'Sicilian', 'CheesyCrust', 'Salami']"
Random strategy,19,9,None,0,0,0,0,0,0.0004,0.2398,"['Pizza', 'CheesyCrust', 'Dough', 'Topping', 'Mozzarella', 'Size', 'Sicilian', 'Ham', 'Big']"
