Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Random strategy,1,26,None,0,0,0,0,0,0.0026,0.044,"['TankWar', 'AI', 'Easy', 'Tools', 'Beschleunigung', 'einfrieren', 'Energie', 'explodieren', 'Language', 'DE', 'Platform', 'Record', 'Mars', 'Handy', 'GUI', 'Tanks', 'China_Type99', 'Bombe', 'Feuerkraft', 'Soundeffekt', 'Map', 'Re_fuer_Handy', 'Image', 'M_240', 'Germany_Leopard', 'Sound_fuer_pc']"
Random strategy,2,27,None,0,0,0,0,0,0.0027,0.0968,"['TankWar', 'AI', 'Soundeffekt', 'Sound_fuer_Handy', 'Platform', 'Tools', 'Language', 'PC', 'Feuerkraft', 'Hard', 'explodieren', 'Mars', 'GUI', 'Energie', 'EN', 'einfrieren', 'Bombe', 'Beschleunigung', 'Tanks', 'China_Type99', 'Germany_Leopard', 'USA_M1Abrams', 'Map', 'Image', 'Record', 'M_600', 'Re_fuer_PC']"
Random strategy,3,26,None,0,0,0,0,0,0.0023,0.1432,"['TankWar', 'Language', 'DE', 'Platform', 'explodieren', 'Handy', 'AI', 'Easy', 'Record', 'Soundeffekt', 'Tools', 'Feuerkraft', 'Bombe', 'Mars', 'Sound_fuer_pc', 'Re_fuer_Handy', 'Energie', 'Beschleunigung', 'Tanks', 'einfrieren', 'USA_M1Abrams', 'GUI', 'Germany_Leopard', 'Map', 'Image', 'M_780']"
Random strategy,4,23,None,0,0,0,0,0,0.0025,0.1852,"['TankWar', 'Record', 'Soundeffekt', 'Tools', 'Sound_fuer_Handy', 'AI', 'Beschleunigung', 'Language', 'Mars', 'GUI', 'DE', 'Re_fuer_PC', 'Feuerkraft', 'Hard', 'Platform', 'Map', 'Bombe', 'PC', 'Tanks', 'M_240', 'explodieren', 'Energie', 'China_Type99']"
Random strategy,5,20,None,0,0,0,0,0,0.0019,0.2221,"['TankWar', 'Record', 'Tanks', 'Platform', 'China_Type99', 'explodieren', 'Germany_Leopard', 'Handy', 'Re_fuer_PC', 'Language', 'GUI', 'Image', 'IMG_tool', 'AI', 'EN', 'Easy', 'Map', 'USA_M1Abrams', 'fuer_PC', 'M_240']"
Random strategy,6,18,None,0,0,0,0,0,0.0022,0.2537,"['TankWar', 'GUI', 'Map', 'Platform', 'Language', 'DE', 'Tools', 'Bombe', 'Tanks', 'AI', 'Beschleunigung', 'PC', 'Record', 'Re_fuer_Handy', 'explodieren', 'Easy', 'M_780', 'Germany_Leopard']"
Random strategy,7,29,None,0,0,0,0,0,0.0028,0.3082,"['TankWar', 'Record', 'AI', 'Easy', 'Soundeffekt', 'Sound_fuer_pc', 'Platform', 'GUI', 'Handy', 'Tanks', 'Re_fuer_PC', 'USA_M1Abrams', 'China_Type99', 'Image', 'fuer_Handy', 'Language', 'Tools', 'EN', 'Mars', 'explodieren', 'Bombe', 'Germany_Leopard', 'fuer_PC', 'Feuerkraft', 'IMG_tool', 'Map', 'Beschleunigung', 'einfrieren', 'M_600']"
Random strategy,8,25,None,0,0,0,0,0,0.0023,0.3532,"['TankWar', 'Record', 'Language', 'Soundeffekt', 'Sound_fuer_Handy', 'Re_fuer_PC', 'DE', 'Platform', 'Tanks', 'Tools', 'Feuerkraft', 'PC', 'Mars', 'Bombe', 'Germany_Leopard', 'Energie', 'Beschleunigung', 'AI', 'USA_M1Abrams', 'China_Type99', 'einfrieren', 'Easy', 'GUI', 'Map', 'M_600']"
Random strategy,9,23,None,0,0,0,0,0,0.0024,0.3952,"['TankWar', 'Tools', 'Language', 'EN', 'GUI', 'Tanks', 'China_Type99', 'Energie', 'Map', 'M_240', 'Platform', 'explodieren', 'Germany_Leopard', 'einfrieren', 'Bombe', 'Feuerkraft', 'Mars', 'AI', 'Easy', 'USA_M1Abrams', 'Image', 'fuer_Handy', 'Handy']"
Random strategy,10,30,None,0,0,0,0,0,0.0032,0.4492,"['TankWar', 'Tanks', 'Platform', 'Tools', 'einfrieren', 'Language', 'PC', 'Germany_Leopard', 'GUI', 'DE', 'Soundeffekt', 'Map', 'Beschleunigung', 'Sound_fuer_pc', 'M_780', 'Bombe', 'Mars', 'USA_M1Abrams', 'China_Type99', 'Feuerkraft', 'explodieren', 'Energie', 'Record', 'Re_fuer_Handy', 'Image', 'IMG_tool', 'AI', 'fuer_PC', 'fuer_Handy', 'Hard']"
Random strategy,11,29,None,0,0,0,0,0,0.0032,0.502,"['TankWar', 'explodieren', 'GUI', 'Image', 'Tools', 'Platform', 'Energie', 'PC', 'Tanks', 'Language', 'Mars', 'Soundeffekt', 'Bombe', 'Feuerkraft', 'DE', 'Record', 'AI', 'fuer_Handy', 'Beschleunigung', 'Sound_fuer_Handy', 'IMG_tool', 'Germany_Leopard', 'einfrieren', 'Hard', 'China_Type99', 'Re_fuer_Handy', 'fuer_PC', 'Map', 'M_240']"
Random strategy,12,27,None,0,0,0,0,0,0.0029,0.5515,"['TankWar', 'explodieren', 'Tanks', 'AI', 'China_Type99', 'Soundeffekt', 'GUI', 'Platform', 'Tools', 'Sound_fuer_pc', 'Easy', 'Germany_Leopard', 'PC', 'Record', 'Bombe', 'einfrieren', 'Image', 'Feuerkraft', 'Mars', 'Energie', 'USA_M1Abrams', 'IMG_tool', 'Language', 'Map', 'Re_fuer_PC', 'M_240', 'DE']"
Random strategy,13,23,None,0,0,0,0,0,0.0024,0.5935,"['TankWar', 'GUI', 'AI', 'Map', 'M_240', 'Image', 'Record', 'Re_fuer_Handy', 'Language', 'IMG_tool', 'Easy', 'Tanks', 'USA_M1Abrams', 'Soundeffekt', 'China_Type99', 'Platform', 'explodieren', 'Germany_Leopard', 'fuer_Handy', 'fuer_PC', 'PC', 'EN', 'Sound_fuer_pc']"
Random strategy,14,25,None,0,0,0,0,0,0.0023,0.6384,"['TankWar', 'Tanks', 'explodieren', 'Language', 'Soundeffekt', 'EN', 'China_Type99', 'AI', 'Hard', 'Record', 'Platform', 'USA_M1Abrams', 'Re_fuer_Handy', 'Sound_fuer_pc', 'Germany_Leopard', 'Handy', 'Tools', 'Energie', 'Bombe', 'einfrieren', 'Mars', 'Beschleunigung', 'GUI', 'Map', 'M_600']"
Random strategy,15,23,None,0,0,0,0,0,0.0022,0.6802,"['TankWar', 'explodieren', 'Language', 'AI', 'EN', 'Record', 'Tools', 'Easy', 'Beschleunigung', 'Feuerkraft', 'Energie', 'Re_fuer_PC', 'Tanks', 'einfrieren', 'Platform', 'GUI', 'Germany_Leopard', 'Handy', 'China_Type99', 'Soundeffekt', 'Map', 'M_240', 'Sound_fuer_pc']"
Random strategy,16,26,None,0,0,0,0,0,0.0027,0.7275,"['TankWar', 'Record', 'Soundeffekt', 'Tanks', 'GUI', 'AI', 'Tools', 'Hard', 'Mars', 'einfrieren', 'Energie', 'explodieren', 'Re_fuer_Handy', 'China_Type99', 'Bombe', 'Germany_Leopard', 'Feuerkraft', 'Sound_fuer_Handy', 'Platform', 'Language', 'EN', 'PC', 'USA_M1Abrams', 'Beschleunigung', 'Map', 'M_780']"
Random strategy,17,28,None,0,0,0,0,0,0.0032,0.7786,"['TankWar', 'Tanks', 'Germany_Leopard', 'China_Type99', 'explodieren', 'Tools', 'Language', 'GUI', 'Image', 'Platform', 'fuer_Handy', 'USA_M1Abrams', 'IMG_tool', 'Record', 'Energie', 'Soundeffekt', 'Map', 'Re_fuer_Handy', 'PC', 'Bombe', 'Sound_fuer_pc', 'AI', 'M_240', 'Mars', 'EN', 'Beschleunigung', 'fuer_PC', 'Hard']"
Random strategy,18,30,None,0,0,0,0,0,0.0029,0.8329,"['TankWar', 'Tools', 'Beschleunigung', 'Tanks', 'USA_M1Abrams', 'Feuerkraft', 'Energie', 'Bombe', 'Mars', 'Platform', 'PC', 'Record', 'AI', 'Soundeffekt', 'einfrieren', 'GUI', 'explodieren', 'Hard', 'China_Type99', 'Map', 'Germany_Leopard', 'Re_fuer_PC', 'Sound_fuer_pc', 'M_780', 'Image', 'IMG_tool', 'fuer_Handy', 'fuer_PC', 'Language', 'EN']"
Random strategy,19,27,None,0,0,0,0,0,0.0025,0.881,"['TankWar', 'Platform', 'PC', 'AI', 'Easy', 'Language', 'explodieren', 'DE', 'Tanks', 'Soundeffekt', 'Tools', 'Bombe', 'Sound_fuer_pc', 'Germany_Leopard', 'Beschleunigung', 'Mars', 'Energie', 'Record', 'Feuerkraft', 'Re_fuer_Handy', 'GUI', 'USA_M1Abrams', 'Image', 'einfrieren', 'IMG_tool', 'Map', 'M_600']"
Random strategy,20,28,None,0,0,0,0,0,0.0026,0.9318,"['TankWar', 'explodieren', 'Tools', 'einfrieren', 'Bombe', 'Energie', 'Platform', 'PC', 'Tanks', 'AI', 'Easy', 'China_Type99', 'Soundeffekt', 'GUI', 'Sound_fuer_Handy', 'USA_M1Abrams', 'Mars', 'Record', 'Germany_Leopard', 'Image', 'Beschleunigung', 'IMG_tool', 'Language', 'Feuerkraft', 'Re_fuer_Handy', 'Map', 'EN', 'M_240']"
Random strategy,21,25,None,0,0,0,0,0,0.0025,0.9772,"['TankWar', 'Tools', 'Feuerkraft', 'AI', 'Record', 'Language', 'Re_fuer_PC', 'Energie', 'EN', 'Bombe', 'Hard', 'GUI', 'Platform', 'einfrieren', 'Image', 'fuer_Handy', 'IMG_tool', 'fuer_PC', 'explodieren', 'Handy', 'Beschleunigung', 'Tanks', 'Map', 'M_600', 'USA_M1Abrams']"
Random strategy,22,28,None,0,0,0,0,0,0.0027,1.0274,"['TankWar', 'Tanks', 'AI', 'Language', 'Record', 'DE', 'explodieren', 'Germany_Leopard', 'Hard', 'Platform', 'Soundeffekt', 'PC', 'Sound_fuer_pc', 'GUI', 'China_Type99', 'USA_M1Abrams', 'Re_fuer_Handy', 'Image', 'IMG_tool', 'Tools', 'einfrieren', 'fuer_Handy', 'fuer_PC', 'Beschleunigung', 'Bombe', 'Mars', 'Map', 'M_600']"
Random strategy,23,28,None,0,0,0,0,0,0.0025,1.078,"['TankWar', 'Language', 'EN', 'Tools', 'explodieren', 'Mars', 'Bombe', 'Tanks', 'USA_M1Abrams', 'Germany_Leopard', 'Soundeffekt', 'Sound_fuer_Handy', 'Feuerkraft', 'einfrieren', 'Platform', 'Record', 'Re_fuer_Handy', 'Handy', 'China_Type99', 'AI', 'GUI', 'Easy', 'Energie', 'Beschleunigung', 'Map', 'Image', 'IMG_tool', 'M_600']"
Random strategy,24,18,None,0,0,0,0,0,0.002,1.1092,"['TankWar', 'explodieren', 'Language', 'Tanks', 'GUI', 'Record', 'Image', 'AI', 'Map', 'EN', 'M_600', 'Platform', 'Easy', 'China_Type99', 'IMG_tool', 'Re_fuer_PC', 'USA_M1Abrams', 'PC']"
Random strategy,25,26,None,0,0,0,0,0,0.0033,1.1581,"['TankWar', 'explodieren', 'AI', 'Tools', 'Bombe', 'Record', 'einfrieren', 'Easy', 'Re_fuer_Handy', 'Platform', 'Energie', 'Tanks', 'Handy', 'USA_M1Abrams', 'Language', 'Soundeffekt', 'Beschleunigung', 'DE', 'Feuerkraft', 'Germany_Leopard', 'China_Type99', 'Sound_fuer_Handy', 'GUI', 'Mars', 'Map', 'M_600']"
Random strategy,26,26,None,0,0,0,0,0,0.0022,1.2046,"['TankWar', 'Platform', 'Record', 'Language', 'explodieren', 'EN', 'Re_fuer_Handy', 'Tanks', 'China_Type99', 'PC', 'Germany_Leopard', 'Soundeffekt', 'Sound_fuer_Handy', 'Tools', 'Feuerkraft', 'Beschleunigung', 'einfrieren', 'USA_M1Abrams', 'Mars', 'Bombe', 'GUI', 'AI', 'Hard', 'Energie', 'Map', 'M_240']"
Random strategy,27,29,None,0,0,0,0,0,0.0032,1.257,"['TankWar', 'Platform', 'Soundeffekt', 'Handy', 'explodieren', 'AI', 'GUI', 'Map', 'Sound_fuer_pc', 'M_240', 'Hard', 'Record', 'Language', 'Tools', 'Image', 'Bombe', 'IMG_tool', 'DE', 'Energie', 'fuer_PC', 'Tanks', 'Germany_Leopard', 'Mars', 'einfrieren', 'China_Type99', 'Feuerkraft', 'Beschleunigung', 'USA_M1Abrams', 'Re_fuer_Handy']"
Random strategy,28,30,None,0,0,0,0,0,0.003,1.3111,"['TankWar', 'Tanks', 'Tools', 'USA_M1Abrams', 'Mars', 'China_Type99', 'Beschleunigung', 'Germany_Leopard', 'explodieren', 'einfrieren', 'GUI', 'AI', 'Soundeffekt', 'Sound_fuer_Handy', 'Map', 'Bombe', 'M_600', 'Platform', 'PC', 'Image', 'Feuerkraft', 'Record', 'Hard', 'Re_fuer_PC', 'fuer_Handy', 'IMG_tool', 'Energie', 'Language', 'fuer_PC', 'EN']"
Random strategy,29,28,None,0,0,0,0,0,0.0027,1.3616,"['TankWar', 'Platform', 'Record', 'Re_fuer_PC', 'AI', 'explodieren', 'Language', 'Easy', 'DE', 'Handy', 'GUI', 'Tanks', 'Image', 'Soundeffekt', 'Tools', 'Germany_Leopard', 'Energie', 'Beschleunigung', 'fuer_PC', 'China_Type99', 'IMG_tool', 'Feuerkraft', 'Sound_fuer_pc', 'Bombe', 'fuer_Handy', 'einfrieren', 'Map', 'M_240']"
Random strategy,30,21,None,0,0,0,0,0,0.0024,1.4003,"['TankWar', 'Tools', 'Feuerkraft', 'Tanks', 'Mars', 'Energie', 'China_Type99', 'Platform', 'Germany_Leopard', 'Language', 'GUI', 'AI', 'Soundeffekt', 'Handy', 'USA_M1Abrams', 'Beschleunigung', 'Easy', 'Map', 'EN', 'Sound_fuer_Handy', 'M_240']"
