Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Flat Monte Carlo,1,2,None,100,100,90,90,0,0.0534,0.1276,"['wget', 'base']"
Flat Monte Carlo,2,2,None,100,100,91,91,0,0.0548,0.1419,"['wget', 'base']"
Flat Monte Carlo,3,2,None,100,100,91,91,0,0.0522,0.147,"['wget', 'base']"
Flat Monte Carlo,4,2,None,100,100,92,92,0,0.0553,0.1529,"['wget', 'base']"
Flat Monte Carlo,5,2,None,100,100,90,90,0,0.0528,0.1546,"['wget', 'base']"
Flat Monte Carlo,6,2,None,100,100,95,95,0,0.0576,0.1628,"['wget', 'base']"
Flat Monte Carlo,7,2,None,100,100,89,89,0,0.0533,0.162,"['wget', 'base']"
Flat Monte Carlo,8,2,None,100,100,91,91,0,0.0507,0.1668,"['wget', 'base']"
Flat Monte Carlo,9,2,None,100,100,93,93,0,0.057,0.1719,"['wget', 'base']"
Flat Monte Carlo,10,2,None,100,100,97,97,0,0.0587,0.1804,"['wget', 'base']"
Flat Monte Carlo,11,2,None,100,100,91,91,0,0.0545,0.1793,"['wget', 'base']"
Flat Monte Carlo,12,2,None,100,100,90,90,0,0.0562,0.1818,"['wget', 'base']"
Flat Monte Carlo,13,2,None,100,100,92,92,0,0.0547,0.1874,"['wget', 'base']"
Flat Monte Carlo,14,2,None,100,100,87,87,0,0.0489,0.1866,"['wget', 'base']"
Flat Monte Carlo,15,2,None,100,100,89,89,0,0.0528,0.1919,"['wget', 'base']"
Flat Monte Carlo,16,2,None,100,100,90,90,0,0.0559,0.1966,"['wget', 'base']"
Flat Monte Carlo,17,2,None,100,100,91,91,0,0.0537,0.2017,"['wget', 'base']"
Flat Monte Carlo,18,2,None,100,100,87,87,0,0.0534,0.2011,"['wget', 'base']"
Flat Monte Carlo,19,2,None,100,100,92,92,0,0.0483,0.2102,"['wget', 'base']"
Flat Monte Carlo,20,2,None,100,100,92,92,0,0.0561,0.2135,"['wget', 'base']"
Flat Monte Carlo,21,2,None,100,100,89,89,0,0.0534,0.2145,"['wget', 'base']"
Flat Monte Carlo,22,2,None,100,100,90,90,0,0.0518,0.2186,"['wget', 'base']"
Flat Monte Carlo,23,2,None,100,100,85,85,0,0.055,0.2185,"['wget', 'base']"
Flat Monte Carlo,24,2,None,100,100,90,90,0,0.05,0.2269,"['wget', 'base']"
Flat Monte Carlo,25,2,None,100,100,87,87,0,0.0479,0.2281,"['wget', 'base']"
Flat Monte Carlo,26,2,None,100,100,88,88,0,0.0507,0.2323,"['wget', 'base']"
Flat Monte Carlo,27,2,None,100,100,93,93,0,0.052,0.2412,"['wget', 'base']"
Flat Monte Carlo,28,2,None,100,100,91,91,0,0.0527,0.2438,"['wget', 'base']"
Flat Monte Carlo,29,2,None,100,100,91,91,0,0.0547,0.2484,"['wget', 'base']"
Flat Monte Carlo,30,2,None,100,100,92,92,0,0.0566,0.2522,"['wget', 'base']"
