Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
UCT MCTS,1,2,None,100,200,200,200,200,0.1636,2.9906,"['wget', 'base']"
UCT MCTS,2,2,None,100,200,200,200,200,0.1549,3.0081,"['wget', 'base']"
UCT MCTS,3,2,None,100,200,200,200,200,0.159,3.0126,"['wget', 'base']"
UCT MCTS,4,2,None,100,200,200,200,200,0.1556,3.0335,"['wget', 'base']"
UCT MCTS,5,2,None,100,200,200,200,200,0.1552,3.0342,"['wget', 'base']"
UCT MCTS,6,2,None,100,200,200,200,200,0.1539,3.0543,"['wget', 'base']"
UCT MCTS,7,2,None,100,200,200,200,200,0.1547,3.0553,"['wget', 'base']"
UCT MCTS,8,2,None,100,200,200,200,200,0.1591,3.0515,"['wget', 'base']"
UCT MCTS,9,2,None,100,200,200,200,200,0.1562,3.0508,"['wget', 'base']"
UCT MCTS,10,2,None,100,200,200,200,200,0.1574,3.0802,"['wget', 'base']"
UCT MCTS,11,2,None,100,200,200,200,200,0.1554,3.0909,"['wget', 'base']"
UCT MCTS,12,2,None,100,200,200,200,200,0.1598,3.0917,"['wget', 'base']"
UCT MCTS,13,2,None,100,200,200,200,200,0.1538,3.1018,"['wget', 'base']"
UCT MCTS,14,2,None,100,200,200,200,200,0.1577,3.1044,"['wget', 'base']"
UCT MCTS,15,2,None,100,200,200,200,200,0.165,3.105,"['wget', 'base']"
UCT MCTS,16,2,None,100,200,200,200,200,0.1539,3.1135,"['wget', 'base']"
UCT MCTS,17,2,None,100,200,200,200,200,0.1559,3.1214,"['wget', 'base']"
UCT MCTS,18,2,None,100,200,200,200,200,0.1572,3.1232,"['wget', 'base']"
UCT MCTS,19,2,None,100,200,200,200,200,0.1605,3.1438,"['wget', 'base']"
UCT MCTS,20,2,None,100,200,200,200,200,0.1536,3.1475,"['wget', 'base']"
UCT MCTS,21,2,None,100,200,200,200,200,0.156,3.1633,"['wget', 'base']"
UCT MCTS,22,2,None,100,200,200,200,200,0.1538,3.177,"['wget', 'base']"
UCT MCTS,23,2,None,100,200,200,200,200,0.1605,3.1781,"['wget', 'base']"
UCT MCTS,24,2,None,100,200,200,200,200,0.1563,3.185,"['wget', 'base']"
UCT MCTS,25,2,None,100,200,200,200,200,0.1546,3.1954,"['wget', 'base']"
UCT MCTS,26,2,None,100,200,200,200,200,0.1643,3.1977,"['wget', 'base']"
UCT MCTS,27,2,None,100,200,200,200,200,0.1603,3.206,"['wget', 'base']"
UCT MCTS,28,2,None,100,200,200,200,200,0.1581,3.2169,"['wget', 'base']"
UCT MCTS,29,2,None,100,200,200,200,200,0.1554,3.2175,"['wget', 'base']"
UCT MCTS,30,2,None,100,200,200,200,200,0.1595,3.2197,"['wget', 'base']"
