Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Application, 1215, 1205, 0.99, 1.0, RED
Authentication, 6294, 6214, 0.99, 0.99, RED
BackEnd, 7337, 7273, 0.99, 1.0, RED
Cassandra, 6762, 6642, 0.98, 0.99, RED
ClusteredSession, 3140, 3092, 0.98, 0.99, RED
Cucumber, 11102, 11098, 1.0, 1.0, RED
Database, 1487, 1331, 0.9, 0.95, RED
Development, 0, 0, 0, 0, WHITE
DiskBased, 0, 0, 0, 0, WHITE
Docker, 8828, 8770, 0.99, 1.0, RED
EhCache, 0, 0, 0, 0, WHITE
ElasticSearch, 0, 0, 0, 0, WHITE
Gatling, 11955, 11949, 1.0, 1.0, RED
Generator, 4452, 4380, 0.98, 0.99, RED
Gradle, 11428, 11428, 1.0, 1.0, RED
H2, 0, 0, 0, 0, WHITE
HTTPSession, 895, 887, 0.99, 1.0, RED
HazelCast, 0, 0, 0, 0, WHITE
Hibernate2ndLvlCache, 1, 1, 1.0, 1.0, RED
InMemory, 0, 0, 0, 0, WHITE
InternationalizationSupport, 15395, 15315, 0.99, 1.0, RED
JHipster, 1001, 821, 0.82, 0.91, RED
JWT, 3617, 3607, 1.0, 1.0, RED
Libsass, 3106, 3046, 0.98, 0.99, RED
MariaDB, 0, 0, 0, 0, WHITE
MariaDBDev, 0, 0, 0, 0, WHITE
Maven, 5267, 5267, 1.0, 1.0, RED
MicroserviceApplication, 22665, 22665, 1.0, 1.0, RED
MicroserviceGateway, 308, 308, 1.0, 1.0, RED
MongoDB, 5, 1, 0.2, 0.6, ORANGE
Monolithic, 273, 273, 1.0, 1.0, RED
MySQL, 0, 0, 0, 0, WHITE
MySql, 0, 0, 0, 0, WHITE
OAuth2, 3, -3, -1.0, 0.0, BLUE
PostgreSQL, 0, 0, 0, 0, WHITE
PostgreSQLDev, 0, 0, 0, 0, WHITE
Production, 1, -1, -1.0, 0.0, BLUE
Protractor, 1150, 1144, 0.99, 1.0, RED
SQL, 13, -5, -0.38, 0.31, GREEN
Server, 2344, 2340, 1.0, 1.0, RED
SocialLogin, 55, 15, 0.27, 0.64, ORANGE
SpringWebSockets, 3274, 3176, 0.97, 0.99, RED
TestingFrameworks, 6893, 6829, 0.99, 1.0, RED
Uaa, 16583, 16583, 1.0, 1.0, RED
UaaServer, 1250, 1250, 1.0, 1.0, RED
