Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"UCT Algorithm", 1, 0, 1, 2, 1, 0.5, 2, 0.004986286163330078
"UCT Algorithm", 250, 0, 250, 228, 195, 0.8552631578947368, 251, 1.0283095836639404
"UCT Algorithm", 500, 0, 500, 435, 363, 0.8344827586206897, 501, 2.1433653831481934
"UCT Algorithm", 750, 0, 750, 675, 590, 0.8740740740740741, 751, 3.082853078842163
"UCT Algorithm", 1000, 0, 1000, 949, 907, 0.9557428872497366, 1001, 4.317050457000732
"UCT Algorithm", 1250, 0, 1250, 942, 803, 0.8524416135881104, 1251, 6.2813050746917725
"UCT Algorithm", 1500, 0, 1500, 1273, 1069, 0.8397486252945797, 1501, 7.095835447311401
"UCT Algorithm", 1750, 0, 1750, 1601, 1456, 0.9094316052467208, 1751, 8.124859094619751
"UCT Algorithm", 2000, 0, 2000, 1611, 1393, 0.8646803227808815, 2001, 10.31390643119812
"UCT Algorithm", 2250, 0, 2250, 1614, 1376, 0.8525402726146221, 2251, 11.81068754196167
"UCT Algorithm", 2500, 0, 2500, 2353, 2296, 0.9757756056098598, 2501, 13.101160287857056
"UCT Algorithm", 2750, 0, 2750, 2567, 2495, 0.9719516945851188, 2751, 14.755030155181885
"UCT Algorithm", 3000, 0, 3000, 2797, 2751, 0.9835538076510547, 3001, 16.541600942611694
"UCT Algorithm", 3250, 0, 3250, 2847, 2682, 0.9420442571127503, 3251, 19.22449231147766
"UCT Algorithm", 3500, 0, 3500, 3132, 2950, 0.941890166028097, 3501, 20.713835954666138
"UCT Algorithm", 3750, 0, 3750, 3470, 3404, 0.9809798270893372, 3751, 22.77566170692444
"UCT Algorithm", 4000, 0, 4000, 3570, 3427, 0.9599439775910364, 4001, 28.214855670928955
"UCT Algorithm", 4250, 0, 4250, 3746, 3565, 0.9516817939135077, 4251, 27.813661336898804
"UCT Algorithm", 4500, 0, 4500, 3973, 3776, 0.9504153032972564, 4501, 29.754610538482666
"UCT Algorithm", 4750, 0, 4750, 3722, 3363, 0.9035464803868888, 4751, 32.46694898605347
"UCT Algorithm", 5000, 0, 5000, 4439, 4356, 0.9813020950664564, 5001, 37.97138500213623
