Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 95, 80, 101, 0.8276200294494629, AAFMFramework
1, 5, 100, 92, 154, 202, 0.807600736618042, Interoperability
2, 7, 100, 90, 232, 303, 0.7971007823944092, FeatureIDE
3, 6, 100, 93, 318, 404, 0.7686779499053955, AutomatedReasoning
4, 7, 100, 92, 409, 505, 0.7601923942565918, Packages
5, 10, 100, 96, 505, 606, 0.7727336883544922, APISolvers
6, 19, 100, 90, 595, 707, 0.7351734638214111, pylgl
7, 18, 100, 94, 689, 808, 0.7502238750457764, pyPicosat
8, 17, 100, 93, 782, 909, 0.7336592674255371, ParserTechnology
9, 19, 100, 95, 877, 1010, 0.7218647003173828, antlr4-python3-runtime
10, 18, 100, 91, 968, 1111, 0.720916748046875, lark-parser
11, 18, 100, 88, 1056, 1212, 0.7046370506286621, Solvers
12, 21, 100, 89, 1145, 1313, 0.734184741973877, pyglucose
13, 20, 100, 91, 1236, 1414, 0.6984014511108398, System
14, 20, 100, 87, 1323, 1515, 0.6874096393585205, satyrn
15, 19, 100, 86, 1409, 1616, 0.6808133125305176, python-sat
16, 18, 100, 77, 1486, 1717, 0.6869320869445801, pycryptosat
17, 17, 100, 79, 1565, 1818, 0.6635830402374268, pydepqbf
18, 16, 100, 74, 1639, 1919, 0.6766331195831299, pycosat
19, 15, 100, 73, 1712, 2020, 0.6488242149353027, Operations
20, 22, 100, 70, 1782, 2121, 0.6627240180969238, umo
21, 21, 100, 61, 1843, 2222, 0.6589586734771729, UVL
22, 20, 100, 71, 1914, 2323, 0.6350178718566895, ValidConfiguration
23, 19, 100, 56, 1970, 2424, 0.6179230213165283, satispy
24, 18, 100, 51, 2021, 2525, 0.5888552665710449, AllProducts
25, 17, 100, 47, 2068, 2626, 0.5957880020141602, CoreFeatures
26, 16, 100, 31, 2099, 2727, 0.5563921928405762, ValidModel
27, 15, 100, 31, 2130, 2828, 0.5340344905853271, DeadFeatures
28, 14, 100, 33, 2163, 2929, 0.5160207748413086, SPLOT
29, 13, 100, 15, 2178, 3030, 0.5094366073608398, ErrorDiagnosis
30, 12, 100, 24, 2202, 3131, 0.4905402660369873, SimpleParse
31, 11, 100, 11, 2213, 3232, 0.48586440086364746, MiniSAT
32, 10, 100, 11, 2224, 3333, 0.45514345169067383, Utils
33, 11, 100, 10, 2234, 3434, 0.4709804058074951, DepMng
34, 14, 100, 20, 2254, 3535, 0.44002819061279297, wheel
35, 13, 100, 11, 2265, 3636, 0.46657681465148926, PicoSAT
36, 12, 100, 7, 2272, 3737, 0.40109729766845703, Glucose
37, 11, 100, 4, 2276, 3838, 0.38512635231018066, Lingeling
38, 10, 100, 1, 2277, 3939, 0.3778495788574219, Linux
39, 9, 100, 4, 2281, 4040, 0.3528163433074951, ebnf
40, 8, 100, 0, 2281, 4085, 0.46655797958374023, Metamodels
41, 10, 100, 0, 2281, 4085, 0.4705665111541748, pip
42, 10, 100, 0, 2281, 4085, 0.4161696434020996, setuptools
43, 9, 100, 0, 2281, 4085, 0.3741343021392822, pkg-resources
44, 8, 100, 0, 2281, 4085, 0.3348109722137451, FeatureModel
45, 7, 100, 0, 2281, 4085, 0.29542088508605957, CNFModel
46, 6, 100, 0, 2281, 4085, 0.2539336681365967, DecisionModel
47, 5, 100, 0, 2281, 4085, 0.20591425895690918, ValidProduct
48, 4, 100, 0, 2281, 4085, 0.1705172061920166, ErrorDetection
49, 3, 100, 0, 2281, 4085, 0.1276388168334961, six
50, 2, 100, 0, 2281, 4085, 0.08497500419616699, pybind11
