Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AllProducts, 6, 12, 2.0, 1.0, RED
CNFModel, 6, 12, 2.0, 1.0, RED
CoreFeatures, 6, 12, 2.0, 1.0, RED
DeadFeatures, 6, 12, 2.0, 1.0, RED
DecisionModel, 6, 12, 2.0, 1.0, RED
DepMng, 2, 3, 1.5, 0.5, YELLOW
ErrorDetection, 6, 12, 2.0, 1.0, RED
ErrorDiagnosis, 6, 12, 2.0, 1.0, RED
FeatureModel, 6, 11, 1.83, 0.83, RED
Glucose, 5, 10, 2.0, 1.0, RED
Lingeling, 5, 10, 2.0, 1.0, RED
Linux, 5, 10, 2.0, 1.0, RED
MiniSAT, 1, 1, 1.0, 0.0, BLUE
PicoSAT, 5, 10, 2.0, 1.0, RED
SimpleParse, 6, 12, 2.0, 1.0, RED
Utils, 6, 11, 1.83, 0.83, RED
ValidConfiguration, 6, 12, 2.0, 1.0, RED
ValidModel, 6, 12, 2.0, 1.0, RED
ValidProduct, 3, 5, 1.67, 0.67, ORANGE
antlr4-python3-runtime, 4, 7, 1.75, 0.75, ORANGE
ebnf, 5, 10, 2.0, 1.0, RED
