Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 0, 100, 45, 19, 0, 0.041518211364746094, AAFMFramework
1, 0, 100, 20, 31, 0, 0.03776884078979492, Solvers
2, 0, 100, 14, 36, 0, 0.046622514724731445, PicoSAT
3, 0, 100, 7, 37, 0, 0.0426175594329834, Glucose
4, 0, 100, 0, 37, 0, 0.04141092300415039, MiniSAT
5, 0, 100, 0, 37, 0, 0.03668665885925293, Packages
6, 0, 100, 0, 37, 0, 0.03181958198547363, pyPicosat
7, 0, 100, 0, 37, 0, 0.02828192710876465, python-sat
8, 0, 100, 0, 37, 0, 0.019077777862548828, pycosat
9, 0, 100, 0, 37, 0, 0.016041994094848633, pyglucose
10, 0, 100, 0, 37, 0, 0.012042760848999023, System
11, 0, 100, 0, 37, 0, 0.006121158599853516, Linux
