Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 0, 100, 79, 37, 0, 0.8547661304473877, JHipster
1, 0, 100, 59, 73, 0, 0.8298251628875732, Database
2, 0, 100, 44, 93, 0, 0.7794592380523682, ClusteredSession
3, 0, 100, 31, 111, 0, 0.7023191452026367, InternationalizationSupport
4, 0, 100, 20, 118, 0, 0.6815893650054932, MongoDB
5, 0, 100, 17, 126, 0, 0.41998720169067383, SocialLogin
6, 0, 100, 2, 128, 0, 0.36557483673095703, Libsass
7, 0, 100, 1, 129, 0, 0.3266007900238037, Docker
8, 0, 100, 1, 130, 0, 0.27985382080078125, Authentication
9, 0, 100, 0, 130, 0, 0.255871057510376, SpringWebSockets
10, 0, 100, 0, 130, 0, 0.2171187400817871, HTTPSession
11, 0, 100, 0, 130, 0, 0.18337702751159668, TestingFrameworks
12, 0, 100, 0, 130, 0, 0.15878725051879883, Gatling
13, 0, 100, 0, 130, 0, 0.12925982475280762, Protractor
14, 0, 100, 0, 130, 0, 0.10688424110412598, Cucumber
15, 0, 100, 0, 130, 0, 0.08288431167602539, BackEnd
16, 0, 100, 0, 130, 0, 0.06166577339172363, Generator
17, 0, 100, 0, 130, 0, 0.04699516296386719, Maven
18, 0, 100, 0, 130, 0, 0.027165651321411133, Application
19, 0, 100, 0, 130, 0, 0.01111602783203125, Monolithic
