Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 99, 99, 101, 0.802966833114624, AAFMFramework
1, 5, 100, 90, 189, 202, 0.8376295566558838, Metamodels
2, 7, 100, 81, 270, 303, 0.7905495166778564, System
3, 8, 100, 67, 337, 404, 0.7281150817871094, Packages
4, 11, 100, 90, 427, 505, 0.567387580871582, AutomatedReasoning
5, 12, 100, 79, 506, 606, 0.46712422370910645, Interoperability
6, 14, 100, 9, 515, 658, 0.3642547130584717, Solvers
7, 17, 100, 0, 515, 658, 0.3176734447479248, Operations
8, 24, 100, 0, 515, 658, 0.3121755123138428, FeatureIDE
9, 23, 100, 0, 515, 658, 0.30244874954223633, SPLOT
10, 22, 100, 0, 515, 658, 0.29649782180786133, UVL
11, 21, 100, 0, 515, 658, 0.2883036136627197, FeatureModel
12, 20, 100, 0, 515, 658, 0.282529354095459, CNFModel
13, 19, 100, 0, 515, 658, 0.27402472496032715, DecisionModel
14, 18, 100, 0, 515, 658, 0.2655518054962158, ValidModel
15, 17, 100, 0, 515, 658, 0.2645695209503174, ValidConfiguration
16, 16, 100, 0, 515, 658, 0.2503187656402588, ValidProduct
17, 15, 100, 0, 515, 658, 0.24385285377502441, AllProducts
18, 14, 100, 0, 515, 658, 0.23581695556640625, DeadFeatures
19, 13, 100, 0, 515, 658, 0.2306222915649414, CoreFeatures
20, 12, 100, 0, 515, 658, 0.22142791748046875, ErrorDetection
21, 11, 100, 0, 515, 658, 0.2153148651123047, ErrorDiagnosis
22, 10, 100, 0, 515, 658, 0.20891284942626953, DepMng
23, 13, 100, 0, 515, 658, 0.20299673080444336, pip
24, 13, 100, 0, 515, 658, 0.19469547271728516, setuptools
25, 12, 100, 0, 515, 658, 0.18814945220947266, wheel
26, 11, 100, 0, 515, 658, 0.17956829071044922, pkg-resources
27, 10, 100, 0, 515, 658, 0.17559075355529785, Utils
28, 11, 100, 0, 515, 658, 0.16748523712158203, ParserTechnology
29, 13, 100, 0, 515, 658, 0.15990257263183594, APISolvers
30, 22, 100, 0, 515, 658, 0.1538090705871582, python-sat
31, 21, 100, 0, 515, 658, 0.1453571319580078, pycosat
32, 20, 100, 0, 515, 658, 0.13787627220153809, pylgl
33, 19, 100, 0, 515, 658, 0.13155698776245117, pyPicosat
34, 17, 100, 0, 515, 658, 0.12345409393310547, pyglucose
35, 16, 100, 0, 515, 658, 0.11733651161193848, pycryptosat
36, 15, 100, 0, 515, 658, 0.10921096801757812, satyrn
37, 14, 100, 0, 515, 658, 0.10199761390686035, satispy
38, 13, 100, 0, 515, 658, 0.09436774253845215, umo
39, 12, 100, 0, 515, 658, 0.08735036849975586, pydepqbf
40, 11, 100, 0, 515, 658, 0.07993125915527344, antlr4-python3-runtime
41, 10, 100, 0, 515, 658, 0.07265377044677734, SimpleParse
42, 9, 100, 0, 515, 658, 0.06563210487365723, lark-parser
43, 9, 100, 0, 515, 658, 0.05941128730773926, MiniSAT
44, 8, 100, 0, 515, 658, 0.05300426483154297, PicoSAT
45, 7, 100, 0, 515, 658, 0.046157121658325195, Glucose
46, 6, 100, 0, 515, 658, 0.039496421813964844, Lingeling
47, 5, 100, 0, 515, 658, 0.032865285873413086, Linux
48, 4, 100, 0, 515, 658, 0.026266098022460938, six
49, 3, 100, 0, 515, 658, 0.019405126571655273, pybind11
