Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
APISolvers, 7, 7, 1.0, 1.0, RED
CNFModel, 7, 7, 1.0, 1.0, RED
DecisionModel, 7, 7, 1.0, 1.0, RED
DepMng, 7, 7, 1.0, 1.0, RED
FeatureIDE, 7, 7, 1.0, 1.0, RED
FeatureModel, 7, 7, 1.0, 1.0, RED
Glucose, 7, 7, 1.0, 1.0, RED
Lingeling, 7, 7, 1.0, 1.0, RED
Linux, 7, 7, 1.0, 1.0, RED
MiniSAT, 7, 7, 1.0, 1.0, RED
Operations, 8, 8, 1.0, 1.0, RED
ParserTechnology, 7, 7, 1.0, 1.0, RED
PicoSAT, 7, 7, 1.0, 1.0, RED
SPLOT, 7, 7, 1.0, 1.0, RED
UVL, 7, 7, 1.0, 1.0, RED
Utils, 7, 7, 1.0, 1.0, RED
Win, 7, 7, 1.0, 1.0, RED
