Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 31, 31, 55, 0.026736021041870117, AAFMFramework
1, 3, 100, 0, 31, 55, 0.009988546371459961, System
2, 4, 100, 0, 31, 55, 0.009257316589355469, Packages
3, 7, 100, 0, 31, 55, 0.008356809616088867, Solvers
4, 9, 100, 0, 31, 55, 0.007415771484375, python-sat
5, 8, 100, 0, 31, 55, 0.006341695785522461, pycosat
6, 7, 100, 0, 31, 55, 0.005242824554443359, pyPicosat
7, 5, 100, 0, 31, 55, 0.004220724105834961, pyglucose
8, 4, 100, 0, 31, 55, 0.003347635269165039, MiniSAT
9, 3, 100, 0, 31, 55, 0.002541065216064453, PicoSAT
10, 2, 100, 0, 31, 55, 0.0017435550689697266, Glucose
11, 1, 100, 0, 31, 55, 0.0009961128234863281, Linux
