Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Application, 43, 43, 1.0, 1.0, RED
Authentication, 432, 432, 1.0, 1.0, RED
BackEnd, 563, 563, 1.0, 1.0, RED
Cassandra, 195, 195, 1.0, 1.0, RED
ClusteredSession, 88, 88, 1.0, 1.0, RED
Cucumber, 1894, 1894, 1.0, 1.0, RED
Database, 742, 742, 1.0, 1.0, RED
Development, 408, 408, 1.0, 1.0, RED
DiskBased, 877, 877, 1.0, 1.0, RED
Docker, 1689, 1689, 1.0, 1.0, RED
EhCache, 368, 368, 1.0, 1.0, RED
ElasticSearch, 2147, 2147, 1.0, 1.0, RED
Gatling, 2026, 2026, 1.0, 1.0, RED
Generator, 344, 344, 1.0, 1.0, RED
Gradle, 1157, 1157, 1.0, 1.0, RED
H2, 321, 321, 1.0, 1.0, RED
HTTPSession, 11, 11, 1.0, 1.0, RED
HazelCast, 1804, 1804, 1.0, 1.0, RED
Hibernate2ndLvlCache, 814, 814, 1.0, 1.0, RED
InMemory, 55, 55, 1.0, 1.0, RED
InternationalizationSupport, 1590, 1590, 1.0, 1.0, RED
JHipster, 201, 201, 1.0, 1.0, RED
JWT, 63, 63, 1.0, 1.0, RED
Libsass, 90, 90, 1.0, 1.0, RED
MariaDB, 131, 131, 1.0, 1.0, RED
MariaDBDev, 58, 58, 1.0, 1.0, RED
Maven, 118, 118, 1.0, 1.0, RED
MicroserviceApplication, 1994, 1994, 1.0, 1.0, RED
MicroserviceGateway, 6, 6, 1.0, 1.0, RED
MongoDB, 187, 187, 1.0, 1.0, RED
Monolithic, 3, 3, 1.0, 1.0, RED
MySQL, 1419, 1419, 1.0, 1.0, RED
MySql, 57, 57, 1.0, 1.0, RED
OAuth2, 12, 12, 1.0, 1.0, RED
PostgreSQL, 123, 123, 1.0, 1.0, RED
PostgreSQLDev, 64, 64, 1.0, 1.0, RED
Production, 598, 598, 1.0, 1.0, RED
Protractor, 7, 7, 1.0, 1.0, RED
SQL, 700, 700, 1.0, 1.0, RED
Server, 579, 579, 1.0, 1.0, RED
SocialLogin, 107, 107, 1.0, 1.0, RED
SpringWebSockets, 89, 89, 1.0, 1.0, RED
TestingFrameworks, 1476, 1476, 1.0, 1.0, RED
Uaa, 965, 965, 1.0, 1.0, RED
UaaServer, 1402, 1402, 1.0, 1.0, RED
