Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"Greedy MCTS", 1, 0, 1, 2, 2, 1.0, 2, 0.009003877639770508
"Greedy MCTS", 250, 0, 250, 251, 220, 0.8764940239043825, 251, 0.9455289840698242
"Greedy MCTS", 500, 0, 500, 463, 419, 0.9049676025917927, 501, 2.158533811569214
"Greedy MCTS", 750, 0, 750, 635, 562, 0.8850393700787401, 751, 3.365140676498413
"Greedy MCTS", 1000, 0, 1000, 832, 735, 0.8834134615384616, 1001, 4.600273370742798
"Greedy MCTS", 1250, 0, 1250, 1137, 1088, 0.9569041336851363, 1251, 6.489902496337891
"Greedy MCTS", 1500, 0, 1500, 1269, 1124, 0.8857368006304176, 1501, 7.659811735153198
"Greedy MCTS", 1750, 0, 1750, 1472, 1410, 0.9578804347826086, 1547, 9.816667795181274
"Greedy MCTS", 2000, 0, 2000, 1029, 833, 0.8095238095238095, 2001, 11.706456184387207
"Greedy MCTS", 2250, 0, 2250, 1311, 1274, 0.9717772692601068, 1472, 14.796147584915161
"Greedy MCTS", 2500, 0, 2500, 1656, 1370, 0.8272946859903382, 2501, 15.478049755096436
"Greedy MCTS", 2750, 0, 2750, 2087, 1934, 0.926689027311931, 2751, 18.52217721939087
"Greedy MCTS", 3000, 0, 3000, 1657, 1587, 0.9577549788774894, 1776, 23.579527616500854
"Greedy MCTS", 3250, 0, 3250, 1434, 1408, 0.9818688981868898, 1554, 24.131144762039185
"Greedy MCTS", 3500, 0, 3500, 1394, 1331, 0.9548063127690101, 1547, 27.250489950180054
"Greedy MCTS", 3750, 0, 3750, 1239, 1189, 0.9596448748991122, 1480, 28.362441539764404
"Greedy MCTS", 4000, 0, 4000, 801, 783, 0.9775280898876404, 905, 21.737432956695557
"Greedy MCTS", 4250, 0, 4250, 1581, 1455, 0.920303605313093, 1809, 37.41665959358215
"Greedy MCTS", 4500, 0, 4500, 1463, 1418, 0.9692412850307587, 1686, 38.13018083572388
"Greedy MCTS", 4750, 0, 4750, 1310, 1265, 0.9656488549618321, 1507, 38.21058464050293
"Greedy MCTS", 5000, 0, 5000, 1393, 1309, 0.9396984924623115, 1572, 41.66009998321533
