Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
APISolvers, 10, 10, 1.0, 0.63, ORANGE
FeatureIDE, 45, 58, 1.29, 1.0, RED
Metamodels, 2, 1, 0.5, 0.0, BLUE
Operations, 20, 24, 1.2, 0.89, RED
ParserTechnology, 8, 7, 0.88, 0.48, YELLOW
SPLOT, 6, 6, 1.0, 0.63, ORANGE
Solvers, 2, 1, 0.5, 0.0, BLUE
System, 8, 8, 1.0, 0.63, ORANGE
Utils, 2, 1, 0.5, 0.0, BLUE
pipdeptree, 5, 4, 0.8, 0.38, GREEN
pkg-resources, 13, 14, 1.08, 0.73, ORANGE
setuptools, 11, 12, 1.09, 0.75, ORANGE
wheel, 15, 19, 1.27, 0.97, RED
