Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"Random Sampling", 1, 1, 1, 1, 0, 0.0, 0, 0.0
"Random Sampling", 250, 1, 250, 250, 78, 0.312, 0, 0.0
"Random Sampling", 500, 1, 500, 500, 169, 0.338, 0, 0.000997781753540039
"Random Sampling", 750, 1, 750, 750, 274, 0.36533333333333334, 0, 0.0
"Random Sampling", 1000, 1, 1000, 1000, 359, 0.359, 0, 0.000997781753540039
"Random Sampling", 1250, 1, 1250, 1250, 463, 0.3704, 0, 0.000997304916381836
"Random Sampling", 1500, 1, 1500, 1500, 508, 0.33866666666666667, 0, 0.000997781753540039
"Random Sampling", 1750, 1, 1750, 1750, 641, 0.36628571428571427, 0, 0.0009975433349609375
"Random Sampling", 2000, 1, 2000, 2000, 715, 0.3575, 0, 0.0
"Random Sampling", 2250, 1, 2250, 2250, 824, 0.3662222222222222, 0, 0.0019953250885009766
"Random Sampling", 2500, 1, 2500, 2500, 907, 0.3628, 0, 0.0019969940185546875
"Random Sampling", 2750, 1, 2750, 2750, 974, 0.3541818181818182, 0, 0.0019943714141845703
"Random Sampling", 3000, 1, 3000, 3000, 1061, 0.3536666666666667, 0, 0.0009949207305908203
"Random Sampling", 3250, 1, 3250, 3250, 1197, 0.3683076923076923, 0, 0.0019948482513427734
"Random Sampling", 3500, 1, 3500, 3500, 1267, 0.362, 0, 0.000997304916381836
"Random Sampling", 3750, 1, 3750, 3750, 1328, 0.35413333333333336, 0, 0.001994609832763672
"Random Sampling", 4000, 1, 4000, 4000, 1385, 0.34625, 0, 0.0010004043579101562
"Random Sampling", 4250, 1, 4250, 4250, 1498, 0.3524705882352941, 0, 0.0020225048065185547
"Random Sampling", 4500, 1, 4500, 4500, 1600, 0.35555555555555557, 0, 0.001996278762817383
"Random Sampling", 4750, 1, 4750, 4750, 1728, 0.36378947368421055, 0, 0.001993417739868164
"Random Sampling", 5000, 1, 5000, 5000, 1779, 0.3558, 0, 0.0019898414611816406
