Method, Sample size, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"Random Sampling", 0, 0, 0, 0, 0, 0.0, 
"Random Sampling", 1, 1, 0, 1, 1, 0.0009720325469970703, 
"Random Sampling", 8, 8, 4, 8, 8, 0.0017023086547851562, 
"Random Sampling", 12, 12, 3, 12, 12, 0.0016045570373535156, 
"Random Sampling", 41, 41, 16, 41, 41, 0.00435185432434082, 
"Random Sampling", 126, 126, 54, 126, 126, 0.012874126434326172, 
"Random Sampling", 250, 250, 89, 250, 250, 0.023943424224853516, 
"Random Sampling", 500, 500, 171, 500, 500, 0.04402518272399902, 
"Random Sampling", 750, 750, 278, 750, 750, 0.06522393226623535, 
"Random Sampling", 1000, 1000, 375, 1000, 1000, 0.09045600891113281, 
"Random Sampling", 1250, 1250, 446, 1250, 1250, 0.11267948150634766, 
"Random Sampling", 1500, 1500, 600, 1500, 1500, 0.13046693801879883, 
"Random Sampling", 1750, 1750, 620, 1750, 1750, 0.17838644981384277, 
"Random Sampling", 2000, 2000, 686, 2000, 2000, 0.18420195579528809, 
"Random Sampling", 2250, 2250, 800, 2250, 2250, 0.20251965522766113, 
"Random Sampling", 2500, 2500, 915, 2500, 2500, 0.22089242935180664, 
"Random Sampling", 2750, 2750, 1022, 2750, 2750, 0.2501375675201416, 
"UCT MCTS (sc:iters=1, ew=0.5)", 0, 0, 0, 0, 0, 0.0, 
"UCT MCTS (sc:iters=1, ew=0.5)", 1, 1, 0, 56, 31, 0.20052862167358398, 
"UCT MCTS (sc:iters=1, ew=0.5)", 8, 7, 6, 414, 132, 1.079430103302002, 
"UCT MCTS (sc:iters=1, ew=0.5)", 12, 12, 12, 986, 246, 1.7476873397827148, 
"UCT MCTS (sc:iters=1, ew=0.5)", 41, 31, 18, 2970, 464, 6.211956977844238, 
"UCT MCTS (sc:iters=1, ew=0.5)", 126, 56, 43, 9140, 869, 19.498010873794556, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 293, 251, 108414, 3342, 306.24990010261536, 
"UCT MCTS (sc:iters=10, ew=0.5)", 0, 0, 0, 0, 0, 0.0, 
"UCT MCTS (sc:iters=10, ew=0.5)", 1, 1, 1, 165, 47, 0.31692004203796387, 
"UCT MCTS (sc:iters=10, ew=0.5)", 8, 8, 8, 2134, 479, 5.782670021057129, 
"UCT MCTS (sc:iters=10, ew=0.5)", 12, 12, 12, 5093, 780, 7.948668479919434, 
"UCT MCTS (sc:iters=10, ew=0.5)", 41, 41, 41, 14762, 1493, 26.550599813461304, 
"UCT MCTS (sc:iters=10, ew=0.5)", 126, 126, 123, 45078, 2800, 86.09059357643127, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 667, 650, 662277, 7550, 1863.9836814403534,
"MonteCarlo basic (sc:iters=1)", 0, 0, 0, 0, 0, 0.0, 
"MonteCarlo basic (sc:iters=1)", 1, 1, 0, 56, 33, 0.1841444969177246, 
"MonteCarlo basic (sc:iters=1)", 8, 7, 5, 424, 152, 1.0674731731414795, 
"MonteCarlo basic (sc:iters=1)", 12, 10, 8, 910, 262, 1.1917126178741455, 
"MonteCarlo basic (sc:iters=1)", 41, 33, 24, 2692, 548, 4.7940404415130615, 
"MonteCarlo basic (sc:iters=1)", 126, 91, 64, 8414, 1048, 15.405076503753662, 
"MonteCarlo basic (sc:iters=1)", 2340, 521, 404, 103998, 3767, 279.8383078575134, 
"MonteCarlo basic (sc:iters=10)", 0, 0, 0, 0, 0, 0.0, 
"MonteCarlo basic (sc:iters=10)", 1, 1, 1, 209, 39, 0.40265369415283203, 
"MonteCarlo basic (sc:iters=10)", 8, 8, 8, 1991, 341, 4.364506006240845, 
"MonteCarlo basic (sc:iters=10)", 12, 12, 12, 4598, 613, 6.303287506103516, 
"MonteCarlo basic (sc:iters=10)", 41, 39, 39, 14245, 1283, 23.227771520614624, 
"MonteCarlo basic (sc:iters=10)", 126, 117, 112, 44308, 2462, 75.36936807632446, 
"MonteCarlo basic (sc:iters=10)", 2340, 1000, 896, 568579, 8710, 1431.019535779953, 
// buenos:
"MonteCarlo basic (sc:iters=1)", 1, 1, 1, 40, 26, 0.09256267547607422, 
"MonteCarlo basic (sc:iters=1)", 8, 8, 8, 324, 147, 0.5621557235717773, 
"MonteCarlo basic (sc:iters=1)", 12, 12, 9, 824, 354, 0.9654581546783447, 
"MonteCarlo basic (sc:iters=1)", 41, 37, 34, 2596, 754, 3.577000141143799, 
"MonteCarlo basic (sc:iters=1)", 126, 103, 78, 8044, 1531, 11.229721307754517, 
"MonteCarlo basic (sc:iters=10)", 1, 1, 1, 275, 143, 0.5025062561035156, 
"MonteCarlo basic (sc:iters=10)", 8, 8, 8, 2156, 599, 3.5536489486694336, 
"MonteCarlo basic (sc:iters=10)", 12, 12, 12, 4840, 937, 5.151291131973267, 
"MonteCarlo basic (sc:iters=10)", 41, 39, 39, 14212, 1749, 17.446547269821167, 
"MonteCarlo basic (sc:iters=10)", 126, 118, 117, 42592, 3233, 51.87777137756348, 
