Method, Sample size, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"Random Sampling", 0, 0, 0, 0, 0, 0.0, 
"Random Sampling", 1, 1, 0, 1, 1, 0.0009720325469970703, 
"Random Sampling", 8, 8, 4, 8, 8, 0.0017023086547851562, 
"Random Sampling", 12, 12, 3, 12, 12, 0.0016045570373535156, 
"Random Sampling", 41, 41, 16, 41, 41, 0.00435185432434082, 
"Random Sampling", 126, 126, 54, 126, 126, 0.012874126434326172, 
"Random Sampling", 250, 250, 89, 250, 250, 0.023943424224853516, 
"Random Sampling", 500, 500, 171, 500, 500, 0.04402518272399902, 
"Random Sampling", 750, 750, 278, 750, 750, 0.06522393226623535, 
"Random Sampling", 1000, 1000, 375, 1000, 1000, 0.09045600891113281, 
"Random Sampling", 1250, 1250, 446, 1250, 1250, 0.11267948150634766, 
"Random Sampling", 1500, 1500, 600, 1500, 1500, 0.13046693801879883, 
"Random Sampling", 1750, 1750, 620, 1750, 1750, 0.17838644981384277, 
"Random Sampling", 2000, 2000, 686, 2000, 2000, 0.18420195579528809, 
"Random Sampling", 2250, 2250, 800, 2250, 2250, 0.20251965522766113, 
"Random Sampling", 2500, 2500, 915, 2500, 2500, 0.22089242935180664, 
"Random Sampling", 2750, 2750, 1022, 2750, 2750, 0.2501375675201416, 
"Random Sampling", 5000, 5000, 1782, 5000, 5000, 0.47574639320373535, 
"UCT MCTS (sc:iters=1, ew=0.5)", 0, 0, 0, 0, 0, 0.0, 
"UCT MCTS (sc:iters=1, ew=0.5)", 1, 1, 1, 40, 20, 0.19068217277526855, 
"UCT MCTS (sc:iters=1, ew=0.5)", 8, 8, 7, 360, 142, 2.2731730937957764, 
"UCT MCTS (sc:iters=1, ew=0.5)", 12, 11, 10, 542, 208, 3.317657709121704, 
"UCT MCTS (sc:iters=1, ew=0.5)", 41, 32, 28, 1998, 488, 11.957171440124512, 
"UCT MCTS (sc:iters=1, ew=0.5)", 126, 78, 64, 6318, 983, 39.11065626144409, 
"UCT MCTS (sc:iters=1, ew=0.5)", 374, 150, 122, 18880, 1734, 117.21261548995972, 
"UCT MCTS (sc:iters=10, ew=0.5)", 0, 0, 0, 0, 0, 0.0, 
"UCT MCTS (sc:iters=10, ew=0.5)", 1, 1, 1, 297, 117, 1.7586305141448975, 
"UCT MCTS (sc:iters=10, ew=0.5)", 8, 8, 8, 1958, 526, 11.38611912727356, 
"UCT MCTS (sc:iters=10, ew=0.5)", 12, 12, 12, 2893, 645, 18.101511240005493, 
"UCT MCTS (sc:iters=10, ew=0.5)", 41, 41, 41, 9845, 1156, 57.63496971130371, 
"UCT MCTS (sc:iters=10, ew=0.5)", 126, 125, 125, 30811, 2384, 185.8522174358368, 
"UCT MCTS (sc:iters=10, ew=0.5)", 374, 336, 331, 91025, 4498, 553.1072373390198, 
"MonteCarlo basic (sc:iters=1)", 0, 0, 0, 0, 0, 0.0, 
"MonteCarlo basic (sc:iters=1)", 1, 1, 1, 52, 28, 0.40796613693237305, 
"MonteCarlo basic (sc:iters=1)", 8, 8, 6, 366, 158, 2.4658164978027344, 
"MonteCarlo basic (sc:iters=1)", 12, 12, 12, 452, 245, 2.9774107933044434, 
"MonteCarlo basic (sc:iters=1)", 41, 33, 28, 1736, 593, 11.114207983016968, 
"MonteCarlo basic (sc:iters=1)", 126, 93, 70, 5468, 1135, 34.426974058151245, 
"MonteCarlo basic (sc:iters=1)", 374, 232, 185, 15984, 2169, 100.50063180923462, 
"MonteCarlo basic (sc:iters=10)", 0, 0, 0, 0, 0, 0.0, 
"MonteCarlo basic (sc:iters=10)", 1, 1, 1, 220, 101, 1.3655667304992676, 
"MonteCarlo basic (sc:iters=10)", 8, 8, 8, 1848, 505, 12.05441665649414, 
"MonteCarlo basic (sc:iters=10)", 12, 12, 12, 2695, 549, 16.093487977981567, 
"MonteCarlo basic (sc:iters=10)", 41, 41, 41, 9295, 1301, 57.17906403541565, 
"MonteCarlo basic (sc:iters=10)", 126, 121, 118, 29172, 2603, 182.07387042045593, 
"MonteCarlo basic (sc:iters=10)", 374, 342, 325, 86009, 4806, 548.6029617786407, 
"MonteCarlo basic (sc:iters=1)", 2340, 667, 548, 102606, 5713, 638.5414214134216, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 159, 126, 100610, 3713, 760.7782759666443, 
"UCT MCTS (sc:iters=10, ew=0.5)", 1, 1, 1, 209, 83, 1.3146264553070068, 
"UCT MCTS (sc:iters=10, ew=0.5)", 8, 8, 8, 1925, 533, 13.295265436172485, 
"UCT MCTS (sc:iters=10, ew=0.5)", 12, 12, 12, 3168, 788, 22.218555212020874, 
"UCT MCTS (sc:iters=1, ew=0.5)", 100, 32, 32, 3854, 574, 23.122406482696533, 
"Random Strategy", 0, 0, 0, 0, 0, 0.0009970664978027344, 
"Random Strategy", 100, 100, 33, 100, 100, 0.0164034366607666, 
"Random Strategy", 200, 200, 78, 200, 200, 0.02733755111694336, 
