Method, Sample size, Current Sample, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 1, 1, 1, 220, 117, 1.6712052822113037, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 2, 2, 2, 473, 216, 1.2890732288360596, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 3, 3, 3, 693, 296, 1.7374556064605713, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 4, 4, 4, 902, 334, 1.3411059379577637, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 5, 5, 5, 1199, 404, 1.74635648727417, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 6, 6, 6, 1419, 434, 1.5616562366485596, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 7, 7, 7, 1639, 468, 1.7019922733306885, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 8, 8, 8, 1848, 517, 1.6327331066131592, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 9, 9, 9, 2134, 543, 2.1582672595977783, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 10, 10, 10, 2420, 600, 2.006314277648926, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 11, 11, 11, 2706, 674, 2.551882028579712, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 12, 12, 12, 3014, 701, 1.686056137084961, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 13, 13, 13, 3223, 740, 1.593796730041504, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 14, 14, 14, 3388, 761, 0.8432691097259521, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 15, 15, 15, 3597, 786, 1.1390209197998047, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 16, 16, 16, 3883, 816, 1.8132529258728027, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 17, 17, 17, 4180, 849, 2.2151293754577637, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 18, 18, 18, 4389, 875, 1.3584754467010498, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 19, 19, 19, 4686, 916, 1.846776008605957, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 20, 20, 20, 4884, 937, 1.5108642578125, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 21, 21, 21, 5181, 982, 1.8241288661956787, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 22, 22, 22, 5423, 1020, 1.4487464427947998, 
