Method, Sample size, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 23, 11, 40, 23, 0.31914567947387695, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 46, 23, 78, 46, 0.25235486030578613, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 80, 42, 132, 80, 0.381183385848999, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 99, 50, 172, 99, 0.31020355224609375, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 118, 62, 210, 118, 0.259335994720459, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 131, 65, 248, 131, 0.24537038803100586, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 152, 72, 300, 152, 0.4637322425842285, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 183, 92, 354, 183, 0.4627203941345215, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 215, 102, 410, 215, 0.49614405632019043, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 222, 106, 450, 222, 0.29121971130371094, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 233, 110, 504, 233, 0.41289424896240234, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 243, 118, 544, 243, 0.24733567237854004, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 264, 127, 596, 264, 0.3889601230621338, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 285, 134, 636, 285, 0.23836374282836914, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 290, 136, 674, 290, 0.23620963096618652, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 307, 145, 726, 307, 0.36202478408813477, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 319, 154, 778, 319, 0.36601829528808594, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 334, 164, 832, 334, 0.44188666343688965, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 353, 175, 886, 353, 0.4548356533050537, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 368, 187, 940, 368, 0.464785099029541, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 379, 194, 978, 379, 0.21146345138549805, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 389, 197, 1034, 389, 0.3560473918914795, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 403, 206, 1074, 403, 0.2563169002532959, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 412, 214, 1114, 412, 0.3211405277252197, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 429, 225, 1168, 429, 0.4398510456085205, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 433, 226, 1208, 433, 0.2842414379119873, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 455, 239, 1262, 455, 0.44289207458496094, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 468, 247, 1308, 468, 0.3730020523071289, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 472, 247, 1360, 472, 0.3651549816131592, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 482, 249, 1416, 482, 0.4507923126220703, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 488, 251, 1468, 488, 0.3480713367462158, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 495, 252, 1508, 495, 0.30518627166748047, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 505, 256, 1560, 505, 0.3690061569213867, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 509, 258, 1600, 509, 0.33510613441467285, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 518, 262, 1640, 518, 0.2991657257080078, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 526, 265, 1696, 526, 0.4358377456665039, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 530, 266, 1736, 530, 0.3450801372528076, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 542, 273, 1774, 542, 0.27493977546691895, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 555, 279, 1828, 555, 0.4397909641265869, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 569, 284, 1868, 569, 0.22739148139953613, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 576, 287, 1908, 576, 0.31159186363220215, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 585, 290, 1948, 585, 0.3401772975921631, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 593, 294, 1988, 593, 0.2991979122161865, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 598, 297, 2026, 598, 0.27623438835144043, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 602, 300, 2066, 602, 0.32315897941589355, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 607, 302, 2106, 607, 0.2544553279876709, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 614, 307, 2144, 614, 0.24237751960754395, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 618, 310, 2182, 618, 0.2603030204772949, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 620, 312, 2222, 620, 0.30318570137023926, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 627, 315, 2260, 627, 0.27326321601867676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 631, 318, 2298, 631, 0.25531911849975586, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 637, 319, 2338, 637, 0.26129674911499023, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 643, 322, 2378, 643, 0.3191511631011963, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 653, 326, 2416, 653, 0.2882258892059326, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 655, 326, 2456, 655, 0.27230048179626465, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 660, 329, 2496, 660, 0.28630709648132324, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 666, 332, 2548, 666, 0.35262036323547363, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 678, 340, 2586, 678, 0.22938227653503418, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 680, 340, 2624, 680, 0.2800891399383545, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 686, 343, 2664, 686, 0.3160521984100342, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 692, 347, 2704, 692, 0.2991025447845459, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 700, 350, 2742, 700, 0.2515897750854492, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 704, 353, 2794, 704, 0.34160876274108887, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 708, 353, 2832, 708, 0.2877631187438965, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 718, 357, 2886, 718, 0.4319303035736084, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 740, 367, 2940, 740, 0.45979976654052734, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 747, 369, 2978, 747, 0.2514338493347168, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 760, 375, 3016, 760, 0.2539784908294678, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 765, 378, 3054, 765, 0.2593080997467041, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 767, 378, 3094, 767, 0.32213830947875977, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 777, 385, 3144, 777, 0.31119608879089355, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 785, 388, 3182, 785, 0.26734280586242676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 787, 389, 3220, 787, 0.2403571605682373, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 790, 391, 3260, 790, 0.3201432228088379, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 795, 395, 3300, 795, 0.2732970714569092, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 799, 397, 3340, 799, 0.2855520248413086, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 804, 399, 3392, 804, 0.3037736415863037, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 809, 402, 3428, 809, 0.3141450881958008, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 812, 402, 3482, 812, 0.3540794849395752, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 816, 403, 3522, 816, 0.2965056896209717, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 818, 405, 3574, 818, 0.42190098762512207, 
