Method, Iterations, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
"Greedy MCTS", 1, 16, 1, 28, 21, 32, 0.1107325553894043
"Greedy MCTS", 10, 13, 10, 47, 30, 100, 0.31717920303344727
"Greedy MCTS", 20, 18, 20, 138, 60, 267, 1.05820894241333
"Greedy MCTS", 30, 25, 30, 199, 131, 352, 1.4847230911254883
"Greedy MCTS", 40, 15, 40, 148, 75, 257, 1.2581908702850342
"Greedy MCTS", 50, 23, 50, 278, 233, 619, 3.0814967155456543
"Greedy MCTS", 60, 17, 60, 108, 51, 295, 1.3759841918945312
"Greedy MCTS", 70, 23, 70, 271, 234, 439, 2.654038906097412
"Greedy MCTS", 80, 16, 80, 211, 108, 470, 2.474639415740967
"Greedy MCTS", 90, 14, 90, 130, 69, 249, 1.4282705783843994
"Greedy MCTS", 100, 15, 100, 111, 59, 246, 1.2673492431640625
