Method, Iterations, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
"UCT Algorithm", 1, 25, 1, 37, 23, 50, 0.18650126457214355
"UCT Algorithm", 10, 23, 10, 105, 79, 228, 0.5645134449005127
"UCT Algorithm", 20, 15, 20, 83, 54, 233, 0.6642262935638428
"UCT Algorithm", 30, 19, 30, 123, 72, 420, 1.3574302196502686
"UCT Algorithm", 40, 26, 40, 419, 368, 953, 2.666177749633789
"UCT Algorithm", 50, 19, 50, 245, 118, 664, 2.505110502243042
"UCT Algorithm", 60, 26, 60, 625, 554, 1350, 3.726691722869873
"UCT Algorithm", 70, 27, 70, 396, 275, 1591, 4.939336776733398
"UCT Algorithm", 80, 20, 80, 177, 99, 1061, 3.488293170928955
"UCT Algorithm", 90, 16, 90, 194, 122, 1134, 3.4531450271606445
"UCT Algorithm", 100, 27, 100, 505, 441, 2206, 7.930346250534058
