Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 50, 42, 25, 51, 0.3083305358886719, JHipster
1, 11, 50, 30, 15, 102, 0.27266740798950195, InternationalizationSupport
2, 10, 50, 26, 9, 153, 0.3277902603149414, Docker
3, 9, 50, 20, 10, 204, 0.2433488368988037, ClusteredSession
4, 8, 50, 18, 10, 255, 0.2224109172821045, Authentication
5, 11, 50, 9, 8, 306, 0.17712831497192383, Uaa
6, 6, 50, 9, 9, 357, 0.16755223274230957, Generator
7, 6, 50, 10, 10, 408, 0.14883136749267578, Application
8, 6, 50, 9, 9, 459, 0.14195919036865234, MicroserviceGateway
9, 5, 50, 6, 6, 510, 0.11902832984924316, BackEnd
10, 6, 50, 5, 5, 561, 0.1063377857208252, Gradle
11, 4, 50, 8, 8, 612, 0.10584115982055664, TestingFrameworks
12, 6, 50, 3, 3, 663, 0.09242677688598633, Gatling
13, 5, 50, 3, 3, 713, 0.08876156806945801, Cucumber
14, 4, 50, 3, 3, 745, 0.08181214332580566, Protractor
15, 3, 50, 5, 5, 773, 0.060762643814086914, Database
16, 5, 50, 7, 7, 798, 0.056014060974121094, SQL
17, 6, 50, 16, 16, 849, 0.07900214195251465, Development
18, 9, 50, 14, 14, 900, 0.06962132453918457, Production
19, 11, 50, 15, 15, 951, 0.05844545364379883, MySQL
20, 6, 50, 12, 12, 1002, 0.04853081703186035, SpringWebSockets
21, 5, 50, 8, 8, 1049, 0.03888988494873047, Libsass
22, 4, 50, 2, 2, 1053, 0.03391551971435547, H2
23, 4, 50, 0, 0, 1053, 0.027919530868530273, DiskBased
