Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 70, 37, 101, 0.5575101375579834, JHipster
1, 11, 100, 105, 62, 202, 0.35405421257019043, Database
2, 13, 100, 130, 80, 303, 0.3041870594024658, Cassandra
3, 9, 100, 142, 91, 404, 0.2943120002746582, Docker
4, 8, 100, 150, 99, 505, 0.26928043365478516, Generator
5, 9, 100, 162, 111, 606, 0.26030445098876953, Authentication
6, 11, 100, 169, 118, 707, 0.28623533248901367, BackEnd
7, 12, 100, 182, 131, 808, 0.23041272163391113, TestingFrameworks
8, 14, 100, 194, 143, 909, 0.20841455459594727, Gatling
9, 13, 100, 204, 153, 1010, 0.18700551986694336, Cucumber
10, 12, 100, 212, 161, 1111, 0.15259194374084473, Protractor
11, 10, 100, 217, 166, 1212, 0.12765908241271973, SpringWebSockets
12, 9, 100, 218, 167, 1313, 0.11668825149536133, Libsass
13, 8, 100, 218, 167, 1411, 0.10172820091247559, ClusteredSession
14, 7, 100, 218, 167, 1427, 0.09278011322021484, InternationalizationSupport
15, 6, 100, 218, 167, 1427, 0.07380270957946777, HTTPSession
16, 3, 100, 218, 167, 1427, 0.05285954475402832, Application
17, 3, 100, 218, 167, 1427, 0.03590559959411621, Monolithic
18, 2, 100, 218, 167, 1427, 0.017949581146240234, Gradle
