Step, Decisions, Simulations, Evaluations, Tree Size, Positive Evaluations, Time (s), Choice
0, 1, 10, 8, 11, 7, 0.058870792388916016, JHipster
1, 11, 10, 7, 22, 5, 0.051888465881347656, Generator
2, 12, 10, 9, 33, 4, 0.0648343563079834, Server
3, 8, 10, 10, 44, 8, 0.03889060020446777, MicroserviceApplication
4, 6, 10, 7, 55, 4, 0.03191256523132324, Database
5, 8, 10, 6, 66, 5, 0.03487563133239746, SQL
6, 9, 10, 10, 77, 5, 0.05389285087585449, Development
7, 12, 10, 6, 88, 4, 0.04683828353881836, H2
8, 10, 10, 6, 99, 4, 0.043882131576538086, InMemory
9, 8, 10, 9, 110, 3, 0.04288530349731445, Production
10, 10, 10, 7, 121, 3, 0.035932064056396484, Docker
11, 9, 10, 4, 132, 2, 0.03191375732421875, TestingFrameworks
12, 10, 10, 2, 143, 2, 0.030944108963012695, MySQL
13, 7, 10, 3, 154, 2, 0.024935483932495117, Hibernate2ndLvlCache
14, 8, 10, 1, 165, 1, 0.022937774658203125, Cucumber
15, 7, 10, 1, 176, 0, 0.018949270248413086, BackEnd
16, 8, 10, 2, 187, 2, 0.014957427978515625, Gradle
17, 6, 10, 0, 198, 0, 0.011967897415161133, EhCache
18, 4, 10, 1, 209, 0, 0.005985260009765625, InternationalizationSupport
19, 3, 10, 0, 209, 0, 0.000997304916381836, Gatling
20, 2, 10, 0, 209, 0, 0.0009965896606445312, Authentication
21, 3, 10, 0, 209, 0, 0.0010249614715576172, Uaa
