Step, Decisions, Simulations, Evaluations, Tree Size, Positive Evaluations, Time (s), Choice
0, 1, 100, 74, 101, 38, 0.5645544528961182, JHipster
1, 11, 100, 50, 202, 27, 0.488757848739624, Generator
2, 12, 100, 8, 243, 7, 0.10570716857910156, Docker
3, 11, 100, 0, 243, 0, 0.03889608383178711, Database
4, 13, 100, 0, 243, 0, 0.03490734100341797, Cassandra
5, 9, 100, 0, 243, 0, 0.029919147491455078, Server
6, 6, 100, 0, 243, 0, 0.027925491333007812, MicroserviceApplication
7, 4, 100, 0, 243, 0, 0.02393651008605957, Authentication
8, 5, 100, 0, 243, 0, 0.02094721794128418, Uaa
9, 3, 100, 0, 243, 0, 0.017948150634765625, BackEnd
10, 4, 100, 0, 243, 0, 0.014960527420043945, Gradle
11, 2, 100, 0, 243, 0, 0.011970281600952148, TestingFrameworks
12, 3, 100, 0, 243, 0, 0.00897359848022461, Gatling
13, 2, 100, 0, 243, 0, 0.005983829498291016, Cucumber
