Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 99, 99, 101, 0.38995814323425293, AAFMFramework
1, 5, 100, 95, 194, 202, 0.408907413482666, Interoperability
2, 7, 100, 98, 292, 303, 0.4029264450073242, Packages
3, 10, 100, 100, 392, 404, 0.4089076519012451, UVL
4, 9, 100, 100, 492, 505, 0.3859684467315674, APISolvers
5, 18, 100, 98, 590, 606, 0.3969423770904541, Utils
6, 19, 100, 97, 687, 707, 0.3979363441467285, python-sat
7, 18, 100, 99, 786, 808, 0.3919527530670166, Metamodels
8, 20, 100, 100, 886, 909, 0.3839740753173828, DepMng
9, 23, 100, 96, 982, 1010, 0.375995397567749, System
10, 24, 100, 101, 1083, 1111, 0.36801671981811523, pip
11, 24, 100, 94, 1177, 1212, 0.3836097717285156, six
12, 23, 100, 99, 1276, 1313, 0.34607625007629395, Win
13, 19, 100, 99, 1375, 1414, 0.30817651748657227, pycryptosat
14, 18, 100, 93, 1468, 1515, 0.30518484115600586, pipdeptree
15, 17, 100, 96, 1564, 1616, 0.24334979057312012, ParserTechnology
16, 19, 100, 97, 1661, 1717, 0.21841645240783691, setuptools
17, 18, 100, 96, 1757, 1818, 0.20396041870117188, lark-parser
